"","year","State_Acronym","SVRNCTAX","state","sales","year_effective","post_eff","rel_year","population","Sev_cap","Sev_log","switch","state_rank","early_switch"
"1",1976,"IA",NA,"Iowa",100,1978,0,-2,2903.082,0,0,1,1,1
"2",1977,"IA",NA,"Iowa",100,1978,0,-1,2913.573,0,0,1,2,1
"3",1978,"IA",NA,"Iowa",100,1978,1,0,2918.069,0,0,1,3,1
"4",1979,"IA",NA,"Iowa",100,1978,1,1,2915.739,0,0,1,4,1
"5",1980,"IA",NA,"Iowa",100,1978,1,2,2914.018,0,0,1,5,1
"6",1981,"IA",NA,"Iowa",100,1978,1,3,2907.983,0,0,1,6,1
"7",1982,"IA",NA,"Iowa",100,1978,1,4,2888.189,0,0,1,7,1
"8",1983,"IA",NA,"Iowa",100,1978,1,5,2870.543,0,0,1,8,1
"9",1984,"IA",NA,"Iowa",100,1978,1,6,2858.618,0,0,1,9,1
"10",1985,"IA",NA,"Iowa",100,1978,1,7,2829.684,0,0,1,10,1
"11",1986,"IA",NA,"Iowa",100,1978,1,8,2791.97,0,0,1,11,1
"12",1987,"IA",NA,"Iowa",100,1978,1,9,2767.011,0,0,1,12,1
"13",1988,"IA",NA,"Iowa",100,1978,1,10,2768.388,0,0,1,13,1
"14",1989,"IA",NA,"Iowa",100,1978,1,11,2770.592,0,0,1,14,1
"15",1990,"IA",NA,"Iowa",100,1978,1,12,2779.769,0,0,1,15,1
"16",1991,"IA",NA,"Iowa",100,1978,1,13,2791.227,0,0,1,16,1
"17",1992,"IA",NA,"Iowa",100,1978,1,14,2806.923,0,0,1,17,1
"18",1993,"IA",NA,"Iowa",100,1978,1,15,2820.525,0,0,1,18,1
"19",1994,"IA",NA,"Iowa",100,1978,1,16,2829.422,0,0,1,19,1
"20",1995,"IA",NA,"Iowa",100,1978,1,17,2840.86,0,0,1,20,1
"21",1996,"IA",NA,"Iowa",100,1978,1,18,2848.473,0,0,1,21,1
"22",1997,"IA",NA,"Iowa",100,1978,1,19,2854.396,0,0,1,22,1
"23",1998,"IA",NA,"Iowa",100,1978,1,20,2861.025,0,0,1,23,1
"24",1999,"IA",NA,"Iowa",100,1978,1,21,2869.413,0,0,1,24,1
"25",2000,"IA",NA,"Iowa",100,1978,1,22,2929.067,0,0,1,25,1
"26",2001,"IA",NA,"Iowa",100,1978,1,23,2931.997,0,0,1,26,1
"27",2002,"IA",NA,"Iowa",100,1978,1,24,2934.234,0,0,1,27,1
