"State_Acronym","year","SVRNCTAX","state","sales","year_effective","post_eff","rel_year"
"NV",1976,148,"Nevada",NA,NA,NA,NA
"NV",1977,105,"Nevada",NA,NA,NA,NA
"NV",1978,129,"Nevada",NA,NA,NA,NA
"NV",1979,54,"Nevada",NA,NA,NA,NA
"NV",1980,23,"Nevada",NA,NA,NA,NA
"NV",1981,11,"Nevada",NA,NA,NA,NA
"NV",1982,0,"Nevada",NA,NA,NA,NA
"NV",1983,0,"Nevada",NA,NA,NA,NA
"NV",1984,83,"Nevada",NA,NA,NA,NA
"NV",1985,61,"Nevada",NA,NA,NA,NA
"NV",1986,26,"Nevada",NA,NA,NA,NA
"NV",1987,3,"Nevada",NA,NA,NA,NA
"NV",1988,10655,"Nevada",NA,NA,NA,NA
"NV",1989,386,"Nevada",NA,NA,NA,NA
"NV",1990,22875,"Nevada",NA,NA,NA,NA
"NV",1991,23951,"Nevada",NA,NA,NA,NA
"NV",1992,17847,"Nevada",NA,NA,NA,NA
"NV",1993,19625,"Nevada",NA,NA,NA,NA
"NV",1994,44176,"Nevada",NA,NA,NA,NA
"NV",1995,46990,"Nevada",NA,NA,NA,NA
"NV",1996,46589,"Nevada",NA,NA,NA,NA
"NV",1997,38892,"Nevada",NA,NA,NA,NA
"NV",1998,31164,"Nevada",NA,NA,NA,NA
"NV",1999,33193,"Nevada",NA,NA,NA,NA
"NV",2000,28815,"Nevada",NA,NA,NA,NA
"NV",2001,29675,"Nevada",NA,NA,NA,NA
"NV",2002,21493,"Nevada",NA,NA,NA,NA
"NV",2003,25162,"Nevada",NA,NA,NA,NA
"NV",2004,37155,"Nevada",NA,NA,NA,NA
"NV",2005,39691,"Nevada",NA,NA,NA,NA
"NV",2006,44526,"Nevada",NA,NA,NA,NA
"NV",2007,62178,"Nevada",NA,NA,NA,NA
"NV",2008,74130,"Nevada",NA,NA,NA,NA
"NV",2009,145450,"Nevada",NA,NA,NA,NA
"NV",2010,182752,"Nevada",NA,NA,NA,NA
"NV",2011,272240,"Nevada",NA,NA,NA,NA
"NV",2012,303038,"Nevada",NA,NA,NA,NA
"NV",2013,290448,"Nevada",NA,NA,NA,NA
"NV",2014,111395,"Nevada",NA,NA,NA,NA
"NV",2015,121604,"Nevada",NA,NA,NA,NA
"NV",2016,102686,"Nevada",NA,NA,NA,NA
"NV",2017,68605,"Nevada",NA,NA,NA,NA
"NV",2018,155938,"Nevada",NA,NA,NA,NA
"NV",2019,123584,"Nevada",NA,NA,NA,NA
"NV",2020,122449,"Nevada",NA,NA,NA,NA
"NV",2021,278504,"Nevada",NA,NA,NA,NA
"NV",2022,218715,"Nevada",NA,NA,NA,NA
"OH",2014,10194,"Ohio",NA,NA,NA,NA
"OH",2015,22891,"Ohio",NA,NA,NA,NA
