"","year","State_Acronym","SVRNCTAX","state","sales","year_effective","post_eff","rel_year","population"
"1",1976,"AK",27978,"Alaska",33.34,NA,NA,NA,400.969
"2",1976,"AL",11570,"Alabama",33.34,2021,0,-45,3735.139
"3",1976,"AR",8870,"Arkansas",33.34,2021,0,-45,2170.161
"4",1976,"AZ",0,"Arizona",33.34,2007,0,-31,2346.157
"5",1976,"CA",2334,"California",33.34,2011,0,-35,21935.909
"6",1976,"CO",4375,"Colorado",33.34,2009,0,-33,2632.306
"7",1976,"CT",NA,"Connecticut",33.34,2016,0,-40,3083.335
"8",1976,"DE",NA,"Delaware",33.34,2017,0,-41,590.166
"9",1976,"FL",47377,"Florida",50,NA,NA,NA,8667.379
"10",1976,"GA",NA,"Georgia",33.34,2006,0,-30,5132.812
"11",1976,"HI",NA,"Hawaii",33.34,NA,NA,NA,904.191
"12",1976,"IA",NA,"Iowa",100,1978,0,-2,2903.082
"13",1976,"ID",394,"Idaho",33.34,2022,0,-46,856.983
"14",1976,"IL",0,"Illinois",33.34,1999,0,-23,11342.853
"15",1976,"IN",508,"Indiana",33.34,2007,0,-31,5389.088
"16",1976,"KS",785,"Kansas",33.34,NA,NA,NA,2301.001
"17",1976,"KY",91496,"Kentucky",33.34,2018,0,-42,3529.257
"18",1976,"LA",558495,"Louisiana",33.34,2016,0,-40,3950.605
"19",1976,"MA",NA,"Massachusetts",50,2025,0,-49,5743.672
"20",1976,"MD",NA,"Maryland",33.34,2018,0,-42,4150.539
"21",1976,"ME",NA,"Maine",33.34,2007,0,-31,1088.412
"22",1976,"MI",7065,"Michigan",33.34,1991,0,-15,9129.205
"23",1976,"MN",58171,"Minnesota",33.34,2007,0,-31,3964.68
"24",1976,"MO",0,"Missouri",33.34,2020,0,-44,4839.029
"25",1976,"MS",23601,"Mississippi",33.34,NA,NA,NA,2429.756
"26",1976,"MT",31344,"Montana",33.34,2025,0,-49,757.317
"27",1976,"NC",0,"North Carolina",33.34,2016,0,-40,5607.964
"28",1976,"ND",12594,"North Dakota",33.34,2016,0,-40,645.797
"29",1976,"NE",1113,"Nebraska",33.34,1988,0,-12,1550.911
"30",1976,"NH",103,"New Hampshire",33.34,2022,0,-46,845.248
"31",1976,"NJ",NA,"New Jersey",33.34,2012,0,-36,7339.745
"32",1976,"NM",87485,"New Mexico",33.34,NA,NA,NA,1189.295
"33",1976,"NV",148,"Nevada",NA,NA,NA,NA,646.975
"34",1976,"NY",NA,"New York",50,2015,0,-39,17940.541
"35",1976,"OH",3930,"Ohio",33.34,NA,NA,NA,10752.662
"36",1976,"OK",151316,"Oklahoma",33.34,NA,NA,NA,2826.815
"37",1976,"OR",3458,"Oregon",33.34,2004,0,-28,2378.262
"38",1976,"PA",NA,"Pennsylvania",33.34,2007,0,-31,11897.378
"39",1976,"RI",NA,"Rhode Island",33.34,2015,0,-39,946.089
"40",1976,"SC",NA,"South Carolina",33.34,2007,0,-31,2943.657
"41",1976,"SD",310,"South Dakota",NA,NA,NA,NA,686.39
"42",1976,"TN",1818,"Tennessee",33.34,2024,0,-48,4346.928
"43",1976,"UT",11723,"Utah",33.34,2011,0,-35,1274.928
"44",1976,"VA",707,"Virginia",33.34,NA,NA,NA,5121.863
"45",1976,"VT",NA,"Vermont",33.34,2023,0,-47,484.928
"46",1976,"WA",37477,"Washington",NA,NA,NA,NA,3693.61
