"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.928,733.316003065769,"AZ",2007,"Arizona",348.316682942182,0
1977,0.928,776.622279522891,"AZ",2007,"Arizona",352.378573264718,0
1978,0.928,820.071044797258,"AZ",2007,"Arizona",389.283803363515,0
1979,0.928,852.41707100236,"AZ",2007,"Arizona",466.97425402423,0
1980,0.928,806.719333913639,"AZ",2007,"Arizona",522.020720951238,0
1981,0.928,762.359048766891,"AZ",2007,"Arizona",495.265545019279,0
1982,0.928,731.946402960167,"AZ",2007,"Arizona",411.511984567133,0
1983,0.928,619.188136286709,"AZ",2007,"Arizona",542.530690983069,0
1984,0.928,678.974897257908,"AZ",2007,"Arizona",619.323127923429,0
1985,0.928,755.924203707365,"AZ",2007,"Arizona",590.575899469039,0
1986,0.928,754.481864087241,"AZ",2007,"Arizona",471.119205922432,0
1987,0.928,815.293226507006,"AZ",2007,"Arizona",509.528756310593,0
1988,0.928,809.416382206136,"AZ",2007,"Arizona",354.207787577737,0
1989,0.928,872.623668094034,"AZ",2007,"Arizona",445.34472086377,0
1990,0.928,755.45854779972,"AZ",2007,"Arizona",373.985692953464,0
1991,0.928,688.830369923241,"AZ",2007,"Arizona",403.563065044077,0
1992,0.928,626.413123389819,"AZ",2007,"Arizona",417.799446658251,0
1993,0.928,701.165561621782,"AZ",2007,"Arizona",456.266127709216,0
1994,0.928,744.909349780127,"AZ",2007,"Arizona",530.470358470145,0
1995,0.928,821.023700972971,"AZ",2007,"Arizona",706.713916965218,0
1996,0.928,835.385172400628,"AZ",2007,"Arizona",715.848968906863,0
1997,0.928,859.261155275353,"AZ",2007,"Arizona",913.808993783775,0
1998,0.928,875.3603238314,"AZ",2007,"Arizona",771.241522343236,0
1999,0.928,817.963911428413,"AZ",2007,"Arizona",761.222734205156,0
2000,0.928,826.620605968233,"AZ",2007,"Arizona",654.151162186206,0
2001,0.928,814.479824677287,"AZ",2007,"Arizona",831.35885674,0
2002,0.928,653.557575652702,"AZ",2007,"Arizona",511.765497865398,0
2003,0.928,654.258230460199,"AZ",2007,"Arizona",551.025566383111,0
2004,0.928,693.371779077539,"AZ",2007,"Arizona",706.315501274785,0
2005,0.928,896.929086984841,"AZ",2007,"Arizona",883.020222224332,0
2006,0.928,1109.31055238353,"AZ",2007,"Arizona",1050.54149727433,0
2007,0.928,1185.30253216494,"AZ",2007,"Arizona",1106.39402564491,1
2008,0.928,1081.66508771233,"AZ",2007,"Arizona",832.398906209851,1
2009,0.928,883.420816452688,"AZ",2007,"Arizona",624.336366387265,1
2010,0.928,777.613240114592,"AZ",2007,"Arizona",424.301171182087,1
2011,0.928,884.695568165201,"AZ",2007,"Arizona",552.001118166428,1
2012,0.928,898.875706405318,"AZ",2007,"Arizona",617.435978631533,1
2013,0.928,969.31957079364,"AZ",2007,"Arizona",614.533931381544,1
2014,0.928,927.819538772098,"AZ",2007,"Arizona",517.733504199212,1
2015,0.928,969.733782445087,"AZ",2007,"Arizona",711.087124323182,1
2016,0.928,883.534497026469,"AZ",2007,"Arizona",622.368938936995,1
2017,0.928,864.298245003618,"AZ",2007,"Arizona",434.872698465672,1
2018,0.928,965.618409843433,"AZ",2007,"Arizona",423.226656494912,1
2019,0.928,1132.95175544375,"AZ",2007,"Arizona",562.982695063883,1
2020,0.928,961.028276917469,"AZ",2007,"Arizona",573.912746428616,1
2021,0.928,1364.703611166,"AZ",2007,"Arizona",938.221589926936,1
2022,0.928,1704.4257380249,"AZ",2007,"Arizona",1101.51319728039,1
