"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.919,759.047584305171,"CO",2009,"Colorado",929.334104733474,0
1977,0.919,813.836740861972,"CO",2009,"Colorado",986.314109835694,0
1978,0.919,856.411959302623,"CO",2009,"Colorado",955.718818206196,0
1979,0.919,878.999654618222,"CO",2009,"Colorado",1085.71058964297,0
1980,0.919,827.121685446223,"CO",2009,"Colorado",922.934940018316,0
1981,0.919,783.030294477006,"CO",2009,"Colorado",764.451181929192,0
1982,0.919,718.96720773615,"CO",2009,"Colorado",618.736213952971,0
1983,0.919,608.229802713324,"CO",2009,"Colorado",360.02743498254,0
1984,0.919,651.483384559368,"CO",2009,"Colorado",532.671984275566,0
1985,0.919,728.378561849679,"CO",2009,"Colorado",588.857172745465,0
1986,0.919,696.119209611681,"CO",2009,"Colorado",659.125812387487,0
1987,0.919,740.917019450553,"CO",2009,"Colorado",558.352111351327,0
1988,0.919,774.705961688212,"CO",2009,"Colorado",633.866334205831,0
1989,0.919,826.001408308387,"CO",2009,"Colorado",766.193977644793,0
1990,0.919,752.299381825934,"CO",2009,"Colorado",529.020562173973,0
1991,0.919,703.286967201645,"CO",2009,"Colorado",471.074247122199,0
1992,0.919,629.912709598441,"CO",2009,"Colorado",489.083207044155,0
1993,0.919,689.841421182297,"CO",2009,"Colorado",524.915567012091,0
1994,0.919,750.155911536962,"CO",2009,"Colorado",539.388543500649,0
1995,0.919,813.014265668077,"CO",2009,"Colorado",667.131843904916,0
1996,0.919,822.069599005745,"CO",2009,"Colorado",687.712450281541,0
1997,0.919,860.630163643142,"CO",2009,"Colorado",718.194196593327,0
1998,0.919,868.770174651509,"CO",2009,"Colorado",838.230193261905,0
1999,0.919,798.265207796486,"CO",2009,"Colorado",937.881003677213,0
2000,0.919,811.788549120731,"CO",2009,"Colorado",971.014631643674,0
2001,0.919,791.601183190456,"CO",2009,"Colorado",937.019183508579,0
2002,0.919,618.151683009571,"CO",2009,"Colorado",548.675503230008,0
2003,0.919,582.447080805741,"CO",2009,"Colorado",518.006532901852,0
2004,0.919,626.41275257833,"CO",2009,"Colorado",598.777149930421,0
2005,0.919,837.403050026666,"CO",2009,"Colorado",754.080302812833,0
2006,0.919,1042.34801668477,"CO",2009,"Colorado",1038.73043283456,0
2007,0.919,1129.49081316927,"CO",2009,"Colorado",1039.6315580168,0
2008,0.919,1021.82813784643,"CO",2009,"Colorado",1042.16334020644,0
2009,0.919,826.723279024499,"CO",2009,"Colorado",667.242006791917,1
2010,0.919,711.585842390958,"CO",2009,"Colorado",706.443452727917,1
2011,0.919,791.748804257664,"CO",2009,"Colorado",718.95754171214,1
2012,0.919,814.055987954317,"CO",2009,"Colorado",891.554188227489,1
2013,0.919,901.757411157546,"CO",2009,"Colorado",1147.19257013765,1
2014,0.919,835.941401061583,"CO",2009,"Colorado",1222.96055311212,1
2015,0.919,893.764467665102,"CO",2009,"Colorado",1117.78797356412,1
2016,0.919,796.410622628132,"CO",2009,"Colorado",1016.32836384084,1
2017,0.919,786.349619697887,"CO",2009,"Colorado",829.055515640045,1
2018,0.919,879.732666904095,"CO",2009,"Colorado",1181.6417730913,1
2019,0.919,1024.68516483853,"CO",2009,"Colorado",1165.82620143332,1
2020,0.919,870.417274119704,"CO",2009,"Colorado",1022.53226382644,1
2021,0.919,1254.52020034069,"CO",2009,"Colorado",1783.68623684186,1
2022,0.919,1581.31498967411,"CO",2009,"Colorado",1939.46570920525,1
