"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.943,828.674858220838,"CT",2016,"Connecticut",818.989724974917,0
1977,0.943,886.946430919791,"CT",2016,"Connecticut",1078.86449511355,0
1978,0.943,901.831885885343,"CT",2016,"Connecticut",990.052885787592,0
1979,0.943,928.90624391624,"CT",2016,"Connecticut",1028.36503122311,0
1980,0.943,887.2788018596,"CT",2016,"Connecticut",959.510707209994,0
1981,0.943,842.641608751169,"CT",2016,"Connecticut",874.508481544554,0
1982,0.943,758.408636163714,"CT",2016,"Connecticut",1153.07357865924,0
1983,0.943,666.063841989533,"CT",2016,"Connecticut",1134.59529447731,0
1984,0.943,702.564575504738,"CT",2016,"Connecticut",1216.09200632129,0
1985,0.943,805.961450609037,"CT",2016,"Connecticut",1421.16069643457,0
1986,0.943,805.345514697958,"CT",2016,"Connecticut",1745.7847730833,0
1987,0.943,805.304925803517,"CT",2016,"Connecticut",1709.67806183634,0
1988,0.943,851.816654121406,"CT",2016,"Connecticut",1553.23024663658,0
1989,0.943,911.023934431289,"CT",2016,"Connecticut",1964.80111365182,0
1990,0.943,812.691669783747,"CT",2016,"Connecticut",1581.20080515787,0
1991,0.943,746.010777466569,"CT",2016,"Connecticut",1151.73988520908,0
1992,0.943,682.676281702182,"CT",2016,"Connecticut",1292.15050380841,0
1993,0.943,742.529316404234,"CT",2016,"Connecticut",1508.68044389357,0
1994,0.943,802.243032681805,"CT",2016,"Connecticut",1449.18889929041,0
1995,0.943,863.005349005441,"CT",2016,"Connecticut",1404.49145466749,0
1996,0.943,867.078290295147,"CT",2016,"Connecticut",1251.25389192918,0
1997,0.943,890.027691102497,"CT",2016,"Connecticut",1082.65114854551,0
1998,0.943,896.786483462617,"CT",2016,"Connecticut",1055.61374366794,0
1999,0.943,820.398413557775,"CT",2016,"Connecticut",1020.96439835893,0
2000,0.943,817.742903576448,"CT",2016,"Connecticut",968.195611374797,0
2001,0.943,768.703974830001,"CT",2016,"Connecticut",850.527752712353,0
2002,0.943,553.864702744724,"CT",2016,"Connecticut",320.255111192191,0
2003,0.943,524.845077032086,"CT",2016,"Connecticut",716.839634560943,0
2004,0.943,591.900253408183,"CT",2016,"Connecticut",766.83829676998,0
2005,0.943,795.914911821911,"CT",2016,"Connecticut",1119.33977417688,0
2006,0.943,1022.63543077887,"CT",2016,"Connecticut",1193.94941581974,0
2007,0.943,1107.41262081847,"CT",2016,"Connecticut",1630.43779790792,0
2008,0.943,1003.16051787555,"CT",2016,"Connecticut",1055.68727249625,0
2009,0.943,800.983184713819,"CT",2016,"Connecticut",774.834202179835,0
2010,0.943,694.373290933796,"CT",2016,"Connecticut",867.440405089471,0
2011,0.943,776.396681823205,"CT",2016,"Connecticut",1125.52913265487,0
2012,0.943,804.959992512222,"CT",2016,"Connecticut",841.734041858151,0
2013,0.943,878.901790125224,"CT",2016,"Connecticut",754.255455317787,0
2014,0.943,834.774351186588,"CT",2016,"Connecticut",818.889943937358,0
2015,0.943,884.356219415319,"CT",2016,"Connecticut",849.14209580764,0
2016,0.943,796.92899693246,"CT",2016,"Connecticut",989.946752335411,1
2017,0.943,784.53022188258,"CT",2016,"Connecticut",1137.56272612412,1
2018,0.943,828.954846288144,"CT",2016,"Connecticut",1041.08373634563,1
2019,0.943,985.280209729134,"CT",2016,"Connecticut",3021.28879964415,1
2020,0.943,815.050278443593,"CT",2016,"Connecticut",2969.68218326388,1
2021,0.943,1217.63803402495,"CT",2016,"Connecticut",3559.76782032727,1
2022,0.943,1542.13485338239,"CT",2016,"Connecticut",4402.94753330039,1
