"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.948,788.145871529687,"DE",2017,"Delaware",945.53209496408,0
1977,0.948,844.705598083349,"DE",2017,"Delaware",1124.4377697298,0
1978,0.948,873.912575715261,"DE",2017,"Delaware",1241.92033660777,0
1979,0.948,911.925496815002,"DE",2017,"Delaware",1332.90298791759,0
1980,0.948,869.187878456886,"DE",2017,"Delaware",950.86461060859,0
1981,0.948,794.744397531045,"DE",2017,"Delaware",698.344129456372,0
1982,0.948,749.357904780283,"DE",2017,"Delaware",718.428303501556,0
1983,0.948,667.065470109596,"DE",2017,"Delaware",567.81634547573,0
1984,0.948,736.413959894994,"DE",2017,"Delaware",811.433254355038,0
1985,0.948,827.367918421337,"DE",2017,"Delaware",1425.0559968912,0
1986,0.948,823.404391388133,"DE",2017,"Delaware",1354.71836404326,0
1987,0.948,884.983184138357,"DE",2017,"Delaware",1669.51159181295,0
1988,0.948,907.749522362001,"DE",2017,"Delaware",1790.18771724227,0
1989,0.948,961.650338453941,"DE",2017,"Delaware",2188.28576092746,0
1990,0.948,844.881024023465,"DE",2017,"Delaware",1548.42726581143,0
1991,0.948,767.55065137481,"DE",2017,"Delaware",1518.66616415815,0
1992,0.948,690.419327938454,"DE",2017,"Delaware",1528.19204369603,0
1993,0.948,777.44568576196,"DE",2017,"Delaware",1293.55373016373,0
1994,0.948,842.563199886883,"DE",2017,"Delaware",1697.743080927,0
1995,0.948,922.32610365478,"DE",2017,"Delaware",2033.41645934443,0
1996,0.948,934.193083293016,"DE",2017,"Delaware",1672.75623599061,0
1997,0.948,959.76569869573,"DE",2017,"Delaware",1681.31604049754,0
1998,0.948,982.588696176811,"DE",2017,"Delaware",1945.4300869113,0
1999,0.948,911.356795733363,"DE",2017,"Delaware",2129.00091640682,0
2000,0.948,922.792349024822,"DE",2017,"Delaware",2039.89171833436,0
2001,0.948,904.083237894453,"DE",2017,"Delaware",1294.48943515629,0
2002,0.948,704.830731381242,"DE",2017,"Delaware",1994.3819918639,0
2003,0.948,704.291567872931,"DE",2017,"Delaware",1590.60320182756,0
2004,0.948,739.126749382036,"DE",2017,"Delaware",1594.94163765684,0
2005,0.948,962.776522492798,"DE",2017,"Delaware",1733.06763148678,0
2006,0.948,1177.00191856928,"DE",2017,"Delaware",1961.24666438653,0
2007,0.948,1239.00050455852,"DE",2017,"Delaware",1921.88802782855,0
2008,0.948,1164.48136562487,"DE",2017,"Delaware",1864.41750128006,0
2009,0.948,941.013515843691,"DE",2017,"Delaware",1253.77541897589,0
2010,0.948,844.174334273,"DE",2017,"Delaware",834.454004773468,0
2011,0.948,921.03117999535,"DE",2017,"Delaware",1925.34226098249,0
2012,0.948,928.983733329654,"DE",2017,"Delaware",1434.76489764996,0
2013,0.948,995.117938484473,"DE",2017,"Delaware",1653.35662663578,0
2014,0.948,971.015496822335,"DE",2017,"Delaware",1451.03783257743,0
2015,0.948,1031.61797080822,"DE",2017,"Delaware",2062.95415970414,0
2016,0.948,941.888856960659,"DE",2017,"Delaware",1603.88387093055,0
2017,0.948,939.776774551276,"DE",2017,"Delaware",1205.05461739773,1
2018,0.948,1047.89979086008,"DE",2017,"Delaware",1206.16028131596,1
2019,0.948,1220.51931890035,"DE",2017,"Delaware",1334.85828043327,1
2020,0.948,1035.02458673018,"DE",2017,"Delaware",1096.62616242034,1
2021,0.948,1461.14438828295,"DE",2017,"Delaware",1413.30806226286,1
2022,0.948,1760.79759554323,"DE",2017,"Delaware",1922.00928285293,1
