"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.922,797.701559079261,"GA",2006,"Georgia",757.50623295789,0
1977,0.922,853.883575303941,"GA",2006,"Georgia",900.398525191801,0
1978,0.922,872.460890175488,"GA",2006,"Georgia",983.845234887944,0
1979,0.922,896.522942655064,"GA",2006,"Georgia",961.07140364013,0
1980,0.922,854.894537988087,"GA",2006,"Georgia",883.778734662373,0
1981,0.922,814.268242327853,"GA",2006,"Georgia",830.546744214731,0
1982,0.922,736.338776044859,"GA",2006,"Georgia",818.294755643392,0
1983,0.922,641.809761335477,"GA",2006,"Georgia",697.691769419873,0
1984,0.922,676.23137519559,"GA",2006,"Georgia",868.616091479015,0
1985,0.922,773.737471701205,"GA",2006,"Georgia",1086.50904857941,0
1986,0.922,770.8484312062,"GA",2006,"Georgia",1044.96406199947,0
1987,0.922,770.920437923812,"GA",2006,"Georgia",1061.45743775048,0
1988,0.922,811.710578577122,"GA",2006,"Georgia",1068.36468884938,0
1989,0.922,872.282749775236,"GA",2006,"Georgia",1100.69322370571,0
1990,0.922,776.805901871646,"GA",2006,"Georgia",937.237328730378,0
1991,0.922,713.093279281999,"GA",2006,"Georgia",769.84843895067,0
1992,0.922,657.462948086897,"GA",2006,"Georgia",659.539089103713,0
1993,0.922,715.935550199371,"GA",2006,"Georgia",787.51213128551,0
1994,0.922,770.708168815638,"GA",2006,"Georgia",832.212557620615,0
1995,0.922,833.496166690623,"GA",2006,"Georgia",993.878300915754,0
1996,0.922,837.375859824841,"GA",2006,"Georgia",1042.2225272831,0
1997,0.922,859.11422966147,"GA",2006,"Georgia",1007.5046003032,0
1998,0.922,865.882509425126,"GA",2006,"Georgia",990.47488255568,0
1999,0.922,793.811669271606,"GA",2006,"Georgia",1018.83146405152,0
2000,0.922,788.756150064148,"GA",2006,"Georgia",838.098036328448,0
2001,0.922,746.291870343315,"GA",2006,"Georgia",776.810218389636,0
2002,0.922,541.599635272608,"GA",2006,"Georgia",618.566701164308,0
2003,0.922,518.053968738334,"GA",2006,"Georgia",508.572689728897,0
2004,0.922,580.477578345187,"GA",2006,"Georgia",497.73368052457,0
2005,0.922,776.649884086634,"GA",2006,"Georgia",681.024067631327,0
2006,0.922,996.630637719798,"GA",2006,"Georgia",804.282024993936,1
2007,0.922,1083.41492547707,"GA",2006,"Georgia",874.482683197433,1
2008,0.922,977.382975711648,"GA",2006,"Georgia",768.041621695808,1
2009,0.922,780.671659870991,"GA",2006,"Georgia",560.972032241587,1
2010,0.922,674.18480144643,"GA",2006,"Georgia",538.844744047763,1
2011,0.922,761.194821333131,"GA",2006,"Georgia",506.684432489179,1
2012,0.922,789.837765537744,"GA",2006,"Georgia",432.957558916755,1
2013,0.922,862.286720939412,"GA",2006,"Georgia",571.783420170297,1
2014,0.922,818.039298355975,"GA",2006,"Georgia",659.759701737241,1
2015,0.922,868.088445581256,"GA",2006,"Georgia",690.893606379148,1
2016,0.922,778.86941099774,"GA",2006,"Georgia",660.848186017083,1
2017,0.922,762.633016698892,"GA",2006,"Georgia",634.37598438933,1
2018,0.922,806.435758409562,"GA",2006,"Georgia",633.668345251043,1
2019,0.922,958.024843262373,"GA",2006,"Georgia",813.691730568625,1
2020,0.922,796.07678375202,"GA",2006,"Georgia",616.150029052875,1
2021,0.922,1185.00938927388,"GA",2006,"Georgia",1041.34447581901,1
2022,0.922,1507.48027270728,"GA",2006,"Georgia",1366.61112306453,1
