"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.947,795.082250436547,"IN",2007,"Indiana",929.290035014382,0
1977,0.947,886.078461179308,"IN",2007,"Indiana",873.881400936378,0
1978,0.947,925.563574958292,"IN",2007,"Indiana",1795.07189350599,0
1979,0.947,944.624199118326,"IN",2007,"Indiana",1058.92748577251,0
1980,0.947,884.421009632043,"IN",2007,"Indiana",1320.1958105031,0
1981,0.947,829.161369960056,"IN",2007,"Indiana",1036.27624287593,0
1982,0.947,782.310391171094,"IN",2007,"Indiana",794.996261376018,0
1983,0.947,703.851422002192,"IN",2007,"Indiana",859.449149905207,0
1984,0.947,746.320638203899,"IN",2007,"Indiana",763.736533499286,0
1985,0.947,826.916636791006,"IN",2007,"Indiana",1012.04533421875,0
1986,0.947,826.104806858798,"IN",2007,"Indiana",1023.60956712881,0
1987,0.947,842.747585738336,"IN",2007,"Indiana",1115.04531315721,0
1988,0.947,874.627982686457,"IN",2007,"Indiana",1182.1571650802,0
1989,0.947,932.176874626075,"IN",2007,"Indiana",1211.02428677908,0
1990,0.947,817.005703287694,"IN",2007,"Indiana",1381.27517882268,0
1991,0.947,734.696816785254,"IN",2007,"Indiana",1196.49085071414,0
1992,0.947,693.027231381357,"IN",2007,"Indiana",2494.32315469759,0
1993,0.947,785.454885250123,"IN",2007,"Indiana",2342.52074515207,0
1994,0.947,851.484028544969,"IN",2007,"Indiana",2758.44819510443,0
1995,0.947,940.843389457383,"IN",2007,"Indiana",2913.29253983273,0
1996,0.947,939.341188883276,"IN",2007,"Indiana",2873.40851087147,0
1997,0.947,976.9691606552,"IN",2007,"Indiana",2821.8138223563,0
1998,0.947,1000.46997417657,"IN",2007,"Indiana",2835.11795875772,0
1999,0.947,919.901450134588,"IN",2007,"Indiana",2939.80907305455,0
2000,0.947,920.826053471684,"IN",2007,"Indiana",2592.40163306451,0
2001,0.947,900.072370976767,"IN",2007,"Indiana",2235.95815654221,0
2002,0.947,690.72913800482,"IN",2007,"Indiana",1884.04888444807,0
2003,0.947,681.017285075068,"IN",2007,"Indiana",1880.92878470692,0
2004,0.947,713.502426471493,"IN",2007,"Indiana",644.269800205751,0
2005,0.947,911.526524095563,"IN",2007,"Indiana",791.342724615784,0
2006,0.947,1140.43062409058,"IN",2007,"Indiana",961.947615611153,0
2007,0.947,1259.84558556584,"IN",2007,"Indiana",877.943163108125,1
2008,0.947,1154.67244528489,"IN",2007,"Indiana",773.518692070102,1
2009,0.947,936.925568963738,"IN",2007,"Indiana",712.262757209589,1
2010,0.947,823.146532038908,"IN",2007,"Indiana",496.544168266325,1
2011,0.947,913.694958357748,"IN",2007,"Indiana",546.942122565713,1
2012,0.947,935.200739533299,"IN",2007,"Indiana",622.59869724904,1
2013,0.947,1004.65790463804,"IN",2007,"Indiana",638.273901918163,1
2014,0.947,955.771449154657,"IN",2007,"Indiana",740.090586836861,1
2015,0.947,1036.76303216578,"IN",2007,"Indiana",823.737875438113,1
2016,0.947,925.374514866447,"IN",2007,"Indiana",998.86504834544,1
2017,0.947,884.095993548129,"IN",2007,"Indiana",1004.77076711537,1
2018,0.947,1003.92676279325,"IN",2007,"Indiana",692.340731511464,1
2019,0.947,1166.02674255719,"IN",2007,"Indiana",760.353082534977,1
2020,0.947,1023.86280276041,"IN",2007,"Indiana",783.179837433829,1
2021,0.947,1435.5073846163,"IN",2007,"Indiana",1428.99117078595,1
2022,0.947,1761.56535696364,"IN",2007,"Indiana",1571.35575365033,1
