"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.918,785.262083769853,"ME",2007,"Maine",752.962127682431,0
1977,0.918,851.418729999388,"ME",2007,"Maine",751.915374754508,0
1978,0.918,884.375726739743,"ME",2007,"Maine",675.027000253615,0
1979,0.918,908.011628624366,"ME",2007,"Maine",722.891756421925,0
1980,0.918,846.385152465967,"ME",2007,"Maine",700.666409089971,0
1981,0.918,790.410272681982,"ME",2007,"Maine",549.121983599733,0
1982,0.918,747.011569995432,"ME",2007,"Maine",474.773627762607,0
1983,0.918,656.226000674566,"ME",2007,"Maine",324.526132834417,0
1984,0.918,708.214965339885,"ME",2007,"Maine",485.008172462947,0
1985,0.918,766.829075419148,"ME",2007,"Maine",479.109173507975,0
1986,0.918,766.778668219779,"ME",2007,"Maine",452.920111496405,0
1987,0.918,839.237177303255,"ME",2007,"Maine",568.666398957486,0
1988,0.918,850.312731685204,"ME",2007,"Maine",666.037905747569,0
1989,0.918,900.300873572762,"ME",2007,"Maine",713.10912535529,0
1990,0.918,765.02029336906,"ME",2007,"Maine",401.208438398051,0
1991,0.918,710.468354846306,"ME",2007,"Maine",506.135123702066,0
1992,0.918,652.595644347532,"ME",2007,"Maine",451.615235549782,0
1993,0.918,708.334816527398,"ME",2007,"Maine",468.968176620097,0
1994,0.918,791.267330003246,"ME",2007,"Maine",561.390238514026,0
1995,0.918,860.300455364821,"ME",2007,"Maine",375.815961484756,0
1996,0.918,869.848549184739,"ME",2007,"Maine",408.543860704263,0
1997,0.918,900.81839160173,"ME",2007,"Maine",544.319739310242,0
1998,0.918,922.560265373935,"ME",2007,"Maine",589.91904694565,0
1999,0.918,834.576153856265,"ME",2007,"Maine",791.167138179386,0
2000,0.918,842.717665274411,"ME",2007,"Maine",764.054667738241,0
2001,0.918,811.091197154741,"ME",2007,"Maine",473.524715651879,0
2002,0.918,632.041089330092,"ME",2007,"Maine",371.600187113681,0
2003,0.918,627.107439025173,"ME",2007,"Maine",424.770818452579,0
2004,0.918,663.843174894763,"ME",2007,"Maine",503.675475307637,0
2005,0.918,859.469261541642,"ME",2007,"Maine",590.707983509269,0
2006,0.918,1063.49666980543,"ME",2007,"Maine",789.023302578592,0
2007,0.918,1149.71745863541,"ME",2007,"Maine",748.248065447147,1
2008,0.918,1054.57020279167,"ME",2007,"Maine",721.294002026821,1
2009,0.918,838.56702132362,"ME",2007,"Maine",561.727571129151,1
2010,0.918,767.374237426638,"ME",2007,"Maine",678.0452364044,1
2011,0.918,842.563761471422,"ME",2007,"Maine",783.197154633572,1
2012,0.918,866.229967990968,"ME",2007,"Maine",852.448227201902,1
2013,0.918,929.65882603524,"ME",2007,"Maine",622.289942388176,1
2014,0.918,889.565760976284,"ME",2007,"Maine",650.003308087063,1
2015,0.918,940.353116009413,"ME",2007,"Maine",600.636005609425,1
2016,0.918,869.738633145492,"ME",2007,"Maine",481.486802557375,1
2017,0.918,849.290898108827,"ME",2007,"Maine",599.346056896347,1
2018,0.918,930.680531261647,"ME",2007,"Maine",618.07828722093,1
2019,0.918,1098.1839945203,"ME",2007,"Maine",823.02336771156,1
2020,0.918,921.065859118631,"ME",2007,"Maine",685.336594882646,1
2021,0.918,1327.9406376889,"ME",2007,"Maine",852.183218735638,1
2022,0.918,1678.60746515158,"ME",2007,"Maine",1145.21746769116,1
