"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.939,746.590389425567,"MD",2018,"Maryland",660.87989609978,0
1977,0.939,789.147686690646,"MD",2018,"Maryland",651.858705385024,0
1978,0.939,831.600735314159,"MD",2018,"Maryland",664.094681382204,0
1979,0.939,865.760277193622,"MD",2018,"Maryland",683.448766600403,0
1980,0.939,819.161781620051,"MD",2018,"Maryland",680.15868413234,0
1981,0.939,773.998222010931,"MD",2018,"Maryland",576.499405446592,0
1982,0.939,741.946843252232,"MD",2018,"Maryland",514.521636439222,0
1983,0.939,627.669408323515,"MD",2018,"Maryland",493.550326051663,0
1984,0.939,687.854083464119,"MD",2018,"Maryland",624.799747092639,0
1985,0.939,766.961411876393,"MD",2018,"Maryland",740.458928175748,0
1986,0.939,765.680008754729,"MD",2018,"Maryland",727.200439216829,0
1987,0.939,829.259009002972,"MD",2018,"Maryland",745.039790277215,0
1988,0.939,823.924839450983,"MD",2018,"Maryland",811.648770628877,0
1989,0.939,885.795519120051,"MD",2018,"Maryland",806.860869140422,0
1990,0.939,765.536704091168,"MD",2018,"Maryland",666.531542869285,0
1991,0.939,699.866508212924,"MD",2018,"Maryland",551.824452073689,0
1992,0.939,633.858538060028,"MD",2018,"Maryland",450.582528064275,0
1993,0.939,708.921209274768,"MD",2018,"Maryland",520.870463630437,0
1994,0.939,752.784273779786,"MD",2018,"Maryland",618.863750340352,0
1995,0.939,828.445416460762,"MD",2018,"Maryland",682.484260396954,0
1996,0.939,842.928830803484,"MD",2018,"Maryland",595.134286162227,0
1997,0.939,865.528229018082,"MD",2018,"Maryland",600.324485958966,0
1998,0.939,882.670831272048,"MD",2018,"Maryland",646.996982555894,0
1999,0.939,823.880089783615,"MD",2018,"Maryland",671.457943113721,0
2000,0.939,834.288304368761,"MD",2018,"Maryland",673.405750412619,0
2001,0.939,819.737504060477,"MD",2018,"Maryland",752.460853154251,0
2002,0.939,656.703774467227,"MD",2018,"Maryland",524.617873411374,0
2003,0.939,658.651387543716,"MD",2018,"Maryland",535.399898249892,0
2004,0.939,699.938574101088,"MD",2018,"Maryland",776.71759751494,0
2005,0.939,901.840239986625,"MD",2018,"Maryland",1055.61539383226,0
2006,0.939,1115.23643386017,"MD",2018,"Maryland",1066.39807249029,0
2007,0.939,1189.62151393265,"MD",2018,"Maryland",953.076499666781,0
2008,0.939,1086.07733792895,"MD",2018,"Maryland",728.193697708724,0
2009,0.939,889.462086049838,"MD",2018,"Maryland",738.485915758854,0
2010,0.939,787.159379298144,"MD",2018,"Maryland",855.971682722839,0
2011,0.939,893.363844829192,"MD",2018,"Maryland",715.85570129498,0
2012,0.939,908.402079021939,"MD",2018,"Maryland",789.311418158417,0
2013,0.939,979.285872151414,"MD",2018,"Maryland",836.077253924164,0
2014,0.939,938.91602023356,"MD",2018,"Maryland",844.284663402552,0
2015,0.939,979.868125871843,"MD",2018,"Maryland",857.041653744145,0
2016,0.939,898.440564016405,"MD",2018,"Maryland",949.206094876786,0
2017,0.939,880.48008236957,"MD",2018,"Maryland",821.901501482249,0
2018,0.939,980.275200035733,"MD",2018,"Maryland",825.409384909259,1
2019,0.939,1148.68974614717,"MD",2018,"Maryland",1018.75910210189,1
2020,0.939,973.250063352124,"MD",2018,"Maryland",1005.50419767516,1
2021,0.939,1382.4163934223,"MD",2018,"Maryland",1333.42595789285,1
2022,0.939,1726.31000453419,"MD",2018,"Maryland",1439.25092879336,1
