"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.94,797.072610874688,"MI",1991,"Michigan",2740.0737998894,0
1977,0.94,855.899700139879,"MI",1991,"Michigan",6043.98224220641,0
1978,0.94,880.497055988954,"MI",1991,"Michigan",6433.83720676827,0
1979,0.94,919.976708681872,"MI",1991,"Michigan",6272.02049923764,0
1980,0.94,877.088467390607,"MI",1991,"Michigan",5081.51428088123,0
1981,0.94,802.742429429302,"MI",1991,"Michigan",4798.13401487062,0
1982,0.94,751.271810062848,"MI",1991,"Michigan",4606.84267088757,0
1983,0.94,673.721234030619,"MI",1991,"Michigan",4742.22408917359,0
1984,0.94,736.88955250934,"MI",1991,"Michigan",5837.88320976278,0
1985,0.94,833.139163782212,"MI",1991,"Michigan",6064.67942400121,0
1986,0.94,831.933519312849,"MI",1991,"Michigan",6166.01019629884,0
1987,0.94,887.365280491526,"MI",1991,"Michigan",6215.09870753284,0
1988,0.94,913.498607567395,"MI",1991,"Michigan",7242.91392709512,0
1989,0.94,962.807467189078,"MI",1991,"Michigan",6905.94489500149,0
1990,0.94,845.343217762557,"MI",1991,"Michigan",6349.00591260973,0
1991,0.94,768.38116055078,"MI",1991,"Michigan",5297.88735334498,1
1992,0.94,689.996295305729,"MI",1991,"Michigan",5539.14259905584,1
1993,0.94,776.235891323416,"MI",1991,"Michigan",5696.79144509483,1
1994,0.94,841.261528805514,"MI",1991,"Michigan",6656.46312539199,1
1995,0.94,916.697609731063,"MI",1991,"Michigan",6291.81586751722,1
1996,0.94,926.039149408165,"MI",1991,"Michigan",6230.45262133877,1
1997,0.94,950.402690351586,"MI",1991,"Michigan",6169.90199801069,1
1998,0.94,973.346051166086,"MI",1991,"Michigan",6396.02633803956,1
1999,0.94,900.189813341648,"MI",1991,"Michigan",6676.16653037717,1
2000,0.94,912.422287467261,"MI",1991,"Michigan",6619.87416111286,1
2001,0.94,886.24014574506,"MI",1991,"Michigan",5940.03759923792,1
2002,0.94,681.32351143772,"MI",1991,"Michigan",6032.59587341938,1
2003,0.94,676.490154642603,"MI",1991,"Michigan",5250.33888550988,1
2004,0.94,718.804240852449,"MI",1991,"Michigan",5101.23003983532,1
2005,0.94,933.641160774106,"MI",1991,"Michigan",5113.55491319747,1
2006,0.94,1149.31619846491,"MI",1991,"Michigan",4906.50319502837,1
2007,0.94,1210.823981923,"MI",1991,"Michigan",4533.53112425879,1
2008,0.94,1137.46760942089,"MI",1991,"Michigan",1677.51583510808,1
2009,0.94,920.044021251503,"MI",1991,"Michigan",668.801680048207,1
2010,0.94,829.93571000974,"MI",1991,"Michigan",592.68014109939,1
2011,0.94,901.001226676834,"MI",1991,"Michigan",662.32676852747,1
2012,0.94,911.580757879051,"MI",1991,"Michigan",589.663328959979,1
2013,0.94,975.343350874951,"MI",1991,"Michigan",649.909955626803,1
2014,0.94,951.837628828538,"MI",1991,"Michigan",624.493067094455,1
2015,0.94,1011.38125103982,"MI",1991,"Michigan",839.170967848419,1
2016,0.94,928.466656143483,"MI",1991,"Michigan",734.12484909267,1
2017,0.94,926.804372393237,"MI",1991,"Michigan",814.692490356587,1
2018,0.94,1028.31097255657,"MI",1991,"Michigan",645.321278522289,1
2019,0.94,1198.47825823412,"MI",1991,"Michigan",746.058897300319,1
2020,0.94,1014.55602428892,"MI",1991,"Michigan",519.775307345998,1
2021,0.94,1435.1714059738,"MI",1991,"Michigan",916.962184446009,1
2022,0.94,1724.20080816983,"MI",1991,"Michigan",1018.4626921597,1
