"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.911,753.961808954091,"NE",1988,"Nebraska",782.364166640936,0
1977,0.911,808.107311231886,"NE",1988,"Nebraska",1076.52306036094,0
1978,0.911,849.551540363267,"NE",1988,"Nebraska",1049.08749199762,0
1979,0.911,871.892871038552,"NE",1988,"Nebraska",998.357474041687,0
1980,0.911,820.682752379903,"NE",1988,"Nebraska",949.635067742647,0
1981,0.911,777.305512020716,"NE",1988,"Nebraska",913.396477428607,0
1982,0.911,712.476376400114,"NE",1988,"Nebraska",769.308239995979,0
1983,0.911,602.768002592531,"NE",1988,"Nebraska",467.467367624474,0
1984,0.911,645.329401338726,"NE",1988,"Nebraska",579.089554858325,0
1985,0.911,721.954557880858,"NE",1988,"Nebraska",431.778914504831,0
1986,0.911,689.721991496177,"NE",1988,"Nebraska",475.485856564859,0
1987,0.911,732.91076291098,"NE",1988,"Nebraska",569.724199308177,0
1988,0.911,767.91757939398,"NE",1988,"Nebraska",596.817969173861,1
1989,0.911,818.657947974637,"NE",1988,"Nebraska",620.837519448484,1
1990,0.911,746.30578373183,"NE",1988,"Nebraska",523.699224577218,1
1991,0.911,698.24660014507,"NE",1988,"Nebraska",484.276360609506,1
1992,0.911,625.073921357385,"NE",1988,"Nebraska",590.132790546236,1
1993,0.911,683.367896186465,"NE",1988,"Nebraska",564.779473740011,1
1994,0.911,743.50030645069,"NE",1988,"Nebraska",602.828812631893,1
1995,0.911,805.043764574415,"NE",1988,"Nebraska",636.742661345005,1
1996,0.911,813.90875170828,"NE",1988,"Nebraska",628.03217424869,1
1997,0.911,852.034946163005,"NE",1988,"Nebraska",661.596655336868,1
1998,0.911,859.576690849956,"NE",1988,"Nebraska",672.354338448208,1
1999,0.911,789.54187482817,"NE",1988,"Nebraska",622.923629777579,1
2000,0.911,802.495985162877,"NE",1988,"Nebraska",607.50084860465,1
2001,0.911,781.464591871387,"NE",1988,"Nebraska",580.294320589261,1
2002,0.911,609.091371792542,"NE",1988,"Nebraska",443.226739537409,1
2003,0.911,572.631292952394,"NE",1988,"Nebraska",446.65607641658,1
2004,0.911,617.062725969666,"NE",1988,"Nebraska",648.733039835289,1
2005,0.911,826.734551687254,"NE",1988,"Nebraska",738.350716891143,1
2006,0.911,1029.79166058058,"NE",1988,"Nebraska",939.759178841002,1
2007,0.911,1115.98718744722,"NE",1988,"Nebraska",737.628742431734,1
2008,0.911,1009.28138518473,"NE",1988,"Nebraska",770.869973653452,1
2009,0.911,816.23734050556,"NE",1988,"Nebraska",653.368957128742,1
2010,0.911,701.759819090071,"NE",1988,"Nebraska",495.316612373708,1
2011,0.911,780.679172570934,"NE",1988,"Nebraska",479.102317758021,1
2012,0.911,802.91696101264,"NE",1988,"Nebraska",704.881259986849,1
2013,0.911,890.366607792299,"NE",1988,"Nebraska",811.756903564788,1
2014,0.911,824.9251369893,"NE",1988,"Nebraska",882.056914934332,1
2015,0.911,881.705739682965,"NE",1988,"Nebraska",983.546788665552,1
2016,0.911,785.590200259552,"NE",1988,"Nebraska",860.954291725143,1
2017,0.911,775.908681332754,"NE",1988,"Nebraska",720.569220197833,1
2018,0.911,866.269978517281,"NE",1988,"Nebraska",830.700728409965,1
2019,0.911,1009.80866457536,"NE",1988,"Nebraska",1098.1286740884,1
2020,0.911,856.467617763706,"NE",1988,"Nebraska",985.699235865665,1
2021,0.911,1237.05353945977,"NE",1988,"Nebraska",1374.14871021691,1
2022,0.911,1560.76775825969,"NE",1988,"Nebraska",1655.5542573289,1
