"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.938,742.072122934114,"NJ",2012,"New Jersey",730.998516501954,0
1977,0.938,786.070537541468,"NJ",2012,"New Jersey",997.90289391151,0
1978,0.938,829.139726262922,"NJ",2012,"New Jersey",1107.86540240943,0
1979,0.938,863.108881758607,"NJ",2012,"New Jersey",1071.6877337557,0
1980,0.938,816.443284662227,"NJ",2012,"New Jersey",1090.70341884305,0
1981,0.938,770.498142225761,"NJ",2012,"New Jersey",948.704598583029,0
1982,0.938,741.018007457446,"NJ",2012,"New Jersey",1123.16694360416,0
1983,0.938,628.413642153083,"NJ",2012,"New Jersey",992.534873063035,0
1984,0.938,691.008068637858,"NJ",2012,"New Jersey",1181.18841028233,0
1985,0.938,768.357978451073,"NJ",2012,"New Jersey",1260.04419364422,0
1986,0.938,767.602933977275,"NJ",2012,"New Jersey",1270.04761592877,0
1987,0.938,831.610430463016,"NJ",2012,"New Jersey",1387.69748810751,0
1988,0.938,826.299204793217,"NJ",2012,"New Jersey",1439.29217710734,0
1989,0.938,888.61492297973,"NJ",2012,"New Jersey",1518.87857354821,0
1990,0.938,767.691871118546,"NJ",2012,"New Jersey",1230.8245386468,0
1991,0.938,700.922076963802,"NJ",2012,"New Jersey",1080.092905951,0
1992,0.938,635.027211482113,"NJ",2012,"New Jersey",855.738858707548,0
1993,0.938,710.75329474031,"NJ",2012,"New Jersey",924.337138116482,0
1994,0.938,755.262652867118,"NJ",2012,"New Jersey",1027.31087240668,0
1995,0.938,831.313625871125,"NJ",2012,"New Jersey",941.783837240137,0
1996,0.938,845.761034268036,"NJ",2012,"New Jersey",1021.42365988443,0
1997,0.938,869.797951514078,"NJ",2012,"New Jersey",1086.42834770257,0
1998,0.938,887.141300293793,"NJ",2012,"New Jersey",991.947724425907,0
1999,0.938,829.211690351254,"NJ",2012,"New Jersey",1092.48948353852,0
2000,0.938,838.751332050092,"NJ",2012,"New Jersey",1031.19474579369,0
2001,0.938,824.689560320378,"NJ",2012,"New Jersey",960.948580167656,0
2002,0.938,663.533393452215,"NJ",2012,"New Jersey",795.298282811108,0
2003,0.938,664.521512854326,"NJ",2012,"New Jersey",1682.8532538062,0
2004,0.938,704.256711156338,"NJ",2012,"New Jersey",1292.26667141774,0
2005,0.938,910.403903621943,"NJ",2012,"New Jersey",1462.84535431495,0
2006,0.938,1124.02273183011,"NJ",2012,"New Jersey",1596.12359558428,0
2007,0.938,1199.37417022859,"NJ",2012,"New Jersey",1782.88655165981,0
2008,0.938,1096.31858799371,"NJ",2012,"New Jersey",1670.58870259708,0
2009,0.938,897.467528001353,"NJ",2012,"New Jersey",1418.15153068638,0
2010,0.938,792.706576589178,"NJ",2012,"New Jersey",1185.63843021402,0
2011,0.938,899.005301957106,"NJ",2012,"New Jersey",1240.10608494063,0
2012,0.938,912.074420345094,"NJ",2012,"New Jersey",1055.42734928865,1
2013,0.938,983.383188446758,"NJ",2012,"New Jersey",1228.79923727203,1
2014,0.938,942.564177036484,"NJ",2012,"New Jersey",1253.42132441371,1
2015,0.938,983.352460620096,"NJ",2012,"New Jersey",1363.18964399421,1
2016,0.938,899.966253111741,"NJ",2012,"New Jersey",1163.1600076472,1
2017,0.938,880.951800946908,"NJ",2012,"New Jersey",1076.05770374286,1
2018,0.938,983.922960546586,"NJ",2012,"New Jersey",1112.54298851263,1
2019,0.938,1154.00913597397,"NJ",2012,"New Jersey",1495.48185160966,1
2020,0.938,978.415541631433,"NJ",2012,"New Jersey",1414.87798136264,1
2021,0.938,1388.92121690384,"NJ",2012,"New Jersey",2063.32973878332,1
2022,0.938,1727.79201046114,"NJ",2012,"New Jersey",2778.57595490232,1
