"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.919,711.198551881674,"ND",2016,"North Dakota",887.719310382084,0
1977,0.919,783.658917530916,"ND",2016,"North Dakota",922.727855584983,0
1978,0.919,837.100559371428,"ND",2016,"North Dakota",821.110958754948,0
1979,0.919,860.975471051332,"ND",2016,"North Dakota",1015.14936607704,0
1980,0.919,800.832702661045,"ND",2016,"North Dakota",793.056930141992,0
1981,0.919,756.571376850674,"ND",2016,"North Dakota",805.60627353949,0
1982,0.919,748.027339492012,"ND",2016,"North Dakota",835.025140355546,0
1983,0.919,649.973575471656,"ND",2016,"North Dakota",432.313850624267,0
1984,0.919,702.923969007427,"ND",2016,"North Dakota",588.802460402893,0
1985,0.919,769.309054418234,"ND",2016,"North Dakota",1104.06980119516,0
1986,0.919,773.502534857803,"ND",2016,"North Dakota",730.874371664531,0
1987,0.919,820.209496508465,"ND",2016,"North Dakota",424.066344129327,0
1988,0.919,808.802406970437,"ND",2016,"North Dakota",513.0713090541,0
1989,0.919,870.525753237339,"ND",2016,"North Dakota",504.224945893288,0
1990,0.919,736.8929023805,"ND",2016,"North Dakota",534.61441076931,0
1991,0.919,661.125875719269,"ND",2016,"North Dakota",561.331828321894,0
1992,0.919,625.752821686094,"ND",2016,"North Dakota",412.465061631373,0
1993,0.919,722.396635530454,"ND",2016,"North Dakota",560.322710321846,0
1994,0.919,760.878919531566,"ND",2016,"North Dakota",717.816018867939,0
1995,0.919,857.4067319295,"ND",2016,"North Dakota",680.690163593942,0
1996,0.919,860.645286345748,"ND",2016,"North Dakota",701.54522517101,0
1997,0.919,888.341841966683,"ND",2016,"North Dakota",696.410883967619,0
1998,0.919,916.91048308326,"ND",2016,"North Dakota",756.168609594199,0
1999,0.919,857.675673888436,"ND",2016,"North Dakota",844.36057554604,0
2000,0.919,861.354016028178,"ND",2016,"North Dakota",673.829982028103,0
2001,0.919,856.622331414133,"ND",2016,"North Dakota",533.420739677616,0
2002,0.919,695.214376902633,"ND",2016,"North Dakota",414.693903725099,0
2003,0.919,714.090354045009,"ND",2016,"North Dakota",453.648128722251,0
2004,0.919,737.499117164915,"ND",2016,"North Dakota",389.500561872273,0
2005,0.919,914.502044680623,"ND",2016,"North Dakota",858.583993251214,0
2006,0.919,1129.48734667704,"ND",2016,"North Dakota",1310.61293429522,0
2007,0.919,1241.02050323296,"ND",2016,"North Dakota",1439.82819584415,0
2008,0.919,1131.55721523356,"ND",2016,"North Dakota",1759.58048582892,0
2009,0.919,936.840899777128,"ND",2016,"North Dakota",1396.99319777137,0
2010,0.919,831.61864223593,"ND",2016,"North Dakota",938.209035416915,0
2011,0.919,948.943124094801,"ND",2016,"North Dakota",1627.7399793424,0
2012,0.919,964.297708768781,"ND",2016,"North Dakota",2571.88572698401,0
2013,0.919,1027.48588267444,"ND",2016,"North Dakota",2601.70069920461,0
2014,0.919,986.359912783072,"ND",2016,"North Dakota",3161.17439821803,0
2015,0.919,1049.68951925192,"ND",2016,"North Dakota",2293.35116437679,0
2016,0.919,952.289676423668,"ND",2016,"North Dakota",1317.76996395749,1
2017,0.919,900.658262210355,"ND",2016,"North Dakota",761.375888431424,1
2018,0.919,1034.68214540777,"ND",2016,"North Dakota",1304.13187590776,1
2019,0.919,1199.76080548685,"ND",2016,"North Dakota",1741.14285509586,1
2020,0.919,1058.66186646538,"ND",2016,"North Dakota",937.115451206883,1
2021,0.919,1450.98523640404,"ND",2016,"North Dakota",1710.98044392122,1
2022,0.919,1787.82614779856,"ND",2016,"North Dakota",2332.89340220111,1
