"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.923,804.287499946472,"RI",2015,"Rhode Island",830.818368576221,0
1977,0.923,860.665349643247,"RI",2015,"Rhode Island",886.575350230476,0
1978,0.923,879.443071027248,"RI",2015,"Rhode Island",878.406423451127,0
1979,0.923,903.91431121658,"RI",2015,"Rhode Island",1012.76877890244,0
1980,0.923,860.612267403256,"RI",2015,"Rhode Island",857.328564551012,0
1981,0.923,820.39770075388,"RI",2015,"Rhode Island",726.374377288077,0
1982,0.923,740.899951004798,"RI",2015,"Rhode Island",713.041380781746,0
1983,0.923,644.745618870711,"RI",2015,"Rhode Island",495.112086354311,0
1984,0.923,676.485693931156,"RI",2015,"Rhode Island",741.363986822973,0
1985,0.923,774.256408485707,"RI",2015,"Rhode Island",845.294203146344,0
1986,0.923,771.336326306437,"RI",2015,"Rhode Island",789.513678021531,0
1987,0.923,774.639830236318,"RI",2015,"Rhode Island",974.868447165465,0
1988,0.923,813.318680837887,"RI",2015,"Rhode Island",839.808646758904,0
1989,0.923,871.99505486068,"RI",2015,"Rhode Island",695.09262386806,0
1990,0.923,775.171443329387,"RI",2015,"Rhode Island",582.41519457264,0
1991,0.923,713.221814610134,"RI",2015,"Rhode Island",373.497508036424,0
1992,0.923,656.390016082367,"RI",2015,"Rhode Island",383.894204186395,0
1993,0.923,713.76616385795,"RI",2015,"Rhode Island",538.226468008068,0
1994,0.923,769.768282479843,"RI",2015,"Rhode Island",598.63566964135,0
1995,0.923,831.197247342906,"RI",2015,"Rhode Island",605.54654330423,0
1996,0.923,834.992742536282,"RI",2015,"Rhode Island",623.48279893283,0
1997,0.923,856.881151340103,"RI",2015,"Rhode Island",625.655661239934,0
1998,0.923,863.734892221691,"RI",2015,"Rhode Island",481.130707100893,0
1999,0.923,789.357253595955,"RI",2015,"Rhode Island",446.395273776045,0
2000,0.923,786.903065391478,"RI",2015,"Rhode Island",459.696223063288,0
2001,0.923,742.477453888437,"RI",2015,"Rhode Island",462.902012140636,0
2002,0.923,537.205710616096,"RI",2015,"Rhode Island",163.810996688988,0
2003,0.923,512.278514178404,"RI",2015,"Rhode Island",378.312371182265,0
2004,0.923,576.866299488699,"RI",2015,"Rhode Island",380.312624979302,0
2005,0.923,768.896464483925,"RI",2015,"Rhode Island",603.736890916984,0
2006,0.923,989.489734392562,"RI",2015,"Rhode Island",880.639947847112,0
2007,0.923,1076.45957970912,"RI",2015,"Rhode Island",908.084492993741,0
2008,0.923,969.548285347779,"RI",2015,"Rhode Island",713.52269031987,0
2009,0.923,774.1622635215,"RI",2015,"Rhode Island",533.308240545985,0
2010,0.923,671.789414722434,"RI",2015,"Rhode Island",588.203602289198,0
2011,0.923,757.287863665518,"RI",2015,"Rhode Island",612.367387714374,0
2012,0.923,788.217038913887,"RI",2015,"Rhode Island",625.578634839523,0
2013,0.923,860.092574164563,"RI",2015,"Rhode Island",652.071513453038,0
2014,0.923,814.566953241175,"RI",2015,"Rhode Island",610.95649971779,0
2015,0.923,864.09143771161,"RI",2015,"Rhode Island",1005.62324412378,1
2016,0.923,777.806044565913,"RI",2015,"Rhode Island",811.784848828307,1
2017,0.923,761.903984993403,"RI",2015,"Rhode Island",715.613668020487,1
2018,0.923,805.987943451684,"RI",2015,"Rhode Island",634.343762654424,1
2019,0.923,957.151024019419,"RI",2015,"Rhode Island",931.853005283345,1
2020,0.923,794.322657106766,"RI",2015,"Rhode Island",1073.81567055103,1
2021,0.923,1181.34149533389,"RI",2015,"Rhode Island",1239.54257162867,1
2022,0.923,1510.93526638594,"RI",2015,"Rhode Island",1297.73440579528,1
