"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.922,776.811127433301,"UT",2011,"Utah",562.904388251805,0
1977,0.922,831.801078608867,"UT",2011,"Utah",518.285084439424,0
1978,0.922,858.168358713912,"UT",2011,"Utah",550.460864049491,0
1979,0.922,894.894007651392,"UT",2011,"Utah",531.377977206839,0
1980,0.922,854.109070168562,"UT",2011,"Utah",831.885440196269,0
1981,0.922,783.01850721776,"UT",2011,"Utah",738.024248193825,0
1982,0.922,730.397672025971,"UT",2011,"Utah",679.856596176041,0
1983,0.922,649.91541326034,"UT",2011,"Utah",427.680710145687,0
1984,0.922,708.966744268266,"UT",2011,"Utah",667.931947747794,0
1985,0.922,803.331606587793,"UT",2011,"Utah",590.472355030387,0
1986,0.922,798.362337473119,"UT",2011,"Utah",729.231685710006,0
1987,0.922,851.567679930309,"UT",2011,"Utah",638.825165490245,0
1988,0.922,875.635434702531,"UT",2011,"Utah",717.158159732633,0
1989,0.922,926.673441159097,"UT",2011,"Utah",871.82194912335,0
1990,0.922,818.026734088224,"UT",2011,"Utah",833.061058242752,0
1991,0.922,743.324499934307,"UT",2011,"Utah",683.380781777919,0
1992,0.922,670.010443745474,"UT",2011,"Utah",597.715955590622,0
1993,0.922,752.572014205983,"UT",2011,"Utah",619.268805713389,0
1994,0.922,815.7588158897,"UT",2011,"Utah",875.184248266806,0
1995,0.922,890.790194178249,"UT",2011,"Utah",978.382958674414,0
1996,0.922,900.934694196421,"UT",2011,"Utah",1114.3128788245,0
1997,0.922,925.0197459435,"UT",2011,"Utah",1181.31060973174,0
1998,0.922,944.743673663685,"UT",2011,"Utah",1078.20400246611,0
1999,0.922,873.790431790636,"UT",2011,"Utah",1015.36316543111,0
2000,0.922,884.797190142595,"UT",2011,"Utah",899.340445484757,0
2001,0.922,863.614720829132,"UT",2011,"Utah",804.824523309916,0
2002,0.922,662.719391947686,"UT",2011,"Utah",530.750450778814,0
2003,0.922,656.91611924826,"UT",2011,"Utah",682.615126745314,0
2004,0.922,697.696644204318,"UT",2011,"Utah",639.269459940108,0
2005,0.922,909.993704262522,"UT",2011,"Utah",786.866427520982,0
2006,0.922,1121.64473941998,"UT",2011,"Utah",1367.51183595441,0
2007,0.922,1182.06294488225,"UT",2011,"Utah",1481.16530794902,0
2008,0.922,1107.68200398407,"UT",2011,"Utah",1376.5846420691,0
2009,0.922,891.559101652209,"UT",2011,"Utah",841.659083491402,0
2010,0.922,798.695958449099,"UT",2011,"Utah",812.8944032968,0
2011,0.922,871.834159402469,"UT",2011,"Utah",782.304409659902,1
2012,0.922,883.77761552267,"UT",2011,"Utah",789.195950563633,1
2013,0.922,947.137206073929,"UT",2011,"Utah",979.384452817173,1
2014,0.922,921.651028584522,"UT",2011,"Utah",885.297745527055,1
2015,0.922,981.948310631674,"UT",2011,"Utah",1042.6939954848,1
2016,0.922,893.758518339991,"UT",2011,"Utah",912.510642614231,1
2017,0.922,893.184305207099,"UT",2011,"Utah",858.616920750028,1
2018,0.922,991.243286046541,"UT",2011,"Utah",1162.86266478324,1
2019,0.922,1156.42815994249,"UT",2011,"Utah",1288.59502406971,1
2020,0.922,977.928377455904,"UT",2011,"Utah",856.167282702582,1
2021,0.922,1384.49243924603,"UT",2011,"Utah",1664.82523893393,1
2022,0.922,1676.79694100609,"UT",2011,"Utah",1949.22422402938,1
