"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post"
1976,0.923,797.164880759555,"WI",2006,"Wisconsin",921.722043296028,0
1977,0.923,853.29534224763,"WI",2006,"Wisconsin",1136.20165863065,0
1978,0.923,872.608640037202,"WI",2006,"Wisconsin",1190.82754101157,0
1979,0.923,896.370482970902,"WI",2006,"Wisconsin",1219.11351858301,0
1980,0.923,854.241346617538,"WI",2006,"Wisconsin",1014.95008549478,0
1981,0.923,814.259857449336,"WI",2006,"Wisconsin",753.271732292794,0
1982,0.923,736.510001277138,"WI",2006,"Wisconsin",895.795169819124,0
1983,0.923,640.819766109703,"WI",2006,"Wisconsin",914.615104656186,0
1984,0.923,674.649935204967,"WI",2006,"Wisconsin",1012.30063420104,0
1985,0.923,771.693717952204,"WI",2006,"Wisconsin",1024.9413604058,0
1986,0.923,768.061808987283,"WI",2006,"Wisconsin",989.871710297612,0
1987,0.923,768.661652284986,"WI",2006,"Wisconsin",1097.71561834819,0
1988,0.923,808.632965305854,"WI",2006,"Wisconsin",1023.70405712925,0
1989,0.923,869.187391811084,"WI",2006,"Wisconsin",942.442480986168,0
1990,0.923,774.118911311749,"WI",2006,"Wisconsin",862.474904974075,0
1991,0.923,711.100977819859,"WI",2006,"Wisconsin",827.396729476078,0
1992,0.923,655.826398585419,"WI",2006,"Wisconsin",789.056994851535,0
1993,0.923,713.88018019314,"WI",2006,"Wisconsin",852.579577018486,0
1994,0.923,768.221288789373,"WI",2006,"Wisconsin",907.32472976813,0
1995,0.923,830.986085359833,"WI",2006,"Wisconsin",1084.75086138483,0
1996,0.923,834.839178044635,"WI",2006,"Wisconsin",968.170719346036,0
1997,0.923,856.813164377063,"WI",2006,"Wisconsin",969.07807658962,0
1998,0.923,863.38440028003,"WI",2006,"Wisconsin",1012.17348074332,0
1999,0.923,791.467594574683,"WI",2006,"Wisconsin",970.950413239019,0
2000,0.923,786.608121570707,"WI",2006,"Wisconsin",790.788189238412,0
2001,0.923,744.320155448321,"WI",2006,"Wisconsin",654.953077663145,0
2002,0.923,540.683206822987,"WI",2006,"Wisconsin",575.051268892771,0
2003,0.923,516.703967522168,"WI",2006,"Wisconsin",661.052679958686,0
2004,0.923,579.405750362037,"WI",2006,"Wisconsin",828.800773775649,0
2005,0.923,775.252111851564,"WI",2006,"Wisconsin",914.737406056473,0
2006,0.923,995.35161000609,"WI",2006,"Wisconsin",909.807639301924,1
2007,0.923,1082.85666537263,"WI",2006,"Wisconsin",1004.69295908144,1
2008,0.923,975.611426388379,"WI",2006,"Wisconsin",899.543384729806,1
2009,0.923,779.167802418801,"WI",2006,"Wisconsin",683.635763346945,1
2010,0.923,672.512153870044,"WI",2006,"Wisconsin",868.67047953712,1
2011,0.923,760.273132549564,"WI",2006,"Wisconsin",838.953584756534,1
2012,0.923,789.28904662907,"WI",2006,"Wisconsin",900.219628809566,1
2013,0.923,862.064519948794,"WI",2006,"Wisconsin",905.067368823969,1
2014,0.923,816.691014765009,"WI",2006,"Wisconsin",911.996222793345,1
2015,0.923,866.72777281936,"WI",2006,"Wisconsin",956.759794193682,1
2016,0.923,777.171329461884,"WI",2006,"Wisconsin",901.170085206563,1
2017,0.923,760.538441026236,"WI",2006,"Wisconsin",855.489442342906,1
2018,0.923,804.613110225027,"WI",2006,"Wisconsin",798.168428785016,1
2019,0.923,955.937216439527,"WI",2006,"Wisconsin",1109.0927103208,1
2020,0.923,794.553404272587,"WI",2006,"Wisconsin",1314.72213490785,1
2021,0.923,1182.38374284928,"WI",2006,"Wisconsin",1999.80831961658,1
2022,0.923,1506.41463833752,"WI",2006,"Wisconsin",2149.31137797995,1
