"","GeoName","Region","year","Totalemploymentnumberofjobs","Wageandsalaryemployment","Proprietorsemployment","Farmproprietorsemployment","Nonfarmproprietorsemployment2","Farmemployment","Nonfarmemployment","Privatenonfarmemployment","Forestryfishingandrelatedactivities","Miningquarryingandoilandgasextraction","Utilities","Construction","Manufacturing","Wholesaletrade","Retailtrade","Transportationandwarehousing","Information","Financeandinsurance","Realestateandrentalandleasing","Professionalscientificandtechnicalservices","Managementofcompaniesandenterprises","Administrativeandsupportandwastemanagementandremediationservices","Educationalservices","Healthcareandsocialassistance","Artsentertainmentandrecreation","Accommodationandfoodservices","Otherservicesexceptgovernmentandgovernmententerprises","Governmentandgovernmententerprises","Federalcivilian","Military","Stateandlocal","Stategovernment","Localgovernment","Post","year_effective"
"1","Alabama",5,2001,2376053,1988175,387878,47687,340191,56046,2320007,1933628,"(D)","9508","14604","158892","335261",86992,277914,"71672","40870",89477,64733,114607,9570,122309,24600,179552,26276,"(D)","146388",386379,50104,37853,298422,95214,203208,0,2021
"2","Alabama",5,2002,2364829,1971266,393563,41915,351648,51018,2313811,1924881,"16955","9265","14177","152592","315017",84304,278061,"68999","37880",89664,65585,117271,10338,126589,25947,188323,27167,"145411","151336",388930,51160,37256,300514,96742,203772,0,2021
"3","Alabama",5,2003,2371429,1965710,405719,40802,364917,49413,2322016,1929884,"15553","9103","13841","155592","299642",82907,279369,"67523","35926",91632,68642,121353,11506,127651,27628,193708,27025,"149402","151881",392132,50427,36586,305119,99325,205794,0,2021
"4","Alabama",5,2004,2425650,2000343,425307,39137,386170,48794,2376856,1978875,"16099","9105","13791","162580","298443",84708,282314,"69228","35707",92416,74322,127366,12589,137058,29005,197253,28539,"153518","154834",397981,51035,39604,307342,99829,207513,0,2021
"5","Alabama",5,2005,2486829,2036263,450566,38955,411611,47292,2439537,2040689,"15875","9894","13150","171349","306073",86461,287197,"72929","36037",93972,80981,129297,13056,145420,30464,203627,30087,"157773","157047",398848,51529,36853,310466,100485,209981,0,2021
"6","Alabama",5,2006,2545547,2073054,472493,37981,434512,47006,2498541,2094081,"15742","10404","13353","178731","309949",88954,286664,"75342","35306",95154,87584,135010,14128,150863,32540,210459,31620,"163156","159122",404460,51744,36996,315720,102365,213355,0,2021
"7","Alabama",5,2007,2604108,2095756,508352,43127,465225,50753,2553355,2143497,"15625","10674","13816","183411","304227",89562,292797,"77149","33017",99391,94796,140990,15458,157239,33820,218341,33031,"167186","162967",409858,51974,36262,321622,104914,216708,0,2021
"8","Alabama",5,2008,2582600,2075003,507597,41846,465751,49579,2533021,2122509,"15853","11663","14540","174419","290230",88224,286019,"75057","32585",102972,95940,143320,15807,154966,35201,222111,33782,"167863","161957",410512,52552,32112,325848,106213,219635,0,2021
"9","Alabama",5,2009,2479511,1968090,511421,41130,470291,50583,2428928,2017835,"14953","10926","14248","153203","254636",81673,273777,"69985","30220",106069,93379,138862,16559,145273,36578,221515,33923,"163319","158737",411093,54087,33131,323875,105637,218238,0,2021
"10","Alabama",5,2010,2460305,1949620,510685,40745,469940,48571,2411734,1998849,"14901","11991","14552","143645","244196",78778,269458,"69346","29119",102594,95325,137183,16847,153402,37770,226035,32925,"162420","158362",412885,58484,32751,321650,105247,216403,0,2021
