"State_Acronym","year","BUSLICTAX","CORPINCTX","CORPLICTAX","PROPTAX","SLGRTAX","SVRNCTAX","TLINCTAX","TLSLTAX","TOTLTAX","INCTAX","SALESTAX","state","Region","Number","sales","industry_dum","election_dum","phase_in_dum","rates","log_CIT","log_sales","log_rate","year_effective","group","Post","treatment","rel_year","log_totrev","State_Name","CPI_def","real_totRev","logRealTotRev","population","real_cit","logRealCitRev","Tot_logReal_capita","CIT_logReal_capita","real_totRev_capita","real_cit_capita","detrended_RTR_capita","detrended_CIT_capita","naive_ci","Ann_CORPINC","real_ci","real_ci_cap","log_ci","real_log_nci"
"AL",1976,14126,60307,31480,31381,815242,11570,284904,418220,1243258,224597,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.0072034622133,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-45,14.0332459113039,"Alabama",56.9,2184987.69771529,14.5971207561597,3735.139,105987.69771529,11.5710783070691,0.00390805288803434,0.00309789764372064,584.981629255374,28.3758376101371,-13.8156737021401,0.188223951499893,1206140,110490084.431644,2119753.9543058,567.516752202743,14.0029357357673,14.5668105806231
"AL",1977,15413,75874,36671,34095,908556,13757,337769,453802,1403674,261895,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.2368293487033,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-44,14.1546036428746,"Alabama",60.6,2316293.72937294,14.6554789357874,3780.403,125204.620462046,11.7377046416161,0.00387669752028749,0.00310488184503507,612.710795482106,33.1193844841532,5.93679829583789,4.39685119651028,1517480,149513688.209561,2504092.40924092,662.387689683064,14.2325616222573,14.7334369151701
"AL",1978,16276,83161,38504,53877,996419,17056,401119,500834,1588761,317958,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.3285337669117,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-43,14.278465025144,"Alabama",65.2,2436750,14.7061757421995,3831.836,127547.54601227,11.7562444839672,0.00383789278617339,0.00306804479209631,635.922309827456,33.2862747811415,21.1716184124339,4.02882186449287,1663220,173062269.010985,2550950.9202454,665.725495622829,14.3242660404657,14.7519767575212
"AL",1979,16747,100610,40929,43417,1095639,22281,463539,548337,1747350,362929,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.5190069352861,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-42,14.373610912496,"Alabama",72.6,2406818.18181818,14.6938161766534,3866.248,138581.267217631,11.8392121994434,0.00380053637962526,0.00306219678599082,622.520381987441,35.8438639263779,-0.207003656335132,6.05149138072356,2012200,193750761.060453,2771625.34435262,716.877278527559,14.5147392088401,14.8349444729974
"AL",1980,17543,109238,45087,44287,1146256,32410,505808,569167,1856789,396570,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.6012842671081,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-41,14.4343592097542,"Alabama",82.4,2253384.70873786,14.6279439588269,3900.368,132570.388349515,11.7948690161807,0.00375040097724802,0.00302404004344737,577.736436340843,33.9892000830472,-52.9676435316873,3.66190790838715,2184760,209760896.256963,2651407.76699029,679.784001660944,14.5970165406621,14.7906012897347
"AL",1981,17575,99095,50731,46192,1284001,60669,614965,688828,2148415,515870,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.5038342649584,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-40,14.5802409189291,"Alabama",90.9,2363492.84928493,14.6756511037338,3918.531,109015.401540154,11.5992444497631,0.00374519203847916,0.00296010021351448,603.157879645441,27.8204769951173,-35.5228944558434,-3.04173480854846,1981900,218461265.651104,2180308.03080308,556.409539902346,14.4995665385124,14.5949767233171
"AL",1982,12803,123218,54950,45681,1341497,63470,604187,712044,2192251,480969,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.7217104233055,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-39,14.6004394277939,"Alabama",96.5,2271762.69430052,14.636066605437,3925.266,127687.046632124,11.7573376009487,0.00372868147163453,0.00299529703234091,578.753820581973,32.5295270771775,-67.9036477480654,1.13239564450603,2464360,214769417.46952,2553740.93264249,650.590541543551,14.7174426968595,14.7530698745027
"AL",1983,11659,133717,54595,53285,1385526,77144,690107,725873,2341219,556390,NA,1,"Southeast",3,33.34,NA,NA,NA,5,11.8034809053437,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-38,14.6661822918626,"Alabama",99.6,2350621.48594378,14.6701903132601,3934.102,134254.016064257,11.8074889267412,0.00372898067036902,0.00300131743578108,597.498866563139,34.1257079923848,-57.1352959956535,2.19365693070761,2674340,200953385.328759,2685080.32128514,682.514159847696,14.7992131788977,14.8032212002952
"AL",1984,34241,223816,65029,57768,1512535,119525,846989,777217,2704250,623173,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.3185795647084,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-37,14.8103351674925,"Alabama",103.9,2602743.02213667,14.7720764553754,3951.82,215414.821944177,12.2803208525913,0.00373804385204169,0.00310751017318383,658.618819211571,54.510281830695,-3.99203757597547,22.0433111400121,4476320,238577256.87217,4308296.43888354,1090.2056366139,15.3143118382624,15.2760531261453
"AL",1985,64934,199998,73681,61471,1611306,89634,911677,792379,2941336,711679,NA,1,"Southeast",3,33.34,NA,NA,NA,5,12.2060626454802,3.50675787732265,1.6094379124341,2021,"nyt",0,0,-36,14.8943744578653,"Alabama",107.6,2733583.64312268,14.8211239961257,3972.523,185871.747211896,12.1328121837406,0.00373090954945401,0.00305418299245607,688.122798312981,46.7893445077337,17.5352472966805,13.7874541880451,3999960,272041415.381614,3717434.94423792,935.786890154675,15.2017949190342,15.1285444572946
