"State","Effective_Year","Point_Estimate","CI_Lower","CI_Upper","T_Statistic","P_Value_Two_Tail","P_Value_Left_Tail","P_Value_Right_Tail","Controls","Periods","Dimensions"
"Iowa",1978,-298.384370499005,-1974.30136097433,1377.53261997632,-0.34896320611451,0.727214746882855,0.363607373441428,0.636392626558572,"HI 0.075; ID 0.071; FL 0.068; MT 0.068; WV 0.068; MS 0.068; VA 0.066; TN 0.066; NM 0.066; AK 0.066; VT 0.066; NH 0.064; MA 0.064; OK 0.064","1977 0.949"," 1;  15;  14.964;  45;  2;  1.107"
"Nebraska",1988,66.8911382282406,-841.66127071459,975.443547171071,0.144302771790462,0.885300103836463,0.557349948081768,0.442650051918232,"KS 0.072; ID 0.071; OK 0.071; NM 0.07; TN 0.07; VA 0.07; VT 0.07; HI 0.07; MS 0.07; FL 0.07; MT 0.069; NH 0.069; WV 0.069","1987 0.564; 1984 0.232; 1985 0.188"," 1;  15;  14.487;  35;  12;  2.454"
"Michigan",1991,-2831.51582254474,-3692.92244929408,-1970.1091957954,-6.44268437210738,2.09615560564349e-10,1.04807780282174e-10,0.999999999895192,"MA 0.084; NH 0.084; WV 0.082; TN 0.074; VA 0.072; VT 0.071; MS 0.07; KS 0.069; FL 0.069; HI 0.069; MT 0.069; NM 0.064; ID 0.063","1987 0.539; 1984 0.257; 1990 0.205"," 1;  15;  13.86;  32;  15;  2.513"
"Illinois",1999,-505.380228675802,-1423.92203131584,413.161573964239,-1.07838886086358,0.281206498096167,0.140603249048083,0.859396750951916,"NH 0.073; MA 0.072; WV 0.071; TN 0.07; KS 0.07; ID 0.069; MS 0.069; FL 0.069; NM 0.069; VA 0.068; MT 0.068; VT 0.068; HI 0.067","1998 0.503; 1987 0.441"," 1;  15;  14.68;  24;  23;  2.218"
"Oregon",2004,-56.6167132014188,-583.684827884648,470.45140148181,-0.210539690759844,0.833303586816764,0.416651793408382,0.583348206591618,"KS 0.073; NM 0.071; NH 0.071; ID 0.071; MS 0.071; TN 0.071; VA 0.07; FL 0.07; VT 0.07; OK 0.07; WV 0.07; MA 0.07; MT 0.069","2003 0.717; 1987 0.089; 2001 0.072; 1988 0.038"," 1;  15;  14.408;  19;  28;  1.882"
"Georgia",2006,-276.479164499881,-810.841083796446,257.882754796685,-1.01410512772527,0.310859191761518,0.155429595880759,0.844570404119241,"MA 0.075; KS 0.073; VA 0.071; WV 0.071; VT 0.071; HI 0.071; TN 0.071; MT 0.07; MS 0.07; NM 0.07; FL 0.07; ID 0.07; OK 0.069","2003 0.712; 1987 0.112; 2000 0.056; 2001 0.042"," 1;  15;  14.263;  17;  30;  1.899"
"Wisconsin",2006,-37.4393258058391,-566.058373940928,491.17972232925,-0.13881656145068,0.889632321108778,0.444816160554389,0.555183839445611,"MA 0.073; KS 0.072; VT 0.072; VA 0.072; OK 0.071; HI 0.071; NM 0.071; TN 0.071; MS 0.07; ID 0.07; FL 0.07; WV 0.07; MT 0.07","2003 0.712; 1987 0.112; 2000 0.056; 2001 0.042"," 1;  15;  14.233;  17;  30;  1.899"
"Arizona",2007,-240.518467110055,-719.858997481697,238.822063261587,-0.983468256210694,0.325693755314762,0.162846877657381,0.837153122342619,"NH 0.08; WV 0.076; MS 0.074; TN 0.072; FL 0.072; NM 0.072; MT 0.07; VA 0.07; ID 0.07; MA 0.07; VT 0.069; OK 0.067; HI 0.066","2003 0.727; 1987 0.126; 2000 0.073"," 1;  15;  14.168;  16;  31;  1.813"
"Indiana",2007,-1295.76555271096,-1781.52226506721,-810.008840354707,-5.22833842273469,2.21935607404915e-07,1.10967803702458e-07,0.999999889032196,"KS 0.084; NH 0.082; MS 0.081; WV 0.081; TN 0.075; ID 0.074; FL 0.073; MT 0.071; NM 0.07; MA 0.069; VA 0.064; VT 0.062; OK 0.061","2003 0.727; 1987 0.126; 2000 0.073"," 1;  15;  13.797;  16;  31;  1.813"
"Maine",2007,-115.039845348164,-599.977943951786,369.898253255457,-0.464962636533747,0.642092994362713,0.321046497181357,0.678953502818643,"VA 0.072; HI 0.071; NH 0.071; TN 0.071; MS 0.071; VT 0.071; FL 0.071; OK 0.07; ID 0.07; KS 0.07; WV 0.07; MA 0.07; NM 0.07","2003 0.727; 1987 0.126; 2000 0.073"," 1;  15;  14.271;  16;  31;  1.813"
"Minnesota",2007,64.6005899847034,-435.211580736071,564.412760705477,0.253329478126604,0.800082949649287,0.599958525175357,0.400041474824643,"NH 0.073; WV 0.072; MS 0.072; TN 0.072; KS 0.071; ID 0.071; FL 0.071; MA 0.071; VA 0.07; NM 0.07; HI 0.07; VT 0.07; MT 0.07","2003 0.727; 1987 0.126; 2000 0.073"," 1;  15;  14.235;  16;  31;  1.813"
