"State","Effective_Year","Point_Estimate","CI_Lower","CI_Upper","T_Statistic","P_Value_Two_Tail","P_Value_Left_Tail","P_Value_Right_Tail"
"Iowa",1978,-9.36864617898713,-284.028726885025,265.291434527051,-0.0668555345342221,0.946756345716171,0.473378172858085,0.526621827141915
"Nebraska",1988,16.5597024366386,-88.0516061338277,121.171011007105,0.310262984177743,0.756459072563297,0.621770463718351,0.378229536281649
"Michigan",1991,-64.0137277851685,-184.784054325585,56.7565987552482,-1.03888852546028,0.299181428270315,0.149590714135158,0.850409285864842
"Illinois",1999,6.73361831794543,-164.937329303068,178.404565938959,0.0768790065300341,0.938733894247463,0.530633052876268,0.469366947123732
"Oregon",2004,-23.4170862029005,-172.758047881942,125.923875476141,-0.307333556993736,0.758642469920711,0.379321234960356,0.620678765039644
"Georgia",2006,-93.3342914937074,-785.191632456762,598.523049469347,-0.264411751522393,0.791512735196092,0.395756367598046,0.604243632401954
"Wisconsin",2006,-61.058085504762,-715.680299268092,593.564128258568,-0.182813606188744,0.854978331067923,0.427489165533961,0.572510834466039
"Arizona",2007,-128.956841140071,-936.760743415433,678.84706113529,-0.312892037191944,0.754422707379387,0.377211353689693,0.622788646310307
"Indiana",2007,23.017489369498,-626.715243407828,672.750222146824,0.0694351336916212,0.944656034651981,0.527671982674009,0.472328017325991
"Maine",2007,-9.35270057716245,-452.976185960847,434.270784806522,-0.0413217373182664,0.967046992376215,0.483523496188108,0.516476503811892
"Minnesota",2007,-50.7311692591189,-808.447342170568,706.98500365233,-0.131227358346875,0.895619737135363,0.447809868567682,0.552190131432319
"Pennsylvania",2007,7.16922540720324,-845.006351910083,859.34480272449,0.0164891862336094,0.98684715498135,0.506576422509325,0.493423577490675
"South Carolina",2007,-101.148839893444,-863.943444674143,661.645764887255,-0.259901846379926,0.794988705348433,0.397494352674216,0.602505647325784
"Colorado",2009,-2.98840453385205,-739.466398064394,733.489588996689,-0.00795308609055828,0.993655892428838,0.496827946214419,0.503172053785581
"California",2011,46.2720121806496,-221.486392376973,314.030416738272,0.338712594377428,0.734890836123179,0.63255458193841,0.36744541806159
"Utah",2011,-26.8678128887973,-281.842657017368,228.107031239774,-0.206533759995117,0.83641218312444,0.41820609156222,0.58179390843778
"New Jersey",2012,-92.5301439080324,-702.92997928097,517.869691464905,-0.297115221122132,0.766435102467962,0.383217551233981,0.616782448766019
"New York",2015,206.318474555135,-636.524186726317,1049.16113583659,0.479786119882971,0.631498570578825,0.684250714710588,0.315749285289412
"Rhode Island",2015,-48.7510448953193,-958.208088964869,860.70599917423,-0.105064938050574,0.916348195670494,0.458174097835247,0.541825902164753
"Connecticut",2016,-10.0811379755635,-606.070434338225,585.908158387098,-0.0331533310290878,0.973560421622433,0.486780210811216,0.513219789188784
"Louisiana",2016,37.9374474593176,-542.700249676258,618.575144594894,0.128061607758307,0.89813177170026,0.55093411414987,0.44906588585013
"North Carolina",2016,27.5325331207685,-550.089000205421,605.154066446958,0.0934240879247697,0.9255895877899,0.53720520610505,0.46279479389495
"North Dakota",2016,-1073.02875150087,-1664.64798906667,-481.409513935076,-3.5548816187841,0.000399901006378936,0.000199950503189468,0.99980004949681
"Delaware",2017,143.826879294293,44.9812168597561,242.672541728829,2.85192770703025,0.00445275385378131,0.997773623073109,0.00222637692689065
"Kentucky",2018,-55.1895596939073,-195.860236683441,85.4811172956268,-0.768970046316805,0.442135524854472,0.221067762427236,0.778932237572764
"Maryland",2018,-29.9869523485493,-166.838507301198,106.864602604099,-0.429475767546032,0.667691380258405,0.333845690129203,0.666154309870797
"Missouri",2020,-79.014948832269,-294.503487519697,136.473589855159,-0.718689266049037,0.472607593404381,0.23630379670219,0.76369620329781
