"State_Name","year(-1)","year(0)","year(1)","diff1","diff2","year_effective"
"Iowa",14.2318514037624,14.3290411090706,14.398649155408,0.0971897053081996,0.1667977516456,1978
"Nebraska",13.7017814960013,13.751383378074,13.7929936026238,0.0496018820727002,0.0912121066225016,1988
"Michigan",17.8949475235363,17.7229986610126,17.7755132955575,-0.171948862523699,-0.1194342279788,1991
"Illinois",17.0372279450398,17.0854448807499,17.1245151936105,0.0482169357101014,0.0872872485706999,1999
"Oregon",14.4344148378397,14.7583323275852,14.8573367509426,0.323917489745499,0.4229219131029,2004
"Georgia",15.6203125537619,15.8120942421247,15.9167628311751,0.1917816883628,0.2964502774132,2006
"Wisconsin",15.4394991933801,15.4397569079325,15.5448813956057,0.000257714552400756,0.1053822022256,2006
"Arizona",15.6614208470868,15.7359395758795,15.4694946816118,0.0745187287927003,-0.191926165475,2007
"Indiana",15.6224370647982,15.5384423787377,15.4188715500484,-0.0839946860604996,-0.203565514749799,2007
"Maine",13.8589207854643,13.808440738351,13.77436367874,-0.0504800471132985,-0.084557106724299,2007
"Minnesota",15.5066008559051,15.5778420594031,15.4111033899885,0.0712412034979995,-0.0954974659165995,2007
"Pennsylvania",16.1679590641378,16.2169308059266,16.1367697344945,0.0489717417888009,-0.0311893296433006,2007
"South Carolina",14.8952723452855,14.9169771705885,14.8815358181928,0.0217048253030008,-0.0137365270926999,2007
"Colorado",15.443946332685,15.0147694803741,15.0868992370741,-0.429176852310899,-0.3570470956109,2009
"California",17.67168845936,17.6939129374538,17.4832976561821,0.0222244780938006,-0.188390803177899,2011
"Utah",14.6291560598037,14.6048893597607,14.6275425960707,-0.0242667000430004,-0.00161346373299942,2011
"New Jersey",16.208698501052,16.0493845000925,16.2028488182407,-0.159314000959501,-0.00584968281130216,2012
"New York",17.1801960467052,17.2237594120849,17.1041250697535,0.0435633653797005,-0.0760709769516978,2015
"Rhode Island",13.3777530101513,13.8764448993317,13.6631970248054,0.4986918891804,0.2854440146541,2015
"Connecticut",14.9297331062209,15.0807217483961,15.2184543735423,0.1509886421752,0.288721267321401,2016
"Louisiana",14.1064776047707,13.7030298216379,14.2113319747215,-0.403447783132799,0.1048543699508,2016
"North Carolina",16.2336277463376,16.2232810522249,16.1471528888713,-0.0103466941127017,-0.0864748574662997,2016
"North Dakota",14.3651981720962,13.8118883241168,13.2641667311154,-0.553309847979399,-1.1010314409808,2016
"Delaware",14.2366337917164,13.9590674038794,13.9693802551439,-0.277566387837,-0.2672535365725,2017
"Kentucky",14.9528756871337,15.4198633561582,15.601685805358,0.466987669024499,0.648810118224301,2018
"Maryland",15.4158219752714,15.4223951717555,15.6349726580248,0.0065731964840996,0.2191506827534,2018
"Missouri",14.652501228818,15.0741200303089,15.6619192953666,0.421618801490899,1.0094180665486,2020
"Alabama",15.3159484541308,15.678017568781,15.8559657647216,0.3620691146502,0.5400173105908,2021
"Arkansas",14.8408600086926,15.1187659116385,15.3815943603379,0.2779059029459,0.5407343516453,2021
