"State_Acronym","year","year_effective","State_Name","log_ci","Post","rel_year","treated","event_id","year_event_id"
"NE",1984,1988,"Nebraska",13.7703488031488,0,-4,1,"NE_1988","1984_NE_1988"
"NE",1985,1988,"Nebraska",13.5092918234613,0,-3,1,"NE_1988","1985_NE_1988"
"NE",1986,1988,"Nebraska",13.617591295224,0,-2,1,"NE_1988","1986_NE_1988"
"NE",1987,1988,"Nebraska",13.8292948163003,0,-1,1,"NE_1988","1987_NE_1988"
"NE",1988,1988,"Nebraska",13.9194369630702,1,0,1,"NE_1988","1988_NE_1988"
"NE",1989,1988,"Nebraska",14.0081049822407,1,1,1,"NE_1988","1989_NE_1988"
"NE",1990,1988,"Nebraska",13.8942522461682,1,2,1,"NE_1988","1990_NE_1988"
"NE",1991,1988,"Nebraska",13.8636054008856,1,3,1,"NE_1988","1991_NE_1988"
"NE",1992,1988,"Nebraska",14.0982219101464,1,4,1,"NE_1988","1992_NE_1988"
"AL",1984,2021,"Alabama",15.3143118382624,0,-37,0,"NE_1988","1984_NE_1988"
"AL",1985,2021,"Alabama",15.2017949190342,0,-36,0,"NE_1988","1985_NE_1988"
"AL",1986,2021,"Alabama",14.9581078336138,0,-35,0,"NE_1988","1986_NE_1988"
"AL",1987,2021,"Alabama",14.9953894204607,0,-34,0,"NE_1988","1987_NE_1988"
"AL",1988,2021,"Alabama",15.083342277548,0,-33,0,"NE_1988","1988_NE_1988"
"AL",1989,2021,"Alabama",15.2779183789025,0,-32,0,"NE_1988","1989_NE_1988"
"AL",1990,2021,"Alabama",15.0955161949964,0,-31,0,"NE_1988","1990_NE_1988"
"AL",1991,2021,"Alabama",15.0289563515112,0,-30,0,"NE_1988","1991_NE_1988"
"AL",1992,2021,"Alabama",15.0080927347075,0,-29,0,"NE_1988","1992_NE_1988"
"AK",1984,NA,"Alaska",14.9912841566548,0,-99,0,"NE_1988","1984_NE_1988"
"AK",1985,NA,"Alaska",14.5932726292118,0,-99,0,"NE_1988","1985_NE_1988"
"AK",1986,NA,"Alaska",14.4525994702408,0,-99,0,"NE_1988","1986_NE_1988"
"AK",1987,NA,"Alaska",14.2214578193214,0,-99,0,"NE_1988","1987_NE_1988"
"AK",1988,NA,"Alaska",14.4728486459782,0,-99,0,"NE_1988","1988_NE_1988"
"AK",1989,NA,"Alaska",15.4027594233984,0,-99,0,"NE_1988","1989_NE_1988"
"AK",1990,NA,"Alaska",14.4933280713333,0,-99,0,"NE_1988","1990_NE_1988"
"AK",1991,NA,"Alaska",14.8081671972588,0,-99,0,"NE_1988","1991_NE_1988"
"AK",1992,NA,"Alaska",14.5706581344305,0,-99,0,"NE_1988","1992_NE_1988"
"AZ",1984,2007,"Arizona",14.4953850447303,0,-23,0,"NE_1988","1984_NE_1988"
"AZ",1985,2007,"Arizona",14.5200970592914,0,-22,0,"NE_1988","1985_NE_1988"
"AZ",1986,2007,"Arizona",14.3509565965925,0,-21,0,"NE_1988","1986_NE_1988"
"AZ",1987,2007,"Arizona",14.5033838560215,0,-20,0,"NE_1988","1987_NE_1988"
"AZ",1988,2007,"Arizona",14.2084576415135,0,-19,0,"NE_1988","1988_NE_1988"
"AZ",1989,2007,"Arizona",14.5087927294125,0,-18,0,"NE_1988","1989_NE_1988"
"AZ",1990,2007,"Arizona",14.4023634537063,0,-17,0,"NE_1988","1990_NE_1988"
"AZ",1991,2007,"Arizona",14.542097714156,0,-16,0,"NE_1988","1991_NE_1988"
"AZ",1992,2007,"Arizona",14.63393472699,0,-15,0,"NE_1988","1992_NE_1988"
"AR",1984,2021,"Arkansas",14.3868760940766,0,-37,0,"NE_1988","1984_NE_1988"
"AR",1985,2021,"Arkansas",14.5904757924146,0,-36,0,"NE_1988","1985_NE_1988"
"AR",1986,2021,"Arkansas",14.4503663301471,0,-35,0,"NE_1988","1986_NE_1988"
"AR",1987,2021,"Arkansas",14.4714749473965,0,-34,0,"NE_1988","1987_NE_1988"
"AR",1988,2021,"Arkansas",14.4764960517158,0,-33,0,"NE_1988","1988_NE_1988"
"AR",1989,2021,"Arkansas",14.4367230441163,0,-32,0,"NE_1988","1989_NE_1988"
"AR",1990,2021,"Arkansas",14.591005479873,0,-31,0,"NE_1988","1990_NE_1988"
"AR",1991,2021,"Arkansas",14.4471096134868,0,-30,0,"NE_1988","1991_NE_1988"
"AR",1992,2021,"Arkansas",14.4736282299894,0,-29,0,"NE_1988","1992_NE_1988"
"CA",1984,2011,"California",17.3279436624051,0,-27,0,"NE_1988","1984_NE_1988"
"CA",1985,2011,"California",17.4558596188529,0,-26,0,"NE_1988","1985_NE_1988"
"CA",1986,2011,"California",17.5026335224364,0,-25,0,"NE_1988","1986_NE_1988"
"CA",1987,2011,"California",17.7189447011534,0,-24,0,"NE_1988","1987_NE_1988"
"CA",1988,2011,"California",17.7554986545511,0,-23,0,"NE_1988","1988_NE_1988"
"CA",1989,2011,"California",17.8125947245346,0,-22,0,"NE_1988","1989_NE_1988"
"CA",1990,2011,"California",17.7856760687216,0,-21,0,"NE_1988","1990_NE_1988"
"CA",1991,2011,"California",17.6814285973012,0,-20,0,"NE_1988","1991_NE_1988"
"CA",1992,2011,"California",17.698828276373,0,-19,0,"NE_1988","1992_NE_1988"
"CO",1984,2009,"Colorado",14.3776488759296,0,-25,0,"NE_1988","1984_NE_1988"
"CO",1985,2009,"Colorado",14.5250624425495,0,-24,0,"NE_1988","1985_NE_1988"
"CO",1986,2009,"Colorado",14.6651228807729,0,-23,0,"NE_1988","1986_NE_1988"
"CO",1987,2009,"Colorado",14.5421328103814,0,-22,0,"NE_1988","1987_NE_1988"
"CO",1988,2009,"Colorado",14.7100736108186,0,-21,0,"NE_1988","1988_NE_1988"
"CO",1989,2009,"Colorado",14.9508696396965,0,-20,0,"NE_1988","1989_NE_1988"
"CO",1990,2009,"Colorado",14.6416091018532,0,-19,0,"NE_1988","1990_NE_1988"
"CO",1991,2009,"Colorado",14.5859157306743,0,-18,0,"NE_1988","1991_NE_1988"
"CO",1992,2009,"Colorado",14.6801678566386,0,-17,0,"NE_1988","1992_NE_1988"
"CT",1984,2016,"Connecticut",15.2062973131543,0,-32,0,"NE_1988","1984_NE_1988"
"CT",1985,2016,"Connecticut",15.4037391341509,0,-31,0,"NE_1988","1985_NE_1988"
"CT",1986,2016,"Connecticut",15.6349241039741,0,-30,0,"NE_1988","1986_NE_1988"
"CT",1987,2016,"Connecticut",15.657150073415,0,-29,0,"NE_1988","1987_NE_1988"
"CT",1988,2016,"Connecticut",15.6092879897356,0,-28,0,"NE_1988","1988_NE_1988"
"CT",1989,2016,"Connecticut",15.8948933479183,0,-27,0,"NE_1988","1989_NE_1988"
"CT",1990,2016,"Connecticut",15.7320301477673,0,-26,0,"NE_1988","1990_NE_1988"
"CT",1991,2016,"Connecticut",15.4562126138352,0,-25,0,"NE_1988","1991_NE_1988"
"CT",1992,2016,"Connecticut",15.5967481997327,0,-24,0,"NE_1988","1992_NE_1988"
"DE",1984,2017,"Delaware",13.1530820914442,0,-33,0,"NE_1988","1984_NE_1988"
"DE",1985,2017,"Delaware",13.7621582790184,0,-32,0,"NE_1988","1985_NE_1988"
