"State_Acronym","year","year_effective","State_Name","real_log_nci","Post","rel_year","treated","event_id","rel_year_did"
"NE",1984,1988,"Nebraska",13.7320900910318,0,-4,1,"NE_1988",-4
"NE",1985,1988,"Nebraska",13.4360413617218,0,-3,1,"NE_1988",-3
"NE",1986,1988,"Nebraska",13.5259241066981,0,-2,1,"NE_1988",-2
"NE",1987,1988,"Nebraska",13.7017814960013,0,-1,1,"NE_1988",-1
"NE",1988,1988,"Nebraska",13.751383378074,1,0,1,"NE_1988",0
"NE",1989,1988,"Nebraska",13.7929936026238,1,1,1,"NE_1988",1
"NE",1990,1988,"Nebraska",13.6265178115261,1,2,1,"NE_1988",2
"NE",1991,1988,"Nebraska",13.5546511931583,1,3,1,"NE_1988",3
"NE",1992,1988,"Nebraska",13.7596091090261,1,4,1,"NE_1988",4
"AL",1984,2021,"Alabama",15.2760531261453,0,-37,0,"NE_1988",-4
"AL",1985,2021,"Alabama",15.1285444572946,0,-36,0,"NE_1988",-3
"AL",1986,2021,"Alabama",14.8664406450879,0,-35,0,"NE_1988",-2
"AL",1987,2021,"Alabama",14.8678761001618,0,-34,0,"NE_1988",-1
"AL",1988,2021,"Alabama",14.9152886925518,0,-33,0,"NE_1988",0
"AL",1989,2021,"Alabama",15.0628069992855,0,-32,0,"NE_1988",1
"AL",1990,2021,"Alabama",14.8277817603543,0,-31,0,"NE_1988",2
"AL",1991,2021,"Alabama",14.7200021437839,0,-30,0,"NE_1988",3
"AL",1992,2021,"Alabama",14.6694799335872,0,-29,0,"NE_1988",4
"AK",1984,NA,"Alaska",14.9530254445377,0,NA,0,"NE_1988",-4
"AK",1985,NA,"Alaska",14.5200221674722,0,NA,0,"NE_1988",-3
"AK",1986,NA,"Alaska",14.360932281715,0,NA,0,"NE_1988",-2
"AK",1987,NA,"Alaska",14.0939444990225,0,NA,0,"NE_1988",-1
"AK",1988,NA,"Alaska",14.3047950609819,0,NA,0,"NE_1988",0
"AK",1989,NA,"Alaska",15.1876480437814,0,NA,0,"NE_1988",1
"AK",1990,NA,"Alaska",14.2255936366913,0,NA,0,"NE_1988",2
"AK",1991,NA,"Alaska",14.4992129895315,0,NA,0,"NE_1988",3
"AK",1992,NA,"Alaska",14.2320453333101,0,NA,0,"NE_1988",4
"AZ",1984,2007,"Arizona",14.4571263326132,0,-23,0,"NE_1988",-4
"AZ",1985,2007,"Arizona",14.4468465975518,0,-22,0,"NE_1988",-3
"AZ",1986,2007,"Arizona",14.2592894080667,0,-21,0,"NE_1988",-2
"AZ",1987,2007,"Arizona",14.3758705357226,0,-20,0,"NE_1988",-1
"AZ",1988,2007,"Arizona",14.0404040565172,0,-19,0,"NE_1988",0
"AZ",1989,2007,"Arizona",14.2936813497956,0,-18,0,"NE_1988",1
"AZ",1990,2007,"Arizona",14.1346290190642,0,-17,0,"NE_1988",2
"AZ",1991,2007,"Arizona",14.2331435064287,0,-16,0,"NE_1988",3
"AZ",1992,2007,"Arizona",14.2953219258697,0,-15,0,"NE_1988",4
"AR",1984,2021,"Arkansas",14.3486173819595,0,-37,0,"NE_1988",-4
"AR",1985,2021,"Arkansas",14.517225330675,0,-36,0,"NE_1988",-3
"AR",1986,2021,"Arkansas",14.3586991416213,0,-35,0,"NE_1988",-2
"AR",1987,2021,"Arkansas",14.3439616270975,0,-34,0,"NE_1988",-1
"AR",1988,2021,"Arkansas",14.3084424667196,0,-33,0,"NE_1988",0
