"","State","Post_Estimate","Post_Std_Error","Post_Statistic","Post_P_Value"
"1","Alabama",-0.0269167132316609,0.112810589161379,-0.238600945458726,0.811439685798561
"2","Alaska",NA,NA,NA,NA
"3","Arizona",0.162206998620586,0.122076563836864,1.54922211035511,0.121487906171556
"4","Arkansas",0.08133514932443,0.15726837326652,0.688325696436362,0.49132821598696
"5","California",0.211501769590705,0.123647393323866,1.92821277030793,0.0539712880545503
"6","Colorado",0.220815737659759,0.122714173183694,2.01877618912514,0.0436448439357257
"7","Connecticut",0.0703923198322224,0.128713458818397,0.756012882857708,0.449731268427517
"8","Delaware",0.122353677981164,0.130766522393381,1.14150310401143,0.25379844545479
"9","Florida",NA,NA,NA,NA
"10","Georgia",0.0239869899946148,0.121840013815828,0.417791344830452,0.676144912363921
"11","Hawaii",NA,NA,NA,NA
"12","Idaho",0.313361511573647,0.191972557869237,1.77253576543524,0.0764591644978967
"13","Illinois",-0.0493847139435756,0.121251836557465,-0.185300291936331,0.853012459145132
"14","Indiana",0.0263775801065556,0.122076563836865,0.436564494143492,0.662474745027764
"15","Iowa",-0.228022820192006,0.159133227277259,-1.26375936943676,0.206464949770415
"16","Kansas",NA,NA,NA,NA
"17","Kentucky",-0.138713864039573,0.133614975671875,-0.836711231250439,0.402855721634829
"18","Louisiana",-0.224399426845368,0.128713458818397,-1.53428177151495,0.125119869931043
"19","Maine",-0.0410864467502257,0.122076563836865,-0.116072512800248,0.90760682606399
"20","Maryland",0.0805435222579472,0.133614975671875,0.804252928605123,0.421347320601952
"21","Massachusetts",NA,NA,NA,NA
"22","Michigan",-0.194885035339409,0.12259622820137,-1.37009371798822,0.170812743341584
"23","Minnesota",0.078826643660059,0.122076563836864,0.866205220463354,0.386482420167988
"24","Mississippi",NA,NA,NA,NA
"25","Missouri",-0.193379756011014,0.144565398801377,-1.15147223443184,0.249676823923653
"26","Montana",NA,NA,NA,NA
"27","Nebraska",0.0240494338783079,0.123990380039464,0.411049204734652,0.681080870163562
"28","New Hampshire",0.0267644516549229,0.191972557869237,0.279629367251277,0.779791036471297
"29","New Jersey",0.0366279263949167,0.124268753102092,0.511348493006709,0.609163984474596
"30","New Mexico",NA,NA,NA,NA
"31","New York",-0.0158077938139182,0.12717095599322,0.0873542180365066,0.930398778711051
"32","North Carolina",0.0780470776662397,0.128713458818397,0.815484191486106,0.414893144884216
"33","North Dakota",0.369143590056789,0.128713458818397,3.07706984898335,0.00211905026581969
"34","Ohio",NA,NA,NA,NA
"35","Oklahoma",NA,NA,NA,NA
"36","Oregon",0.141478274879098,0.121498612159853,1.38598281179711,0.16590798406083
"37","Pennsylvania",-0.119233009685867,0.122076563836864,-0.756216373992732,0.44960930180545
"38","Rhode Island",-0.0939253277653915,0.12717095599322,-0.5269175969496,0.598309749961395
"39","South Carolina",-0.117132731232956,0.122076563836864,-0.739011773970425,0.459987310306373
"40","Tennessee",NA,NA,NA,NA
"41","Utah",0.267539156322968,0.123647393323866,2.3814159088932,0.0173400957135799
"42","Vermont",NA,NA,NA,NA
"43","Virginia",NA,NA,NA,NA
"44","West Virginia",-0.286084043131389,0.191972557869237,-1.35002279896829,0.177162741242588
"45","Wisconsin",-0.191974997890673,0.121840013815828,-1.35471327923938,0.175663245076439
