"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.961,615.724743735761,"DE",2017,"Delaware",999.748502442436,0,100,100,87.7563144633266
1977,0.961,626.501297134226,"DE",2017,"Delaware",1008.91576884718,0,100.916957252984,101.750222564239,89.5065370275654
1978,0.961,651.03213077152,"DE",2017,"Delaware",1051.78019898567,0,105.204478567972,105.734281007052,93.4905954703787
1979,0.961,645.241030382597,"DE",2017,"Delaware",1022.81843891702,0,102.307573996682,104.793747035039,92.5500614983659
1980,0.961,608.311281614652,"DE",2017,"Delaware",969.296513678936,0,96.9540350709099,98.7959778786655,86.5522923419921
1981,0.961,610.650735686701,"DE",2017,"Delaware",956.229521186105,0,95.6470071072863,99.1759291630421,86.9322436263687
1982,0.961,619.010735884361,"DE",2017,"Delaware",966.273663005613,0,96.6516739604968,100.533678755326,88.2899932186521
1983,0.961,618.502642041813,"DE",2017,"Delaware",1010.68730590634,0,101.094155523832,100.451159115224,88.2074735785504
1984,0.961,665.04366871855,"DE",2017,"Delaware",1050.86897909336,0,105.113333656018,108.009898170335,95.7662126336615
1985,0.961,692.605694079544,"DE",2017,"Delaware",1106.46774491075,0,110.674608884894,112.486253171722,100.242567635049
1986,0.961,712.668273896672,"DE",2017,"Delaware",1118.32478065313,0,111.860610735701,115.744621463924,103.500935927251
1987,0.961,728.412025196811,"DE",2017,"Delaware",1170.46022158918,0,117.075466352756,118.30156780404,106.057882267366
1988,0.961,772.715858896733,"DE",2017,"Delaware",1144.74591252712,0,114.503388575271,125.496963823228,113.253278286555
1989,0.961,779.0293473002,"DE",2017,"Delaware",1194.22459443364,0,119.452501455725,126.522338955168,114.278653418495
1990,0.961,787.954928190627,"DE",2017,"Delaware",1156.99153821581,0,115.72825919611,127.971944640376,115.728259103703
1991,0.961,790.279322562847,"DE",2017,"Delaware",1125.37389238953,0,112.565699237377,128.349450075373,116.105764538699
1992,0.961,818.882882325816,"DE",2017,"Delaware",1251.96573775352,0,125.228068328675,132.994960923195,120.751275386521
1993,0.961,849.052043029259,"DE",2017,"Delaware",1212.75237199031,0,121.305745297692,137.894741386848,125.651055850174
