"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.943,618.446288551688,"GA",2006,"Georgia",528.412599322888,0,100,100,108.715723924814
1977,0.943,628.879330932755,"GA",2006,"Georgia",548.702550378999,0,103.83979319988,101.686976310505,110.40270023532
1978,0.943,653.203427949612,"GA",2006,"Georgia",573.411433388606,0,108.51585184066,105.620074053532,114.335797978346
1979,0.943,648.028875468404,"GA",2006,"Georgia",566.639539245281,0,107.234297587033,104.78337205095,113.499095975764
1980,0.943,612.390645462156,"GA",2006,"Georgia",550.644591082046,0,104.207316742191,99.0208295851022,107.736553509916
1981,0.943,615.009300917095,"GA",2006,"Georgia",546.783230523033,0,103.476569488253,99.4442544650657,108.15997838988
1982,0.943,621.709232873183,"GA",2006,"Georgia",552.70630275741,0,104.597487543948,100.527603509294,109.243327434108
1983,0.943,621.842200632075,"GA",2006,"Georgia",572.338846942784,0,108.312869086805,100.549103801454,109.264827726268
1984,0.943,666.820752402344,"GA",2006,"Georgia",600.188812066194,0,113.583365127039,107.821934539205,116.537658464019
1985,0.943,694.613788811373,"GA",2006,"Georgia",640.102890764867,0,121.13694707225,112.315944273521,121.031668198335
1986,0.943,715.875781263477,"GA",2006,"Georgia",674.627382878546,0,127.670571016478,115.753913398034,124.469637322848
1987,0.943,732.396462365388,"GA",2006,"Georgia",691.143971974647,0,130.796270350155,118.425233673979,127.140957598793
1988,0.943,779.04570294695,"GA",2006,"Georgia",709.753860941113,0,134.318118426888,125.968207323446,134.683931248261
1989,0.943,785.712639799255,"GA",2006,"Georgia",732.372546926168,0,138.598615525942,127.046221206902,135.761945131717
1990,0.943,794.208308267868,"GA",2006,"Georgia",776.099605740887,0,146.873788917105,128.419932817091,137.135656741905
1991,0.943,798.460125513381,"GA",2006,"Georgia",747.153583892442,0,141.395868465258,129.10743265729,137.823156582104
1992,0.943,823.574279160123,"GA",2006,"Georgia",726.700528559117,0,137.52520842431,133.1682790253,141.884002950114
1993,0.943,852.205442092572,"GA",2006,"Georgia",770.907003595016,0,145.891109444185,137.79781007148,146.513533996294
1994,0.943,870.914692450815,"GA",2006,"Georgia",791.289711482941,0,149.748456508589,140.82301221184,149.538736136654
1995,0.943,867.814998187495,"GA",2006,"Georgia",806.305374492975,0,152.59011150116,140.321805507119,149.037529431933
1996,0.943,875.956259157942,"GA",2006,"Georgia",832.12393905153,0,157.476172997733,141.638211009287,150.353934934101
1997,0.943,901.934317900538,"GA",2006,"Georgia",846.53049421802,0,160.202556733653,145.838746969076,154.55447089389
1998,0.943,936.455503729528,"GA",2006,"Georgia",871.639293128051,0,164.954297881045,151.420668385378,160.136392310192
1999,0.943,942.485810708607,"GA",2006,"Georgia",899.30097027255,0,170.189161164007,152.395742064484,161.111465989299
2000,0.943,956.417066876808,"GA",2006,"Georgia",903.400747983667,0,170.9650279235,154.648363905069,163.364087829883
2001,0.943,969.138627646122,"GA",2006,"Georgia",921.897880163828,0,174.465537223214,156.705383407782,165.421107332597
2002,0.943,914.90262294347,"GA",2006,"Georgia",862.652742516108,0,163.253628626857,147.935663917725,156.65138784254
2003,0.943,918.381353692761,"GA",2006,"Georgia",814.795323631621,0,154.196800885465,148.498159127687,157.213883052501
2004,0.943,953.985616681964,"GA",2006,"Georgia",849.729704668404,0,160.807994691507,154.255209278733,162.970933203547
2005,0.943,990.34782986202,"GA",2006,"Georgia",857.788759027421,0,162.333138938511,160.134816587108,168.850540511922
2006,0.943,1032.85887101,"GA",2006,"Georgia",874.007367327513,1,165.402446581984,167.008661888619,175.724385813434
2007,0.943,1049.95069040466,"GA",2006,"Georgia",889.075984312938,1,168.254122905511,169.77233267314,178.488056597955
2008,0.943,1023.64389065863,"GA",2006,"Georgia",836.9239869084,1,158.384563119964,165.518640762783,174.234364687598
2009,0.943,956.044768184874,"GA",2006,"Georgia",745.301671602545,1,141.045401369608,154.588164871002,163.303888795816
2010,0.943,908.05249081082,"GA",2006,"Georgia",665.692782526278,1,125.979733144006,146.82802817644,155.543752101254
2011,0.943,929.334332539341,"GA",2006,"Georgia",695.297922213039,1,131.582389046741,150.26920684021,158.984930765025
2012,0.943,962.310247636264,"GA",2006,"Georgia",709.144249340305,1,134.202751836161,155.601264887506,164.316988812321
2013,0.943,984.4370818758,"GA",2006,"Georgia",738.468189752714,1,139.752191885468,159.17907506264,167.894798987454
2014,0.943,980.626414304655,"GA",2006,"Georgia",741.303762820224,1,140.288812903049,158.562907152558,167.278631077372
2015,0.943,1036.58401388116,"GA",2006,"Georgia",776.08370978867,1,146.870780670853,167.611000837063,176.326724761878
2016,0.943,1018.28048749644,"GA",2006,"Georgia",833.659661289479,1,157.766802373323,164.651402449372,173.367126374186
2017,0.943,1011.60428664979,"GA",2006,"Georgia",846.740475788931,1,160.242294917636,163.571890619445,172.287614544259
2018,0.943,1073.74533017944,"GA",2006,"Georgia",855.509317175117,1,161.901763559645,173.619819547142,182.335543471956
2019,0.943,1128.04560432975,"GA",2006,"Georgia",863.109081001671,1,163.339988885137,182.399931119559,191.115655044373
2020,0.943,1089.492786045,"GA",2006,"Georgia",820.003030464642,1,155.182338860845,176.166112759191,184.881836684005
2021,0.943,1157.2674246716,"GA",2006,"Georgia",892.661282297203,1,168.932626406158,187.124968828216,195.84069275303
2022,0.943,1232.33074445622,"GA",2006,"Georgia",983.914206376428,1,186.201882324007,199.262372055326,207.97809598014
