"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.961,624.557620955413,"IA",1978,"Iowa",679.040782195005,0,100,100,98.7508130765906
1977,0.961,635.403260387502,"IA",1978,"Iowa",679.993111879159,0,100.14024631644,101.736531437323,100.487344513914
1978,0.961,654.19089040406,"IA",1978,"Iowa",679.724021293542,1,100.100618271605,104.744681428003,103.495494504593
1979,0.961,649.66021811515,"IA",1978,"Iowa",679.920621969307,1,100.129570976791,104.019260404082,102.770073480673
1980,0.961,609.850081173817,"IA",1978,"Iowa",669.788827326779,1,98.637496434556,97.6451268404832,96.3959399170738
1981,0.961,611.736522995039,"IA",1978,"Iowa",643.098639844593,1,94.7069243419771,97.9471713209166,96.6979843975072
1982,0.961,621.802519164694,"IA",1978,"Iowa",663.720145322182,1,97.7437825128413,99.5588714798639,98.3096845564544
1983,0.961,622.550568263398,"IA",1978,"Iowa",656.091672352485,1,96.6203635415922,99.6786441115002,98.4294571880908
1984,0.961,670.639853590208,"IA",1978,"Iowa",710.214163395677,1,104.590796608696,107.378379686457,106.129192763048
1985,0.961,697.972116691506,"IA",1978,"Iowa",707.119166600073,1,104.135007077823,111.754639327559,110.50545240415
1986,0.961,720.771283607788,"IA",1978,"Iowa",758.361002404471,1,111.681215957761,115.405089846665,114.155902923256
1987,0.961,739.874048331111,"IA",1978,"Iowa",799.315502805155,1,117.712444342645,118.463697104407,117.214510180998
1988,0.961,782.485194163351,"IA",1978,"Iowa",821.735429467716,1,121.014149814603,125.28630952679,124.03712260338
1989,0.961,787.216173644897,"IA",1978,"Iowa",862.958693164819,1,127.084958045568,126.043802402196,124.794615478787
1990,0.961,796.177639288992,"IA",1978,"Iowa",856.977849262498,1,126.204179739,127.478652501437,126.229465578027
1991,0.961,798.316890090344,"IA",1978,"Iowa",853.716148971431,1,125.723840357833,127.821175069343,126.571988145934
1992,0.961,831.264567193877,"IA",1978,"Iowa",869.356980602148,1,128.027211825473,133.096537341464,131.847350418054
1993,0.961,857.575953348465,"IA",1978,"Iowa",916.336068259397,1,134.945660450221,137.309340975873,136.060154052463
1994,0.961,873.161275153639,"IA",1978,"Iowa",943.470807122334,1,138.941700095325,139.804758737541,138.555571814131
1995,0.961,865.730764583743,"IA",1978,"Iowa",966.111875515571,1,142.275972349202,138.615034952163,137.365848028754
1996,0.961,872.316741227023,"IA",1978,"Iowa",948.169620724345,1,139.633678209927,139.669537598885,138.420350675476
1997,0.961,899.443382492676,"IA",1978,"Iowa",974.657315917355,1,143.53442995968,144.012874443315,142.763687519906
1998,0.961,934.493950495527,"IA",1978,"Iowa",987.609925504518,1,145.44191621482,149.624937578376,148.375750654967
1999,0.961,968.32021803889,"IA",1978,"Iowa",969.356796668029,1,142.753840724349,155.040973890865,153.791786967456
2000,0.961,986.180753667003,"IA",1978,"Iowa",985.514175654544,1,145.133282344083,157.900683712481,156.651496789072
2001,0.961,998.71483716121,"IA",1978,"Iowa",961.381008836719,1,141.579273888241,159.907557549844,158.658370626434
2002,0.961,947.197774658852,"IA",1978,"Iowa",931.659905517496,1,137.20234924711,151.65898915938,150.409802235971
2003,0.961,950.041225497884,"IA",1978,"Iowa",883.461713705841,1,130.104367347428,152.114263539778,150.865076616368
2004,0.961,990.78494721944,"IA",1978,"Iowa",918.5146845055,1,135.266497770045,158.637876470676,157.388689547267
2005,0.961,1046.2666046231,"IA",1978,"Iowa",965.85284119247,1,142.237825255553,167.521229349917,166.272042426507
2006,0.961,1088.9880873672,"IA",1978,"Iowa",970.21636502421,1,142.88042639913,174.361508182596,173.112321259187
2007,0.961,1109.41670183675,"IA",1978,"Iowa",988.10812174342,1,145.515283861059,177.632401657292,176.383214733883
2008,0.961,1079.37140731812,"IA",1978,"Iowa",1007.64792723256,1,148.392843795822,172.821749523601,171.572562600192
2009,0.961,1016.80203819617,"IA",1978,"Iowa",1032.90439807487,1,152.112277371029,162.803559524375,161.554372600966
2010,0.961,970.588664573235,"IA",1978,"Iowa",994.695541358812,1,146.485390486187,155.404182417706,154.154995494297
2011,0.961,993.5412219323,"IA",1978,"Iowa",1025.63704564553,1,151.042039379454,159.079192791281,157.830005867872
2012,0.961,1023.3284447094,"IA",1978,"Iowa",1062.63493448153,1,156.490591190496,163.848524199252,162.599337275843
2013,0.961,1046.86277431093,"IA",1978,"Iowa",1102.43217945862,1,162.351394550265,167.616684063433,166.367497140024
2014,0.961,1046.06886050599,"IA",1978,"Iowa",1111.32806524436,1,163.661461046858,167.489567880987,166.240380957578
2015,0.961,1101.40284031745,"IA",1978,"Iowa",1179.03964498589,1,173.633112458229,176.349275609284,175.100088685874
2016,0.961,1084.49684082372,"IA",1978,"Iowa",1221.85208588766,1,179.937953349137,173.642399746034,172.393212822624
2017,0.961,1077.46010199884,"IA",1978,"Iowa",1209.90213437311,1,178.178125099069,172.515724065716,171.266537142307
2018,0.961,1138.89716787261,"IA",1978,"Iowa",1219.43832196731,1,179.582486640267,182.352617222153,181.103430298743
2019,0.961,1191.93253590619,"IA",1978,"Iowa",1243.94812129627,1,183.191960470356,190.84428656604,189.595099642631
2020,0.961,1148.12418699312,"IA",1978,"Iowa",1215.84546293223,1,179.053378650101,183.829985972597,182.580799049188
2021,0.961,1230.10293305989,"IA",1978,"Iowa",1272.04438469017,1,187.329600525358,196.955875933136,195.706689009727
2022,0.961,1294.45293675254,"IA",1978,"Iowa",1286.70566044001,1,189.488716168228,207.259169261655,206.009982338245
