"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.932,600.373491749681,"KY",2018,"Kentucky",631.900878156378,0,100,100,104.279337463028
1977,0.932,609.917099929969,"KY",2018,"Kentucky",659.906147561646,0,104.43190860677,101.589611851861,105.86894931489
1978,0.932,636.071924793341,"KY",2018,"Kentucky",723.7731444701,0,114.53903127683,105.946037514019,110.225374977047
1979,0.932,627.672184478942,"KY",2018,"Kentucky",723.29817662825,0,114.463866348553,104.546951706629,108.826289169657
1980,0.932,591.989130550081,"KY",2018,"Kentucky",657.795876946128,0,104.097952651261,98.6034757838549,102.882813246883
1981,0.932,596.551312587243,"KY",2018,"Kentucky",635.832495251888,0,100.622188895667,99.3633664352336,103.642703898262
1982,0.932,600.7167444657,"KY",2018,"Kentucky",653.881285398679,0,103.478458094002,100.057173196475,104.336510659503
1983,0.932,602.690617509685,"KY",2018,"Kentucky",660.332362894951,0,104.499358320489,100.38594737973,104.665284842759
1984,0.932,646.953255151317,"KY",2018,"Kentucky",677.262600226808,0,107.178613551349,107.75846436289,112.037801825918
1985,0.932,674.466050064722,"KY",2018,"Kentucky",704.649840123966,0,111.512717339441,112.341077568084,116.620415031112
1986,0.932,696.909935100332,"KY",2018,"Kentucky",737.985666416496,0,116.78820079656,116.079398020941,120.358735483969
1987,0.932,714.170077839931,"KY",2018,"Kentucky",777.791447838259,0,123.087571915951,118.95429889128,123.233636354309
1988,0.932,755.863073964484,"KY",2018,"Kentucky",782.790603761918,0,123.878701679569,125.89880871683,130.178146179858
1989,0.932,764.606628913385,"KY",2018,"Kentucky",825.054379307797,0,130.567056927498,127.355161315513,131.634498778542
1990,0.932,768.757353009653,"KY",2018,"Kentucky",824.914422946352,0,130.544908459869,128.046518304672,132.3258557677
1991,0.932,776.1451861816,"KY",2018,"Kentucky",933.673918384082,0,147.756388803914,129.27705783939,133.556395302418
1992,0.932,796.180833536146,"KY",2018,"Kentucky",912.673357771666,0,144.432994053508,132.614255039112,136.893592502141
1993,0.932,825.983648829329,"KY",2018,"Kentucky",926.437638465313,0,146.611228198997,137.578300871037,141.857638334066
1994,0.932,842.521090355391,"KY",2018,"Kentucky",957.228833044565,0,151.484016897928,140.332826471071,144.6121639341
1995,0.932,840.448402768419,"KY",2018,"Kentucky",1011.62696528101,0,160.092666468911,139.987593442722,144.266930905751
1996,0.932,849.276329071357,"KY",2018,"Kentucky",1018.91065899286,0,161.245330433092,141.457999185856,145.737336648884
1997,0.932,873.87948272269,"KY",2018,"Kentucky",1040.52814241113,0,164.666354863591,145.555973861525,149.835311324553
1998,0.932,909.401282573185,"KY",2018,"Kentucky",1057.47076143238,0,167.347569529835,151.472590823905,155.751928286933
1999,0.932,917.39008985878,"KY",2018,"Kentucky",1067.59365047642,0,168.949543730848,152.803230399998,157.082567863027
2000,0.932,935.995129992229,"KY",2018,"Kentucky",1059.62724364049,0,167.688838593173,155.902141392759,160.181478855787
2001,0.932,946.034606579134,"KY",2018,"Kentucky",1039.53776554884,0,164.50962508262,157.574346565849,161.853684028878
2002,0.932,893.998755890336,"KY",2018,"Kentucky",1042.79550832233,0,165.025171568802,148.907100026175,153.186437489203
2003,0.932,896.723979733407,"KY",2018,"Kentucky",1049.30864288271,0,166.055892491264,149.361021440181,153.64035890321
2004,0.932,931.624492242341,"KY",2018,"Kentucky",1031.90471096815,0,163.301673828784,155.17415492934,159.453492392369
2005,0.932,961.409750851208,"KY",2018,"Kentucky",1054.28908893548,0,166.844061367893,160.135276467546,164.414613930574
2006,0.932,1001.04975836374,"KY",2018,"Kentucky",1024.24212551803,0,162.089049236067,166.737834384786,171.017171847814
2007,0.932,1015.17663668148,"KY",2018,"Kentucky",1009.20851454575,0,159.709940187169,169.090849384926,173.370186847955
2008,0.932,984.826248458712,"KY",2018,"Kentucky",1029.66673531944,0,162.947508211031,164.035598172166,168.314935635195
2009,0.932,917.449697717488,"KY",2018,"Kentucky",1009.66677274796,0,159.782460770389,152.813158862785,157.092496325813
2010,0.932,874.082590595826,"KY",2018,"Kentucky",964.723201565251,0,152.670020712728,145.589804114847,149.869141577875
2011,0.932,894.19820679151,"KY",2018,"Kentucky",984.804715734469,0,155.847973911307,148.940321163336,153.219658626364
2012,0.932,923.706585494368,"KY",2018,"Kentucky",996.98908667887,0,157.776183123478,153.855324758325,158.134662221354
2013,0.932,942.81364492284,"KY",2018,"Kentucky",996.295413570772,0,157.666407503269,157.037853582639,161.317191045667
2014,0.932,939.721741986217,"KY",2018,"Kentucky",997.367293927653,0,157.836035429726,156.522857004823,160.802194467852
2015,0.932,992.676490431802,"KY",2018,"Kentucky",1033.1776219776,0,163.503115392398,165.343157896399,169.622495359428
2016,0.932,979.810904302572,"KY",2018,"Kentucky",1048.32303587724,0,165.899917552862,163.200227486242,167.47956494927
2017,0.932,973.17425285027,"KY",2018,"Kentucky",1048.3051552567,0,165.897087896952,162.094807019898,166.374144482927
2018,0.932,1033.23198870411,"KY",2018,"Kentucky",1030.16805715295,1,163.026843728806,172.098202685955,176.377540148984
2019,0.932,1085.31468637054,"KY",2018,"Kentucky",1074.59184521665,1,170.057026721004,180.773252197992,185.05258966102
2020,0.932,1049.31102226713,"KY",2018,"Kentucky",1089.72186824231,1,172.451393234594,174.776374488004,179.055711951032
2021,0.932,1111.38476288959,"KY",2018,"Kentucky",1121.67599681726,1,177.508219341274,185.115561923072,189.394899386101
2022,0.932,1174.87737272629,"KY",2018,"Kentucky",1164.72070477401,1,184.320159226899,195.69108044766,199.970417910688
