"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.918,629.778709716386,"LA",2016,"Louisiana",697.468309947117,0,100,100,83.8116494506519
1977,0.918,663.73426346724,"LA",2016,"Louisiana",667.314310743754,0,95.6766495662507,105.391664282545,89.2033137331974
1978,0.918,641.231205521912,"LA",2016,"Louisiana",676.008168462947,0,96.923137413111,101.818495231553,85.6301446822046
1979,0.918,630.376415510887,"LA",2016,"Louisiana",660.311736288602,0,94.6726506238925,100.094907272234,83.9065567228857
1980,0.918,627.450812014876,"LA",2016,"Louisiana",617.235260217597,0,88.4965311562896,99.6303625915588,83.4420120422108
1981,0.918,682.311855768762,"LA",2016,"Louisiana",651.841371812907,0,93.4582062749676,108.341524608864,92.1531740595155
1982,0.918,718.375897238084,"LA",2016,"Louisiana",677.653394353966,0,97.1590228099893,114.067987080985,97.8796365316373
1983,0.918,687.746076613447,"LA",2016,"Louisiana",618.500471884233,0,88.6779317516417,109.204402435764,93.0160518864164
1984,0.918,707.243479690898,"LA",2016,"Louisiana",627.626202329873,0,89.9863396485298,112.300315774313,96.1119652249652
1985,0.918,722.021588094916,"LA",2016,"Louisiana",751.018477026817,0,107.677792139941,114.646871505083,98.4585209557351
1986,0.918,729.202949508485,"LA",2016,"Louisiana",696.834304366934,0,99.9090990126518,115.78717067728,99.5988201279321
1987,0.918,678.485090336757,"LA",2016,"Louisiana",664.245551927672,0,95.2366641543952,107.733888089406,91.545537540058
1988,0.918,718.393054741663,"LA",2016,"Louisiana",700.936698336332,0,100.497282577538,114.070711451199,97.882360901851
1989,0.918,710.244918741392,"LA",2016,"Louisiana",687.313573814336,0,98.5440577029871,112.776902074261,96.5885515249128
1990,0.918,740.669322872046,"LA",2016,"Louisiana",669.641332783956,0,96.0102879562699,117.607869469833,101.419518920485
1991,0.918,742.05882199292,"LA",2016,"Louisiana",689.523561608836,0,98.8609162273074,117.828502384131,101.640151834783
1992,0.918,759.201753031865,"LA",2016,"Louisiana",670.591326907835,0,96.1464940190157,120.550558683345,104.362208133997
1993,0.918,784.724040677361,"LA",2016,"Louisiana",665.548588848269,0,95.423487971623,124.603138939192,108.414788389844
1994,0.918,776.323912180144,"LA",2016,"Louisiana",652.358351692895,0,93.5323286218348,123.26931669852,107.080966149172
1995,0.918,796.826955627437,"LA",2016,"Louisiana",666.161401412803,0,95.5113503957352,126.524911581447,110.336561032099
1996,0.918,785.561558457761,"LA",2016,"Louisiana",672.600385122354,0,96.4345441262201,124.736124981349,108.547774432001
1997,0.918,816.416310677518,"LA",2016,"Louisiana",786.010305483436,0,112.694769679648,129.635425599761,113.447075050413
1998,0.918,828.82829616176,"LA",2016,"Louisiana",804.707942148049,0,115.375556232664,131.606274295143,115.417923745795
1999,0.918,827.643045424131,"LA",2016,"Louisiana",851.877209306402,0,122.138482445316,131.418073150941,115.229722601593
2000,0.918,857.092933379691,"LA",2016,"Louisiana",816.869524540871,0,117.119231496383,136.094301086436,119.905950537088
2001,0.918,864.705185920093,"LA",2016,"Louisiana",870.624002355013,0,124.826316828793,137.303019708225,121.114669158877
2002,0.918,814.892961011128,"LA",2016,"Louisiana",876.638520126346,0,125.688652462621,129.393539101712,113.205188552364
2003,0.918,818.715739653657,"LA",2016,"Louisiana",871.623683789864,0,124.96964684402,130.000542575083,113.812192025735
2004,0.918,852.206625237452,"LA",2016,"Louisiana",872.704852113845,0,125.124660098179,135.318424089191,119.130073539843
2005,0.918,883.213783760769,"LA",2016,"Louisiana",927.097200527643,0,132.92320056777,140.241924684706,124.053574135358
2006,0.918,929.324660697928,"LA",2016,"Louisiana",1066.01279266215,0,152.840319403612,147.563683300193,131.375332750845
2007,0.918,978.29558745975,"LA",2016,"Louisiana",1126.52910719518,0,161.516887739401,155.339577595488,139.15122704614
