"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.934,624.001470490242,"MD",2018,"Maryland",783.581291494328,0,100,100,88.7698457684119
1977,0.934,634.928857911606,"MD",2018,"Maryland",796.43630416939,0,101.640546145576,101.751179754878,90.5210255232896
1978,0.934,650.465276202156,"MD",2018,"Maryland",835.285167771017,0,106.598406168949,104.240984511002,93.0108302794136
1979,0.934,647.372119907313,"MD",2018,"Maryland",822.137724114959,0,104.920540222075,103.745287554965,92.5151333233771
1980,0.934,607.307323057122,"MD",2018,"Maryland",744.91259421931,0,95.0651326550593,97.3246621646573,86.0945079330692
1981,0.934,607.723955261927,"MD",2018,"Maryland",722.689267663247,0,92.2290099965306,97.3914299888546,86.1612757572665
1982,0.934,618.623992171547,"MD",2018,"Maryland",736.562970440195,0,93.9995605351339,99.1382266592304,87.9080724276423
1983,0.934,619.84082388236,"MD",2018,"Maryland",772.744426191281,0,98.6170081623082,99.3332312815523,88.1030770499643
1984,0.934,665.769832082628,"MD",2018,"Maryland",826.475438199077,0,105.474115726136,106.693631917177,95.4634776855885
1985,0.934,692.790028794873,"MD",2018,"Maryland",858.308846841778,0,109.53666915719,111.023781442468,99.79362721088
1986,0.934,717.705282781784,"MD",2018,"Maryland",898.636684190185,0,114.683274593813,115.016601197738,103.78644696615
1987,0.934,740.041463688658,"MD",2018,"Maryland",948.058003024095,0,120.990382659099,118.596108933405,107.365954701817
1988,0.934,779.160595348348,"MD",2018,"Maryland",1001.36427552232,0,127.793285316022,124.865185772111,113.635031540523
1989,0.934,784.286259642633,"MD",2018,"Maryland",1000.51924875554,0,127.685443695,125.686604396375,114.456450164787
1990,0.934,794.133201174453,"MD",2018,"Maryland",982.033339175016,0,125.326287117222,127.264636179551,116.034481947963
1991,0.934,798.466737319356,"MD",2018,"Maryland",929.216237586282,0,118.585812049471,127.95911148928,116.728957257692
1992,0.934,832.295452112693,"MD",2018,"Maryland",913.826793615253,0,116.621823866231,133.380367110162,122.150212878574
1993,0.934,853.95225337022,"MD",2018,"Maryland",968.171257204584,0,123.557219616389,136.851000158592,125.620845927004
1994,0.934,869.607648418101,"MD",2018,"Maryland",982.985022795329,0,125.447740198178,139.359871657818,128.12971742623
1995,0.934,859.061512413493,"MD",2018,"Maryland",1005.11757862998,0,128.27227877189,137.669789742415,126.439635510827
1996,0.934,866.007407259787,"MD",2018,"Maryland",987.583985933601,0,126.034656091677,138.782911293368,127.55275706178
1997,0.934,892.05153305108,"MD",2018,"Maryland",1013.9038738225,0,129.393578538474,142.956639565328,131.72648533374
1998,0.934,926.287930230912,"MD",2018,"Maryland",1053.78494454597,0,134.483167985845,148.443228748032,137.213074516444
1999,0.934,967.76274215266,"MD",2018,"Maryland",1055.74024783354,0,134.732702183355,155.08981755962,143.859663328032
2000,0.934,987.872530285814,"MD",2018,"Maryland",1085.03951686039,0,138.471850800721,158.312532422351,147.082378190763
2001,0.934,1004.32742829059,"MD",2018,"Maryland",1080.44817810256,0,137.885907924383,160.949529093505,149.719374861917
2002,0.934,951.298120016343,"MD",2018,"Maryland",1068.92595088176,0,136.415450762392,152.451262537725,141.221108306137
2003,0.934,954.236715083266,"MD",2018,"Maryland",1048.27079258122,0,133.779456446965,152.92219012458,141.692035892992
2004,0.934,993.460760579593,"MD",2018,"Maryland",1112.57394053885,0,141.985771306142,159.208080038511,147.977925806923
2005,0.934,1055.94525438836,"MD",2018,"Maryland",1149.96853894096,0,146.758039200746,169.22159711559,157.991442884002
2006,0.934,1093.67532748659,"MD",2018,"Maryland",1207.84879190209,0,154.144669482685,175.268068940182,164.037914708594
2007,0.934,1121.11578150863,"MD",2018,"Maryland",1220.97664779546,0,155.820035655394,179.665567234615,168.435413003027
2008,0.934,1097.1727372081,"MD",2018,"Maryland",1226.18916512231,0,156.485252829851,175.828549946543,164.598395714955
2009,0.934,1037.14111917354,"MD",2018,"Maryland",1182.42992725729,0,150.900734881296,166.208121009509,154.977966777921
2010,0.934,996.83564625601,"MD",2018,"Maryland",1136.54390561787,0,145.044798536528,159.748925827507,148.518771595919
2011,0.934,1020.01519841935,"MD",2018,"Maryland",1165.4764904992,0,148.737151224805,163.463588894748,152.233434663159
2012,0.934,1051.32902321842,"MD",2018,"Maryland",1199.33259859405,0,153.057839896466,168.481818222712,157.251663991124
2013,0.934,1078.22942078987,"MD",2018,"Maryland",1243.63533700746,0,158.71171893803,172.79276921299,161.562614981402
2014,0.934,1075.40239727087,"MD",2018,"Maryland",1271.91863951843,0,162.321210744174,172.339721639757,161.109567408168
2015,0.934,1134.67722439205,"MD",2018,"Maryland",1338.44894507022,0,170.811753623894,181.838870267501,170.608716035913
2016,0.934,1120.93945241075,"MD",2018,"Maryland",1370.94004692377,0,174.958241321627,179.637309432956,168.407155201368
2017,0.934,1111.12932470818,"MD",2018,"Maryland",1393.98060437701,0,177.89865831516,178.065177288001,166.835023056413
2018,0.934,1173.65562428705,"MD",2018,"Maryland",1410.06343951985,1,179.951136509499,188.085393991936,176.855239760348
2019,0.934,1230.35411177665,"MD",2018,"Maryland",1440.89439795482,1,183.885758069461,197.171668651682,185.941514420094
2020,0.934,1182.9161726868,"MD",2018,"Maryland",1412.21942617193,1,180.226281752945,189.569452738221,178.339298506633
2021,0.934,1268.16496930706,"MD",2018,"Maryland",1397.26931671746,1,178.318361079397,203.231086668871,192.000932437283
2022,0.934,1335.30064301704,"MD",2018,"Maryland",1508.89945891025,1,192.564508020949,213.989983383849,202.759829152261
