"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.918,539.219829179175,"MO",2020,"Missouri",493.976645122824,0,100,100,104.848231954311
1977,0.918,550.82439872851,"MO",2020,"Missouri",506.372600307613,0,102.509421307096,102.152103635914,107.000335590225
1978,0.918,576.036899633159,"MO",2020,"Missouri",524.624429200644,0,106.20429819515,106.827840606312,111.676072560623
1979,0.918,568.358486224496,"MO",2020,"Missouri",528.000570027539,0,106.887759824405,105.403854878571,110.252086832882
1980,0.918,532.424977570657,"MO",2020,"Missouri",483.131643792713,0,97.8045518068138,98.739873565321,103.588105519632
1981,0.918,539.108527682469,"MO",2020,"Missouri",449.368810212754,0,90.9696469761281,99.9793587901107,104.827590744421
1982,0.918,551.488067122606,"MO",2020,"Missouri",460.378753693265,0,93.1984858471993,102.27518301063,107.12341496494
1983,0.918,544.719802957587,"MO",2020,"Missouri",512.128650401821,0,103.674668723353,101.019987300316,105.868219254626
1984,0.918,589.120738700185,"MO",2020,"Missouri",558.555755802764,0,113.073312537657,109.254279390462,114.102511344772
1985,0.918,612.32827383858,"MO",2020,"Missouri",593.261509733264,0,120.099100957648,113.558189202852,118.406421157162
1986,0.918,620.809295941393,"MO",2020,"Missouri",623.743465032936,0,126.269828987127,115.131021217528,119.979253171839
1987,0.918,627.269240569652,"MO",2020,"Missouri",645.313471344881,0,130.636433466288,116.329038107614,121.177270061924
1988,0.918,667.809918104565,"MO",2020,"Missouri",695.523294599371,0,140.800845842911,123.847433266899,128.69566522121
1989,0.918,672.33003939622,"MO",2020,"Missouri",703.001752286642,0,142.314775248503,124.685703865837,129.533935820148
1990,0.918,679.729280342463,"MO",2020,"Missouri",704.11662766084,0,142.540469192783,126.057916189243,130.906148143554
1991,0.918,674.942210604761,"MO",2020,"Missouri",679.246782701458,0,137.505849599948,125.170139167951,130.018371122262
1992,0.918,706.01023434903,"MO",2020,"Missouri",672.677907985685,0,136.176055007303,130.931801121585,135.780033075896
1993,0.918,742.058408165824,"MO",2020,"Missouri",698.569713773376,0,141.417559042631,137.617047447127,142.465279401438
1994,0.918,751.777646488504,"MO",2020,"Missouri",722.853286164334,0,146.333494366844,139.419510523731,144.267742478042
1995,0.918,756.309520069453,"MO",2020,"Missouri",786.53931308838,0,159.226012171651,140.259960621393,145.108192575704
1996,0.918,756.830868745771,"MO",2020,"Missouri",805.584751196235,0,163.081546293739,140.356646360327,145.204878314637
1997,0.918,785.387417153872,"MO",2020,"Missouri",853.257171419431,0,172.73229004729,145.652547375608,150.500779329919
1998,0.918,815.46934308401,"MO",2020,"Missouri",887.309197211202,0,179.625738579317,151.231334412415,156.079566366726
1999,0.918,824.74619253993,"MO",2020,"Missouri",909.642434852631,0,184.146850632271,152.951755093168,157.799987047479
2000,0.918,839.821320127442,"MO",2020,"Missouri",860.22168127379,0,174.142176511179,155.747484547417,160.595716501727
2001,0.918,845.033080147938,"MO",2020,"Missouri",860.914598848298,0,174.282449858381,156.714021706933,161.562253661244
2002,0.918,806.521290348841,"MO",2020,"Missouri",825.591595612255,0,167.131706278741,149.571890109562,154.420122063872
2003,0.918,807.515870603564,"MO",2020,"Missouri",801.658760956725,0,162.286773852921,149.756338121467,154.604570075778
2004,0.918,842.00264037976,"MO",2020,"Missouri",819.278114977367,0,165.853613337055,156.152017195194,161.000249149505
2005,0.918,865.446244791597,"MO",2020,"Missouri",824.655910803879,0,166.942287443333,160.499706791017,165.347938745327
2006,0.918,905.188109458935,"MO",2020,"Missouri",835.130300426891,0,169.062709476729,167.869959611251,172.718191565561
2007,0.918,915.248639875382,"MO",2020,"Missouri",844.975331566293,0,171.055724983961,169.735716371673,174.583948325983
2008,0.918,882.049913051023,"MO",2020,"Missouri",826.017038641097,0,167.217832421149,163.578908882806,168.427140837117
2009,0.918,828.266579789921,"MO",2020,"Missouri",781.621762443914,0,158.230509511147,153.604621894329,158.45285384864
2010,0.918,771.595265326622,"MO",2020,"Missouri",726.59573168034,0,147.091110248679,143.094749779729,147.94298173404
2011,0.918,792.860203849473,"MO",2020,"Missouri",724.179144453648,0,146.601899422509,147.038398987738,151.886630942048
2012,0.918,814.78550445464,"MO",2020,"Missouri",758.935896982578,0,153.638011933514,151.104514404625,155.952746358936
2013,0.918,823.634901445434,"MO",2020,"Missouri",764.488412849393,0,154.762056141198,152.745662691821,157.593894646131
2014,0.918,823.982501796759,"MO",2020,"Missouri",758.702054290026,0,153.590673118034,152.810126261689,157.658358215999
2015,0.918,865.592579112851,"MO",2020,"Missouri",804.135589826929,0,162.788179920325,160.526844947541,165.375076901852
2016,0.918,838.991372950444,"MO",2020,"Missouri",818.644959034463,0,165.725438058091,155.593568253526,160.441800207836
2017,0.918,836.952247191026,"MO",2020,"Missouri",813.467049163967,0,164.677228608997,155.215406018186,160.063637972497
2018,0.918,886.079309466888,"MO",2020,"Missouri",825.035934751101,0,167.019219004972,164.326173022183,169.174404976493
2019,0.918,933.092728169592,"MO",2020,"Missouri",816.150000862652,0,165.220361918066,173.044958229743,177.893190184053
2020,0.918,909.315430062004,"MO",2020,"Missouri",756.218629616752,1,153.087931804696,168.635384096725,173.483616051035
2021,0.918,975.266220680558,"MO",2020,"Missouri",861.521541063413,1,174.405318463832,180.866164021667,185.714395975978
2022,0.918,1010.65318593367,"MO",2020,"Missouri",892.554847587154,1,180.687661329662,187.428787155719,192.27701911003
