"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.901,619.679701365269,"NJ",2012,"New Jersey",494.089178363814,0,100,100,170.941475244287
1977,0.901,634.924555658653,"NJ",2012,"New Jersey",623.200140609443,0,126.131105051356,102.460118390161,173.401593634448
1978,0.901,640.650339507855,"NJ",2012,"New Jersey",634.635515835215,0,128.445540527081,103.384109257796,174.325584502083
1979,0.901,639.837310616283,"NJ",2012,"New Jersey",616.930233323743,0,124.86212213081,103.252907785522,174.194383029809
1980,0.901,599.406328308226,"NJ",2012,"New Jersey",620.033814800343,0,125.490264096372,96.7284109819351,167.669886226222
1981,0.901,594.554280844229,"NJ",2012,"New Jersey",661.544132325265,0,133.89164573812,95.9454181788295,166.886893423116
1982,0.901,605.626523506255,"NJ",2012,"New Jersey",669.550214402293,0,135.512017611785,97.7321868332863,168.673662077573
1983,0.901,617.893868234581,"NJ",2012,"New Jersey",734.56349493136,0,148.67022535565,99.7118135180555,170.653288762342
1984,0.901,661.129530049899,"NJ",2012,"New Jersey",807.745949957785,0,163.481813674335,106.688911802873,177.63038704716
1985,0.901,692.782137970801,"NJ",2012,"New Jersey",834.791132586165,0,168.955558862996,111.796809939792,182.738285184079
1986,0.901,724.649446299157,"NJ",2012,"New Jersey",886.450660923195,0,179.411065803686,116.939355073697,187.880830317984
1987,0.901,752.172038768118,"NJ",2012,"New Jersey",964.326573897633,0,195.172575341767,121.380777377562,192.322252621849
1988,0.901,793.275771725692,"NJ",2012,"New Jersey",940.464993590134,0,190.343167746459,128.013838435882,198.955313680169
1989,0.901,798.313808115266,"NJ",2012,"New Jersey",959.435370795771,0,194.182631963922,128.826844958199,199.768320202486
1990,0.901,806.383342818391,"NJ",2012,"New Jersey",918.352528312684,0,185.867768113001,130.129055549468,201.070530793755
1991,0.901,810.810567006318,"NJ",2012,"New Jersey",1001.11841416461,0,202.618972040601,130.843493052936,201.784968297222
1992,0.901,832.267284592281,"NJ",2012,"New Jersey",1088.73116286137,0,220.351145205553,134.306042744121,205.247517988408
1993,0.901,852.943200591802,"NJ",2012,"New Jersey",1061.17498899251,0,214.773979164371,137.642591602179,208.584066846466
1994,0.901,877.731303447514,"NJ",2012,"New Jersey",1057.37492193184,0,214.004873661341,141.642739227009,212.584214471296
1995,0.901,860.020337186502,"NJ",2012,"New Jersey",1036.12566411508,0,209.704180841651,138.784655248787,209.726130493074
1996,0.901,873.360251677601,"NJ",2012,"New Jersey",1052.71915883917,0,213.062581602226,140.93736647391,211.878841718197
1997,0.901,896.605798849038,"NJ",2012,"New Jersey",1017.31601123791,0,205.897246041043,144.688586196006,215.630061440293
1998,0.901,932.268146280211,"NJ",2012,"New Jersey",1093.30171329484,0,221.276190851888,150.443550793459,221.385026037746
1999,0.901,1001.38243553501,"NJ",2012,"New Jersey",1149.29969014896,0,232.609767725512,161.596778679175,232.538253923462
2000,0.901,1005.09225511625,"NJ",2012,"New Jersey",1157.24015988389,0,234.216860145797,162.19544595407,233.136921198357
2001,0.901,1021.05311822292,"NJ",2012,"New Jersey",1193.60976834438,0,241.577800245907,164.771109328472,235.712584572759
2002,0.901,964.290655614781,"NJ",2012,"New Jersey",1119.67299747277,0,226.61354397208,155.611141286421,226.552616530708
2003,0.901,969.804881594947,"NJ",2012,"New Jersey",1108.21310445012,0,224.294146275373,156.50099228009,227.442467524377
2004,0.901,1018.01247928713,"NJ",2012,"New Jersey",1170.34969082016,0,236.870132370799,164.280430203582,235.221905447869
2005,0.901,1105.71490275391,"NJ",2012,"New Jersey",1303.3448062077,0,263.787361326907,178.433293896478,249.374769140764
2006,0.901,1149.83005154988,"NJ",2012,"New Jersey",1360.54484108352,0,275.364225864851,185.552318240632,256.493793484918
2007,0.901,1176.91898192267,"NJ",2012,"New Jersey",1478.40117667471,0,299.217477616179,189.923758891844,260.865234136131
2008,0.901,1148.82284421741,"NJ",2012,"New Jersey",1482.07150705266,0,299.960325372956,185.38978147684,256.331256721127
2009,0.901,1081.17449828461,"NJ",2012,"New Jersey",1319.69092115605,0,267.095694248199,174.47311827426,245.414593518547
2010,0.901,1042.31573671138,"NJ",2012,"New Jersey",1244.56701829975,0,251.891171229687,168.202336532077,239.143811776364
2011,0.901,1066.32189421995,"NJ",2012,"New Jersey",1257.187940066,0,254.445552567899,172.076298750894,243.017773995181
2012,0.901,1095.8331602933,"NJ",2012,"New Jersey",1256.92445497101,1,254.392225130965,176.838640652417,247.780115896704
2013,0.901,1128.24974460245,"NJ",2012,"New Jersey",1298.5189040787,1,262.810634383609,182.069824478147,253.011299722434
2014,0.901,1127.64006079597,"NJ",2012,"New Jersey",1301.02467701387,1,263.317784316232,181.971437552589,252.912912796876
2015,0.901,1184.94398352924,"NJ",2012,"New Jersey",1378.80801813616,1,279.060557995241,191.218783012996,262.160258257283
2016,0.901,1182.41461970599,"NJ",2012,"New Jersey",1376.57540341914,1,278.608693268227,190.810610239598,261.752085483885
2017,0.901,1175.48488542743,"NJ",2012,"New Jersey",1422.45867279738,1,287.895128063294,189.692333448654,260.633808692941
2018,0.901,1243.87930460707,"NJ",2012,"New Jersey",1483.77617216296,1,300.305336999388,200.729393244054,271.670868488341
2019,0.901,1283.09703123788,"NJ",2012,"New Jersey",1519.5175923923,1,307.539136441768,207.058102502144,277.999577746431
2020,0.901,1232.34974178516,"NJ",2012,"New Jersey",1431.88321106301,1,289.802584991786,198.868825147905,269.810300392192
2021,0.901,1333.62898170904,"NJ",2012,"New Jersey",1501.92078519263,1,303.977672647329,215.212629810336,286.154105054623
2022,0.901,1406.42917609017,"NJ",2012,"New Jersey",1627.60618692972,1,329.415469555429,226.960665807118,297.902141051404
