"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.926,617.000483034327,"NY",2015,"New York",847.097456159976,0,100,100,96.4671480774481
1977,0.926,630.971552667183,"NY",2015,"New York",875.288647713101,0,103.327974998405,102.264353111062,98.7315011885102
1978,0.926,636.325064517517,"NY",2015,"New York",831.868401719164,0,98.202207511064,103.132020478842,99.5991685562903
1979,0.926,635.258550874176,"NY",2015,"New York",815.490831847174,0,96.2688325784757,102.959165890772,99.4263139682198
1980,0.926,593.598127578901,"NY",2015,"New York",793.190176115014,0,93.6362363441236,96.2070766394969,92.674224716945
1981,0.926,586.765819699279,"NY",2015,"New York",776.080062278361,0,91.6163844708556,95.0997342520126,91.5668823294608
1982,0.926,599.713043480433,"NY",2015,"New York",830.438983518556,0,98.033464447298,97.1981481329031,93.6652962103512
1983,0.926,610.256814865451,"NY",2015,"New York",842.351068959399,0,99.439688176837,98.9070238428807,95.3741719203288
1984,0.926,655.748428411961,"NY",2015,"New York",937.918254515515,0,110.721410824115,106.280051060427,102.747199137875
1985,0.926,685.871464785557,"NY",2015,"New York",984.237797295249,0,116.189440794327,111.162224932553,107.629373010001
1986,0.926,717.280249632894,"NY",2015,"New York",1066.51749082279,0,125.902572728465,116.252785752355,112.719933829803
1987,0.926,743.001831508808,"NY",2015,"New York",1109.83070239114,0,131.015704783506,120.421596406995,116.888744484443
1988,0.926,778.61609659571,"NY",2015,"New York",1130.72343246253,0,133.482095152106,126.193758028613,122.660906106061
1989,0.926,783.117913792682,"NY",2015,"New York",1101.71293108962,0,130.057400488942,126.92338747312,123.390535550568
1990,0.926,792.158354244845,"NY",2015,"New York",1135.97403425703,0,134.101929594568,128.388611682946,124.855759760394
1991,0.926,796.272913774029,"NY",2015,"New York",1069.76701771372,0,126.286179935322,129.055476562687,125.522624640135
1992,0.926,829.763570550667,"NY",2015,"New York",1087.7150905061,0,128.404953007046,134.483455583373,130.950603660821
1993,0.926,849.062745333651,"NY",2015,"New York",1093.08866124967,0,129.039303955038,137.611358285827,134.078506363275
1994,0.926,865.69732276705,"NY",2015,"New York",1121.03863460464,0,132.338803103775,140.307397898567,136.774545976015
1995,0.926,850.6974482148,"NY",2015,"New York",1138.01994643118,0,134.343449877656,137.876301819276,134.343449896724
1996,0.926,858.825185307741,"NY",2015,"New York",1103.71688652455,0,130.293967771769,139.19360015476,135.660748232208
1997,0.926,882.146149391811,"NY",2015,"New York",1092.81374604778,0,129.0068501683,142.973332055355,139.440480132803
1998,0.926,917.358058427082,"NY",2015,"New York",1115.79786590836,0,131.720129460245,148.680282050289,145.147430127737
1999,0.926,985.070368400031,"NY",2015,"New York",1181.33261785089,0,139.456518168058,159.65471591782,156.121863995268
2000,0.926,1001.32846220442,"NY",2015,"New York",1190.80124101926,0,140.574290757211,162.289737161958,158.756885239406
2001,0.926,1015.05348553958,"NY",2015,"New York",1232.6660339393,0,145.516436742375,164.514212460205,160.981360537653
2002,0.926,965.410466316236,"NY",2015,"New York",1190.98197676486,0,140.59562664298,156.468348544636,152.935496622084
2003,0.926,971.059123669705,"NY",2015,"New York",1138.32039724365,0,134.378918147604,157.383851450839,153.850999528287
2004,0.926,1015.59836432877,"NY",2015,"New York",1208.94149162232,0,142.71575045245,164.60252337797,161.069671455418
2005,0.926,1096.49356007236,"NY",2015,"New York",1299.08846168846,0,153.357615731421,177.713565908401,174.180713985849
2006,0.926,1137.24120375328,"NY",2015,"New York",1386.07969819647,0,163.626946122561,184.317716926327,180.784865003775
2007,0.926,1162.83736401189,"NY",2015,"New York",1455.66926751571,0,171.842006717206,188.466199944157,184.933348021605
2008,0.926,1137.12345343694,"NY",2015,"New York",1455.50564974651,0,171.822691611487,184.298632611228,180.765780688677
2009,0.926,1075.08679047525,"NY",2015,"New York",1456.48436851522,0,171.938229530011,174.244075983233,170.711224060681
2010,0.926,1041.43996248934,"NY",2015,"New York",1416.27282927668,0,167.191250425525,168.790785603226,165.257933680674
2011,0.926,1062.98048331829,"NY",2015,"New York",1457.48421133393,0,172.05626114626,172.281953182709,168.749101260157
2012,0.926,1089.44207202393,"NY",2015,"New York",1490.33222191783,0,175.933974430019,176.570700020557,173.037848098005
2013,0.926,1121.6111667984,"NY",2015,"New York",1503.60115756213,0,177.500374558813,181.784487636455,178.251635713903
2014,0.926,1118.93435413748,"NY",2015,"New York",1550.01801245986,0,182.979892241246,181.35064475715,177.817792834598
2015,0.926,1176.55852849075,"NY",2015,"New York",1569.34308940761,1,185.261220889706,190.690049820478,187.157197897927
2016,0.926,1173.7117005514,"NY",2015,"New York",1638.03034651529,1,193.369763373005,190.228651812271,186.695799889719
2017,0.926,1164.81498640776,"NY",2015,"New York",1575.14338996347,1,185.945947365235,188.786721961603,185.253870039051
2018,0.926,1231.09457400914,"NY",2015,"New York",1707.33364033361,1,201.551029095662,199.528948171123,195.996096248571
2019,0.926,1268.26708905097,"NY",2015,"New York",1629.30547806159,1,192.339791155493,205.553662261948,202.020810339396
2020,0.926,1216.44468504284,"NY",2015,"New York",1689.24001049272,1,199.415072989395,197.154575805277,193.621723882725
2021,0.926,1316.29576511972,"NY",2015,"New York",1645.90894424529,1,194.299833186426,213.337882435091,209.80503051254
2022,0.926,1383.12707520133,"NY",2015,"New York",1914.08825032661,1,225.95844626939,224.169528749685,220.636676827133
