"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.926,596.945663942622,"PA",2007,"Pennsylvania",666.23812565934,0,100,100,95.9984358790163
1977,0.926,606.982703180893,"PA",2007,"Pennsylvania",683.293231709675,0,102.559911448096,101.681399136394,97.6798350154099
1978,0.926,624.299617715548,"PA",2007,"Pennsylvania",707.331049842246,0,106.167903426757,104.582318865048,100.580754744064
1979,0.926,618.510897964257,"PA",2007,"Pennsylvania",686.866964329542,0,103.096316148192,103.612595806326,99.6110316853422
1980,0.926,576.114433196379,"PA",2007,"Pennsylvania",652.296833203249,0,97.907461023445,96.5103640072263,92.5087998862426
1981,0.926,572.099001272429,"PA",2007,"Pennsylvania",628.515918475899,0,94.3380293425704,95.8377011223953,91.8361370014116
1982,0.926,577.696539844138,"PA",2007,"Pennsylvania",640.030517334256,0,96.0663301429729,96.7753976180429,92.7738334970592
1983,0.926,582.438488653028,"PA",2007,"Pennsylvania",644.607560336721,0,96.753328203604,97.5697662005316,93.5682020795479
1984,0.926,633.215826028576,"PA",2007,"Pennsylvania",711.542426140252,0,106.800016200826,106.07595703877,102.074392917786
1985,0.926,656.637078298366,"PA",2007,"Pennsylvania",727.922561856968,0,109.258616975212,109.99947197229,105.997907851306
1986,0.926,680.09875701661,"PA",2007,"Pennsylvania",752.678343970383,0,112.974372822855,113.929759121591,109.928195000607
1987,0.926,705.64364105001,"PA",2007,"Pennsylvania",772.366322744248,0,115.929469208908,118.209023647056,114.207459526072
1988,0.926,739.704615086774,"PA",2007,"Pennsylvania",769.157031892853,0,115.44776593679,123.91489875331,119.913334632326
1989,0.926,744.472294316692,"PA",2007,"Pennsylvania",783.164686070859,0,117.55026557446,124.713577681377,120.712013560393
1990,0.926,754.239709491643,"PA",2007,"Pennsylvania",779.857504673789,0,117.053869275645,126.349809547179,122.348245426195
1991,0.926,752.242310046016,"PA",2007,"Pennsylvania",738.28518999827,0,110.814011021604,126.015206321747,122.013642200763
1992,0.926,791.627095146668,"PA",2007,"Pennsylvania",871.327051117069,0,130.783126566761,132.612923246354,128.61135912537
1993,0.926,817.410668593283,"PA",2007,"Pennsylvania",874.569531385049,0,131.269811453605,136.932172887322,132.930608766338
1994,0.926,832.256180961024,"PA",2007,"Pennsylvania",877.214862820852,0,131.666866400466,139.419084722763,135.417520601779
1995,0.926,826.302977670508,"PA",2007,"Pennsylvania",897.654190785925,0,134.734737658186,138.42180747458,134.420243353596
1996,0.926,831.442049731786,"PA",2007,"Pennsylvania",888.994434627178,0,133.434938708647,139.282701919702,135.281137798718
1997,0.926,856.420325290258,"PA",2007,"Pennsylvania",923.063896630353,0,138.548645158493,143.467048513912,139.465484392929
1998,0.926,890.532609940795,"PA",2007,"Pennsylvania",974.587280344849,0,146.282123884813,149.181519145165,145.179955024181
1999,0.926,922.975636074484,"PA",2007,"Pennsylvania",1003.45316975977,0,150.614792386237,154.616356533783,150.6147924128
2000,0.926,940.592242222546,"PA",2007,"Pennsylvania",981.88064868304,0,147.37683282705,157.567480432014,153.56591631103
2001,0.926,948.714490018679,"PA",2007,"Pennsylvania",972.497507810062,0,145.968456375509,158.928114788998,154.926550668015
2002,0.926,902.297925470451,"PA",2007,"Pennsylvania",943.812997168881,0,141.66301219025,151.152438148404,147.15087402742
2003,0.926,908.323124304388,"PA",2007,"Pennsylvania",966.121913096068,0,145.011502027139,152.161776049301,148.160211928318
2004,0.926,945.993094906797,"PA",2007,"Pennsylvania",1009.59859856502,0,151.537199641025,158.472228219037,154.470664098053
2005,0.926,997.921741562627,"PA",2007,"Pennsylvania",1051.19688296967,0,157.780955860092,167.171285736744,163.169721615761
2006,0.926,1036.11773364754,"PA",2007,"Pennsylvania",1067.87115394782,0,160.283705302966,173.569856727719,169.568292606735
2007,0.926,1059.0575371924,"PA",2007,"Pennsylvania",1095.99927805197,1,164.505637825412,177.412719643139,173.411155522155
2008,0.926,1029.19448144665,"PA",2007,"Pennsylvania",1102.29166200162,1,165.450102530644,172.410077434715,168.408513313732
2009,0.926,967.433029435903,"PA",2007,"Pennsylvania",1042.52238165956,1,156.478943715182,162.063833925242,158.062269804258
2010,0.926,929.633445939282,"PA",2007,"Pennsylvania",1028.94086915033,1,154.440406443573,155.731669076775,151.730104955791
