"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.937,612.85441604838,"RI",2015,"Rhode Island",655.661979998423,0,100,100,105.402259905003
1977,0.937,622.930883596716,"RI",2015,"Rhode Island",691.163219854814,0,105.414564354712,101.644186169581,107.046446074585
1978,0.937,642.155966386581,"RI",2015,"Rhode Island",668.160923612034,0,101.906309042602,104.781160022821,110.183419927825
1979,0.937,635.033567603321,"RI",2015,"Rhode Island",698.463525755365,0,106.52798958345,103.618991880315,109.021251785318
1980,0.937,595.494177419275,"RI",2015,"Rhode Island",635.93505475887,0,96.9912964543711,97.1673144266394,102.569574331643
1981,0.937,599.02523887707,"RI",2015,"Rhode Island",643.677938647568,0,98.1722226213446,97.7434808644311,103.145740769434
1982,0.937,606.106721824112,"RI",2015,"Rhode Island",675.809662533387,0,103.072876443898,98.898972733561,104.301232638564
1983,0.937,610.992968630237,"RI",2015,"Rhode Island",718.041418126022,0,109.513962991685,99.6962659696334,105.098525874637
1984,0.937,657.723593963399,"RI",2015,"Rhode Island",751.156785472009,0,114.564639766639,107.32134365684,112.723603561843
1985,0.937,686.193626233434,"RI",2015,"Rhode Island",759.00187491683,0,115.761154081049,111.966824137115,117.369084042118
1986,0.937,713.531610914176,"RI",2015,"Rhode Island",763.561578299028,0,116.456589156026,116.42758740566,121.829847310663
1987,0.937,736.015528309861,"RI",2015,"Rhode Island",853.272024416538,0,130.139012242038,120.096308199199,125.498568104202
1988,0.937,773.616292519405,"RI",2015,"Rhode Island",886.100879430767,0,135.145990840112,126.231658328841,131.633918233844
1989,0.937,780.442958956863,"RI",2015,"Rhode Island",871.588070731989,0,132.932531902198,127.345571561526,132.747831466529
1990,0.937,784.638376608681,"RI",2015,"Rhode Island",886.831215024884,0,135.257379881478,128.030141590224,133.432401495227
1991,0.937,791.319409451211,"RI",2015,"Rhode Island",885.370455582666,0,135.03458833846,129.120291659731,134.522551564734
1992,0.937,813.978980074965,"RI",2015,"Rhode Island",896.57216278329,0,136.743045980102,132.81767394668,138.219933851683
1993,0.937,839.931945671813,"RI",2015,"Rhode Island",945.373915766222,0,144.186172846029,137.052442419784,142.454702324788
1994,0.937,856.648740107308,"RI",2015,"Rhode Island",921.594405916488,0,140.559378769942,139.780136631941,145.182396536944
1995,0.937,848.215311511554,"RI",2015,"Rhode Island",934.087972511119,0,142.464867722445,138.404046589197,143.806306494201
1996,0.937,858.16851826307,"RI",2015,"Rhode Island",946.454889042228,0,144.351040309597,140.028120184961,145.430380089965
1997,0.937,883.636940272153,"RI",2015,"Rhode Island",1005.15161341902,0,153.303324591345,144.183825250008,149.586085155011
1998,0.937,921.013979373484,"RI",2015,"Rhode Island",1087.97342677712,0,165.935109853363,150.282669954813,155.684929859816
1999,0.937,962.100094977284,"RI",2015,"Rhode Island",1107.93788407625,0,168.980041221685,156.986727970535,162.388987875539
2000,0.937,981.596491821693,"RI",2015,"Rhode Island",1083.78067560054,0,165.295641452803,160.1679723793,165.570232284304
2001,0.937,993.569793711561,"RI",2015,"Rhode Island",1158.32109728203,0,176.664368625556,162.121666695003,167.523926600006
2002,0.937,939.905181823422,"RI",2015,"Rhode Island",1094.70127079039,0,166.961224561629,153.36516425611,158.767424161113
2003,0.937,942.094606040449,"RI",2015,"Rhode Island",1110.72394939366,0,169.40496525303,153.722414552378,159.124674457382
2004,0.937,983.724688159568,"RI",2015,"Rhode Island",1152.47320532016,0,175.772462103557,160.515232068086,165.917491973089
2005,0.937,1039.65519367347,"RI",2015,"Rhode Island",1206.06675299451,0,183.946422056897,169.641462384664,175.043722289668
2006,0.937,1080.0495934206,"RI",2015,"Rhode Island",1200.01267113687,0,183.023067944211,176.232652508999,181.634912414002
2007,0.937,1099.65847194996,"RI",2015,"Rhode Island",1180.00614917842,0,179.971720974466,179.432250654314,184.834510559318
2008,0.937,1066.74279976291,"RI",2015,"Rhode Island",1151.46114596565,0,175.618105226785,174.061371155836,179.46363106084
2009,0.937,1001.85689075573,"RI",2015,"Rhode Island",1096.09833003152,0,167.174300702041,163.47387968836,168.876139593363
2010,0.937,962.116970236312,"RI",2015,"Rhode Island",1064.74090738446,0,162.39174145602,156.989481521556,162.391741426559
2011,0.937,985.250766597643,"RI",2015,"Rhode Island",1089.50392521305,0,166.168537821222,160.764243643773,166.166503548777
2012,0.937,1012.87921478592,"RI",2015,"Rhode Island",1127.93504182192,0,172.02995998405,165.272402101114,170.674662006118
2013,0.937,1035.84806073368,"RI",2015,"Rhode Island",1137.09718021604,0,173.427347460162,169.02024911768,174.422509022684
2014,0.937,1036.08756304331,"RI",2015,"Rhode Island",1134.24473101507,0,172.992298717366,169.059328922502,174.461588827506
2015,0.937,1090.39478976826,"RI",2015,"Rhode Island",1193.33317679044,1,182.004327411711,177.920687395712,183.322947300715
2016,0.937,1081.14888640163,"RI",2015,"Rhode Island",1221.54299844326,1,186.306822068011,176.412025122176,181.814285027179
