"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post","real_NCI_cap_76","syn_state_76","syn_state_76_shift"
1976,0.902,609.288056896814,"SC",2007,"South Carolina",574.798214379672,0,100,100,101.513644477474
1977,0.902,621.023104411226,"SC",2007,"South Carolina",596.25627894755,0,103.733147395219,101.926026184426,103.4396706619
1978,0.902,645.597549864789,"SC",2007,"South Carolina",625.485494333921,0,108.818273732627,105.959331150015,107.472975627489
1979,0.902,640.981389638891,"SC",2007,"South Carolina",616.341493992048,0,107.227454535016,105.201699324864,106.715343802338
1980,0.902,606.563429587828,"SC",2007,"South Carolina",590.272765832832,0,102.692171107362,99.5528178702758,101.06646234775
1981,0.902,610.037510080551,"SC",2007,"South Carolina",578.994505668061,0,100.730045985428,100.123004738933,101.636649216407
1982,0.902,615.033885744935,"SC",2007,"South Carolina",590.453573983362,0,102.723627041985,100.943039795887,102.45668427336
1983,0.902,615.931230820722,"SC",2007,"South Carolina",616.075775471342,0,107.181226395461,101.090317436672,102.603961914146
1984,0.902,658.372935249087,"SC",2007,"South Carolina",654.687772566317,0,113.89871370301,108.056103807823,109.569748285297
1985,0.902,687.820673239887,"SC",2007,"South Carolina",712.547779422439,0,123.964856117625,112.889242691388,114.402887168862
1986,0.902,708.800476845177,"SC",2007,"South Carolina",745.326241227888,0,129.667459393946,116.33257353758,117.846218015054
1987,0.902,726.081561296381,"SC",2007,"South Carolina",772.57295209652,0,134.40768129913,119.168848474466,120.68249295194
1988,0.902,773.616335473764,"SC",2007,"South Carolina",801.243486610261,0,139.395611636506,126.970539914059,128.484184391533
1989,0.902,780.947420012368,"SC",2007,"South Carolina",816.113331440526,0,141.98257945552,128.173761355152,129.687405832626
1990,0.902,789.426003255872,"SC",2007,"South Carolina",827.296770173437,0,143.92820810452,129.56531714679,131.078961624264
1991,0.902,793.308626369577,"SC",2007,"South Carolina",780.070637568355,0,135.712084354718,130.202556473863,131.716200951337
1992,0.902,804.935533387727,"SC",2007,"South Carolina",750.969771184912,0,130.649287419128,132.110833993263,133.624478470737
1993,0.902,836.067933954734,"SC",2007,"South Carolina",783.08160389683,0,136.23591450122,137.220469774665,138.734114252138
1994,0.902,861.568629468081,"SC",2007,"South Carolina",788.178335587375,0,137.122613792039,141.405796439892,142.919440917366
1995,0.902,857.080791843418,"SC",2007,"South Carolina",800.339172140031,0,139.238284343622,140.669225687542,142.182870165016
1996,0.902,869.317945237225,"SC",2007,"South Carolina",828.809046231594,0,144.191304965353,142.677660491948,144.191304969422
1997,0.902,894.81795477252,"SC",2007,"South Carolina",845.309012307569,0,147.061871655227,146.862874570355,148.376519047829
1998,0.902,928.491107087549,"SC",2007,"South Carolina",873.933912349973,0,152.041862776684,152.389513724671,153.903158202144
1999,0.902,934.448548799335,"SC",2007,"South Carolina",911.963051289029,0,158.657947863187,153.367284689381,154.880929166855
2000,0.902,934.633344160094,"SC",2007,"South Carolina",888.093184056053,0,154.505209278441,153.397614409235,154.911258886709
2001,0.902,948.063039419165,"SC",2007,"South Carolina",864.414258473196,0,150.385689594753,155.601776317064,157.115420794538
2002,0.902,891.149363168954,"SC",2007,"South Carolina",802.167334565691,0,139.556337249829,146.260763374831,147.774407852305
2003,0.902,895.417963046983,"SC",2007,"South Carolina",809.165375498376,0,140.773815098162,146.96135151696,148.474995994434
2004,0.902,932.439560617128,"SC",2007,"South Carolina",830.613657027814,0,144.505260498107,153.037557533323,154.551202010797
2005,0.902,972.166389387854,"SC",2007,"South Carolina",847.93641164895,0,147.518971081713,159.557762274092,161.071406751566
2006,0.902,1016.44426913339,"SC",2007,"South Carolina",849.480660067172,0,147.787630305,166.824912720311,168.338557197785
2007,0.902,1033.28388054787,"SC",2007,"South Carolina",909.11357530735,1,158.162212853858,169.588730461995,171.102374939469
2008,0.902,1005.47760765343,"SC",2007,"South Carolina",833.032147586937,1,144.926015207955,165.024998647513,166.538643124987
2009,0.902,935.642212283126,"SC",2007,"South Carolina",750.233140718322,1,130.52113279927,153.563195879545,155.076840357019
2010,0.902,885.52796328057,"SC",2007,"South Carolina",701.791098765462,1,122.093472319298,145.338145604016,146.85179008149
2011,0.902,908.845516982412,"SC",2007,"South Carolina",712.582850062143,1,123.97095750048,149.165161977946,150.67880645542
2012,0.902,943.27540851149,"SC",2007,"South Carolina",720.814145921933,1,125.402989760475,154.816001698067,156.329646175541
2013,0.902,964.171473616434,"SC",2007,"South Carolina",761.563009116305,1,132.492236416947,158.245588880749,159.759233358223
2014,0.902,962.040894789007,"SC",2007,"South Carolina",755.928643924763,1,131.512002823559,157.895905540773,159.409550018247
2015,0.902,1015.77967822939,"SC",2007,"South Carolina",794.627519512106,1,138.244604738321,166.715836086284,168.229480563757
2016,0.902,996.762821438349,"SC",2007,"South Carolina",759.681019318014,1,132.164818942221,163.59467581147,165.108320288944
2017,0.902,991.683603220138,"SC",2007,"South Carolina",767.151295779542,1,133.464453540006,162.761044139108,164.274688616582
2018,0.902,1054.38928688135,"SC",2007,"South Carolina",791.987239431402,1,137.78526439685,173.052675979158,174.566320456632
2019,0.902,1110.59592853681,"SC",2007,"South Carolina",820.932389641635,1,142.8209707519,182.277646174984,183.791290652458
2020,0.902,1074.00087066395,"SC",2007,"South Carolina",849.960352110625,1,147.871084294844,176.271446404839,177.785090882313
2021,0.902,1139.3798725141,"SC",2007,"South Carolina",891.449204180814,1,155.089069847385,187.001839214954,188.515483692428
2022,0.902,1219.48013380793,"SC",2007,"South Carolina",960.321737082092,1,167.071106530573,200.148373171618,201.662017649091
