"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.928,733.316003065769,"AZ",2007,"Arizona",348.316682942182,0,100,100,150.714472969903
1977,0.928,776.622279522891,"AZ",2007,"Arizona",352.378573264718,0,101.16614865766,105.905540895886,156.620013865789
1978,0.928,820.071044797258,"AZ",2007,"Arizona",389.283803363515,0,111.761458014382,111.830512544223,162.544985514126
1979,0.928,852.41707100236,"AZ",2007,"Arizona",466.97425402423,0,134.066002833905,116.241438539275,166.955911509178
1980,0.928,806.719333913639,"AZ",2007,"Arizona",522.020720951238,0,149.869571718989,110.009781668611,160.724254638514
1981,0.928,762.359048766891,"AZ",2007,"Arizona",495.265545019279,0,142.18829280178,103.960508918352,154.674981888255
1982,0.928,731.946402960167,"AZ",2007,"Arizona",411.511984567133,0,118.143059095289,99.813231935499,150.527704905402
1983,0.928,619.188136286709,"AZ",2007,"Arizona",542.530690983069,0,155.757882855449,84.4367412818041,135.151214251707
1984,0.928,678.974897257908,"AZ",2007,"Arizona",619.323127923429,0,177.804612369437,92.5896740858406,143.304147055744
1985,0.928,755.924203707365,"AZ",2007,"Arizona",590.575899469039,0,169.551425007992,103.083009309367,153.79748227927
1986,0.928,754.481864087241,"AZ",2007,"Arizona",471.119205922432,0,135.255998059856,102.886321985745,153.600794955648
1987,0.928,815.293226507006,"AZ",2007,"Arizona",509.528756310593,0,146.283190344682,111.17897647106,161.893449440963
1988,0.928,809.416382206136,"AZ",2007,"Arizona",354.207787577737,0,101.691307055922,110.377569672858,161.092042642761
1989,0.928,872.623668094034,"AZ",2007,"Arizona",445.34472086377,0,127.856270650606,118.996948715951,169.711421685854
1990,0.928,755.45854779972,"AZ",2007,"Arizona",373.985692953464,0,107.369446043887,103.019509275862,153.733982245765
1991,0.928,688.830369923241,"AZ",2007,"Arizona",403.563065044077,0,115.860963544794,93.933633937273,144.648106907176
1992,0.928,626.413123389819,"AZ",2007,"Arizona",417.799446658251,0,119.948158419849,85.4219900794444,136.136463049347
1993,0.928,701.165561621782,"AZ",2007,"Arizona",456.266127709216,0,130.991752635906,95.6157452844919,146.330218254395
1994,0.928,744.909349780127,"AZ",2007,"Arizona",530.470358470145,0,152.295420934001,101.580948276853,152.295421246756
1995,0.928,821.023700972971,"AZ",2007,"Arizona",706.713916965218,0,202.894076446671,111.960423274622,162.674896244525
1996,0.928,835.385172400628,"AZ",2007,"Arizona",715.848968906863,0,205.516704758494,113.918852023976,164.633324993879
1997,0.928,859.261155275353,"AZ",2007,"Arizona",913.808993783775,0,262.350050553123,117.174744814384,167.889217784287
1998,0.928,875.3603238314,"AZ",2007,"Arizona",771.241522343236,0,221.419633371755,119.370137863048,170.084610832951
1999,0.928,817.963911428413,"AZ",2007,"Arizona",761.222734205156,0,218.543288761025,111.543169385198,162.257642355101
2000,0.928,826.620605968233,"AZ",2007,"Arizona",654.151162186206,0,187.803569056952,112.723655629004,163.438128598907
2001,0.928,814.479824677287,"AZ",2007,"Arizona",831.35885674,0,238.679023272049,111.068055418428,161.782528388331
2002,0.928,653.557575652702,"AZ",2007,"Arizona",511.765497865398,0,146.92534780206,89.1235937740863,139.838066743989
2003,0.928,654.258230460199,"AZ",2007,"Arizona",551.025566383111,0,158.19671964279,89.2191398694351,139.933612839338
2004,0.928,693.371779077539,"AZ",2007,"Arizona",706.315501274785,0,202.779693268964,94.5529316391249,145.267404609028
2005,0.928,896.929086984841,"AZ",2007,"Arizona",883.020222224332,0,253.51074624551,122.311402347018,173.025875316921
2006,0.928,1109.31055238353,"AZ",2007,"Arizona",1050.54149727433,0,301.605277243844,151.273195695422,201.987668665325
2007,0.928,1185.30253216494,"AZ",2007,"Arizona",1106.39402564491,1,317.640262389776,161.635983288181,212.350456258084
2008,0.928,1081.66508771233,"AZ",2007,"Arizona",832.398906209851,1,238.97761634002,147.503270512334,198.217743482237
2009,0.928,883.420816452688,"AZ",2007,"Arizona",624.336366387265,1,179.243888381568,120.469321923888,171.183794893791
2010,0.928,777.613240114592,"AZ",2007,"Arizona",424.301171182087,1,121.814771431008,106.040675079179,156.755148049082
2011,0.928,884.695568165201,"AZ",2007,"Arizona",552.001118166428,1,158.476795743389,120.643155810941,171.357628780844
2012,0.928,898.875706405318,"AZ",2007,"Arizona",617.435978631533,1,177.26282112477,122.576856723076,173.29132969298
2013,0.928,969.31957079364,"AZ",2007,"Arizona",614.533931381544,1,176.429657686983,132.183065246253,182.897538216156
2014,0.928,927.819538772098,"AZ",2007,"Arizona",517.733504199212,1,148.638732955881,126.523836230652,177.238309200555
2015,0.928,969.733782445087,"AZ",2007,"Arizona",711.087124323182,1,204.1496026882,132.239549988126,182.954022958029
2016,0.928,883.534497026469,"AZ",2007,"Arizona",622.368938936995,1,178.679049673973,120.484824186665,171.199297156568
2017,0.928,864.298245003618,"AZ",2007,"Arizona",434.872698465672,1,124.849804721486,117.86163691918,168.576109889083
2018,0.928,965.618409843433,"AZ",2007,"Arizona",423.226656494912,1,121.506283569301,131.678349552782,182.392822522685
2019,0.928,1132.95175544375,"AZ",2007,"Arizona",562.982695063883,1,161.629552253555,154.497072299967,205.21154526987
2020,0.928,961.028276917469,"AZ",2007,"Arizona",573.912746428616,1,164.767516037663,131.052407543229,181.766880513132
2021,0.928,1364.703611166,"AZ",2007,"Arizona",938.221589926936,1,269.358786378508,186.100344934598,236.814817904501
2022,0.928,1704.4257380249,"AZ",2007,"Arizona",1101.51319728039,1,316.239000663437,232.427184310614,283.141657280517
