"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.919,759.047584305171,"CO",2009,"Colorado",929.334104733474,0,100,100,73.6247136682578
1977,0.919,813.836740861972,"CO",2009,"Colorado",986.314109835694,0,106.131272360715,107.218145171617,80.8428588398752
1978,0.919,856.411959302623,"CO",2009,"Colorado",955.718818206196,0,102.83909880616,112.827176716013,86.451890384271
1979,0.919,878.999654618222,"CO",2009,"Colorado",1085.71058964297,0,116.82672400733,115.802971090785,89.4276847590433
1980,0.919,827.121685446223,"CO",2009,"Colorado",922.934940018316,0,99.3114247413751,108.968357524432,82.5930711926899
1981,0.919,783.030294477006,"CO",2009,"Colorado",764.451181929192,0,82.2579498627602,103.159579276415,76.784292944673
1982,0.919,718.96720773615,"CO",2009,"Colorado",618.736213952971,0,66.5784469548139,94.7196490183536,68.3443626866115
1983,0.919,608.229802713324,"CO",2009,"Colorado",360.02743498254,0,38.7403661555919,80.1306552171028,53.7553688853607
1984,0.919,651.483384559368,"CO",2009,"Colorado",532.671984275566,0,57.317597789907,85.8290571013059,59.4537707695637
1985,0.919,728.378561849679,"CO",2009,"Colorado",588.857172745465,0,63.3633447590245,95.9595388893088,69.5842525575666
1986,0.919,696.119209611681,"CO",2009,"Colorado",659.125812387487,0,70.9245263926389,91.7095612983086,65.3342749665664
1987,0.919,740.917019450553,"CO",2009,"Colorado",558.352111351327,0,60.0808803322093,97.6114060265122,71.23611969477
1988,0.919,774.705961688212,"CO",2009,"Colorado",633.866334205831,0,68.2065073236088,102.062897993065,75.6876116613231
1989,0.919,826.001408308387,"CO",2009,"Colorado",766.193977644793,0,82.4454815272847,108.82076768145,82.4454813497076
1990,0.919,752.299381825934,"CO",2009,"Colorado",529.020562173973,0,56.9246904293577,99.1109645009391,72.735678169197
1991,0.919,703.286967201645,"CO",2009,"Colorado",471.074247122199,0,50.6894393225028,92.6538706852524,66.2785843535102
1992,0.919,629.912709598441,"CO",2009,"Colorado",489.083207044155,0,52.6272741474844,82.987249103106,56.6119627713639
1993,0.919,689.841421182297,"CO",2009,"Colorado",524.915567012091,0,56.482976825932,90.8825000495555,64.5072137178134
1994,0.919,750.155911536962,"CO",2009,"Colorado",539.388543500649,0,58.0403259444935,98.8285750522021,72.4532887204599
1995,0.919,813.014265668077,"CO",2009,"Colorado",667.131843904916,0,71.786006830799,107.10978896169,80.7345026299482
1996,0.919,822.069599005745,"CO",2009,"Colorado",687.712450281541,0,74.0005609154709,108.302775215109,81.927488883367
1997,0.919,860.630163643142,"CO",2009,"Colorado",718.194196593327,0,77.2805165478458,113.38290002345,87.0076136917075
1998,0.919,868.770174651509,"CO",2009,"Colorado",838.230193261905,0,90.196861278679,114.455298009647,88.0800116779048
1999,0.919,798.265207796486,"CO",2009,"Colorado",937.881003677213,0,100.919679897704,105.166688400335,78.7914020685925
2000,0.919,811.788549120731,"CO",2009,"Colorado",971.014631643674,0,104.484988412445,106.948308104272,80.5730217725302
2001,0.919,791.601183190456,"CO",2009,"Colorado",937.019183508579,0,100.826944662416,104.288742834889,77.9134565031467
2002,0.919,618.151683009571,"CO",2009,"Colorado",548.675503230008,0,59.0396392896141,81.4378038730504,55.0625175413082
2003,0.919,582.447080805741,"CO",2009,"Colorado",518.006532901852,0,55.7395376176808,76.7339351114477,50.3586487797055
2004,0.919,626.41275257833,"CO",2009,"Colorado",598.777149930421,0,64.4307732687961,82.5261506038183,56.1508642720761
2005,0.919,837.403050026666,"CO",2009,"Colorado",754.080302812833,0,81.1420025340722,110.322866094518,83.9475797627757
2006,0.919,1042.34801668477,"CO",2009,"Colorado",1038.73043283456,0,111.771474601425,137.323145246412,110.94785891467
2007,0.919,1129.49081316927,"CO",2009,"Colorado",1039.6315580168,0,111.868439210563,148.803689850776,122.428403519034
2008,0.919,1021.82813784643,"CO",2009,"Colorado",1042.16334020644,0,112.140868918754,134.619773381112,108.24448704937
2009,0.919,826.723279024499,"CO",2009,"Colorado",667.242006791917,1,71.797860790149,108.91586985041,82.5405835186676
2010,0.919,711.585842390958,"CO",2009,"Colorado",706.443452727917,1,76.0160903521904,93.7471980814406,67.3719117496984
2011,0.919,791.748804257664,"CO",2009,"Colorado",718.95754171214,1,77.3626554809728,104.308191031584,77.9329046998423
2012,0.919,814.055987954317,"CO",2009,"Colorado",891.554188227489,1,95.9347325882525,107.247029670676,80.871743338934
2013,0.919,901.757411157546,"CO",2009,"Colorado",1147.19257013765,1,123.442426603579,118.80117001927,92.4258836875277
2014,0.919,835.941401061583,"CO",2009,"Colorado",1222.96055311212,1,131.595359180631,110.130302545762,83.7550162140199
2015,0.919,893.764467665102,"CO",2009,"Colorado",1117.78797356412,1,120.278376513976,117.748147302682,91.3728609709399
2016,0.919,796.410622628132,"CO",2009,"Colorado",1016.32836384084,1,109.360923984633,104.922357846269,78.5470715145269
2017,0.919,786.349619697887,"CO",2009,"Colorado",829.055515640045,1,89.2096299293581,103.596880611603,77.2215942798612
2018,0.919,879.732666904095,"CO",2009,"Colorado",1181.6417730913,1,127.149296154389,115.899541095226,89.5242547634843
2019,0.919,1024.68516483853,"CO",2009,"Colorado",1165.82620143332,1,125.447478522019,134.996169677099,108.620883345357
2020,0.919,870.417274119704,"CO",2009,"Colorado",1022.53226382644,1,110.028487991377,114.672293558049,88.2970072263067
2021,0.919,1254.52020034069,"CO",2009,"Colorado",1783.68623684186,1,191.931645223911,165.275567208223,138.900280876481
2022,0.919,1581.31498967411,"CO",2009,"Colorado",1939.46570920525,1,208.694128336275,208.328835025756,181.953548694014
