"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.943,828.674858220838,"CT",2016,"Connecticut",818.989724974917,0,100,100,124.780555791125
1977,0.943,886.946430919791,"CT",2016,"Connecticut",1078.86449511355,0,131.731139257772,107.03189823136,131.812454022485
1978,0.943,901.831885885343,"CT",2016,"Connecticut",990.052885787592,0,120.887094867755,108.828194428581,133.608750219707
1979,0.943,928.90624391624,"CT",2016,"Connecticut",1028.36503122311,0,125.56507119239,112.095381524015,136.875937315141
1980,0.943,887.2788018596,"CT",2016,"Connecticut",959.510707209994,0,117.157844347727,107.072006958747,131.852562749872
1981,0.943,842.641608751169,"CT",2016,"Connecticut",874.508481544554,0,106.778932003248,101.685431914794,126.46598770592
1982,0.943,758.408636163714,"CT",2016,"Connecticut",1153.07357865924,0,140.792191097948,91.520652357188,116.301208148313
1983,0.943,666.063841989533,"CT",2016,"Connecticut",1134.59529447731,0,138.535962036894,80.3769820433033,105.157537834429
1984,0.943,702.564575504738,"CT",2016,"Connecticut",1216.09200632129,0,148.486845345775,84.7816931496078,109.562248940733
1985,0.943,805.961450609037,"CT",2016,"Connecticut",1421.16069643457,0,173.526071585098,97.259068814931,122.039624606056
1986,0.943,805.345514697958,"CT",2016,"Connecticut",1745.7847730833,0,213.163208260857,97.184741000473,121.965296791598
1987,0.943,805.304925803517,"CT",2016,"Connecticut",1709.67806183634,0,208.754519098356,97.179842952217,121.960398743342
1988,0.943,851.816654121406,"CT",2016,"Connecticut",1553.23024663658,0,189.651982103213,102.792626766818,127.573182557944
1989,0.943,911.023934431289,"CT",2016,"Connecticut",1964.80111365182,0,239.905465689694,109.937441131888,134.717996923013
1990,0.943,812.691669783747,"CT",2016,"Connecticut",1581.20080515787,0,193.067233560995,98.0712352645274,122.851791055653
1991,0.943,746.010777466569,"CT",2016,"Connecticut",1151.73988520908,0,140.6293449218,90.024545823467,114.805101614592
1992,0.943,682.676281702182,"CT",2016,"Connecticut",1292.15050380841,0,157.773713687065,82.3816814194031,107.162237210529
1993,0.943,742.529316404234,"CT",2016,"Connecticut",1508.68044389357,0,184.212377504465,89.6044219319555,114.384977723081
1994,0.943,802.243032681805,"CT",2016,"Connecticut",1449.18889929041,0,176.94836151147,96.8103502505455,121.590906041671
1995,0.943,863.005349005441,"CT",2016,"Connecticut",1404.49145466749,0,171.49072959499,104.142817951339,128.923373742464
1996,0.943,867.078290295147,"CT",2016,"Connecticut",1251.25389192918,0,152.780169735036,104.634318477667,129.414874268792
1997,0.943,890.027691102497,"CT",2016,"Connecticut",1082.65114854551,0,132.193495904807,107.403728045205,132.18428383633
1998,0.943,896.786483462617,"CT",2016,"Connecticut",1055.61374366794,0,128.892184050327,108.219342552278,132.999898343404
1999,0.943,820.398413557775,"CT",2016,"Connecticut",1020.96439835893,0,124.661441679283,99.0012434212336,123.781799212359
2000,0.943,817.742903576448,"CT",2016,"Connecticut",968.195611374797,0,118.21828551078,98.6807908390196,123.461346630145
2001,0.943,768.703974830001,"CT",2016,"Connecticut",850.527752712353,0,103.850845349544,92.76303814507,117.543593936195
2002,0.943,553.864702744724,"CT",2016,"Connecticut",320.255111192191,0,39.1036787673984,66.8373967485715,91.6179525396969
2003,0.943,524.845077032086,"CT",2016,"Connecticut",716.839634560943,0,87.5273050077518,63.3354652702902,88.1160210614156
2004,0.943,591.900253408183,"CT",2016,"Connecticut",766.83829676998,0,93.6322243595261,71.4273212872647,96.2078770783901
2005,0.943,795.914911821911,"CT",2016,"Connecticut",1119.33977417688,0,136.67323777611,96.0467068508313,120.827262641957
2006,0.943,1022.63543077887,"CT",2016,"Connecticut",1193.94941581974,0,145.78319842246,123.406112860051,148.186668651176
2007,0.943,1107.41262081847,"CT",2016,"Connecticut",1630.43779790792,0,199.079151812052,133.63656563638,158.417121427505
2008,0.943,1003.16051787555,"CT",2016,"Connecticut",1055.68727249625,0,128.901162041878,121.055985700994,145.836541492119
2009,0.943,800.983184713819,"CT",2016,"Connecticut",774.834202179835,0,94.6085376350192,96.6583186116599,121.438874402785
2010,0.943,694.373290933796,"CT",2016,"Connecticut",867.440405089471,0,105.915908177729,83.79321323017,108.573769021295
2011,0.943,776.396681823205,"CT",2016,"Connecticut",1125.52913265487,0,137.428968683257,93.6913524189844,118.47190821011
2012,0.943,804.959992512222,"CT",2016,"Connecticut",841.734041858151,0,102.777118709753,97.138218268196,121.918774059321
2013,0.943,878.901790125224,"CT",2016,"Connecticut",754.255455317787,0,92.0958386066306,106.061114489731,130.841670280857
2014,0.943,834.774351186588,"CT",2016,"Connecticut",818.889943937358,0,99.9878165702797,100.736053821983,125.516609613109
2015,0.943,884.356219415319,"CT",2016,"Connecticut",849.14209580764,0,103.68165434965,106.719325516165,131.499881307291
2016,0.943,796.92899693246,"CT",2016,"Connecticut",989.946752335411,1,120.874135797702,96.1690811572905,120.949636948416
2017,0.943,784.53022188258,"CT",2016,"Connecticut",1137.56272612412,1,138.898290348998,94.6728640430776,119.453419834203
2018,0.943,828.954846288144,"CT",2016,"Connecticut",1041.08373634563,1,127.118046124146,100.033787445646,124.814343236772
2019,0.943,985.280209729134,"CT",2016,"Connecticut",3021.28879964415,1,368.9043595433,118.898286819577,143.678842610702
2020,0.943,815.050278443593,"CT",2016,"Connecticut",2969.68218326388,1,362.603106327718,98.3558594010566,123.136415192182
2021,0.943,1217.63803402495,"CT",2016,"Connecticut",3559.76782032727,1,434.653538594308,146.937972347709,171.718528138834
2022,0.943,1542.13485338239,"CT",2016,"Connecticut",4402.94753330039,1,537.607176138289,186.096493465886,210.877049257012
