"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.948,788.145871529687,"DE",2017,"Delaware",945.53209496408,0,100,100,150.120729363742
1977,0.948,844.705598083349,"DE",2017,"Delaware",1124.4377697298,0,118.921163619783,107.176301823911,157.297031187653
1978,0.948,873.912575715261,"DE",2017,"Delaware",1241.92033660777,0,131.346185203258,110.882085066196,161.002814429938
1979,0.948,911.925496815002,"DE",2017,"Delaware",1332.90298791759,0,140.968560984514,115.705166994668,165.825896358409
1980,0.948,869.187878456886,"DE",2017,"Delaware",950.86461060859,0,100.563969818995,110.282615167406,160.403344531148
1981,0.948,794.744397531045,"DE",2017,"Delaware",698.344129456372,0,73.857263352113,100.837221412903,150.957950776645
1982,0.948,749.357904780283,"DE",2017,"Delaware",718.428303501556,0,75.9813767642492,95.0785802285405,145.199309592282
1983,0.948,667.065470109596,"DE",2017,"Delaware",567.81634547573,0,60.0525723558121,84.6373107068252,134.758040070567
1984,0.948,736.413959894994,"DE",2017,"Delaware",811.433254355038,0,85.8176320694713,93.4362516504352,143.556981014177
1985,0.948,827.367918421337,"DE",2017,"Delaware",1425.0559968912,0,150.714714442912,104.976495888448,155.09722525219
1986,0.948,823.404391388133,"DE",2017,"Delaware",1354.71836404326,0,143.275767291085,104.473603317875,154.594332681617
1987,0.948,884.983184138357,"DE",2017,"Delaware",1669.51159181295,0,176.568474058659,112.286724590807,162.407453954549
1988,0.948,907.749522362001,"DE",2017,"Delaware",1790.18771724227,0,189.331248169876,115.175319081502,165.296048445244
1989,0.948,961.650338453941,"DE",2017,"Delaware",2188.28576092746,0,231.434318579169,122.014258171207,172.134987534949
1990,0.948,844.881024023465,"DE",2017,"Delaware",1548.42726581143,0,163.762528428002,107.198559878727,157.319289242469
1991,0.948,767.55065137481,"DE",2017,"Delaware",1518.66616415815,0,160.614977772472,97.3868771126207,147.507606476363
1992,0.948,690.419327938454,"DE",2017,"Delaware",1528.19204369603,0,161.622440087989,87.6004497236586,137.721179087401
1993,0.948,777.44568576196,"DE",2017,"Delaware",1293.55373016373,0,136.806961609576,98.6423597262575,148.763089089999
1994,0.948,842.563199886883,"DE",2017,"Delaware",1697.743080927,0,179.554252041703,106.904474199881,157.025203563623
1995,0.948,922.32610365478,"DE",2017,"Delaware",2033.41645934443,0,215.055255149396,117.024796674335,167.145526038077
1996,0.948,934.193083293016,"DE",2017,"Delaware",1672.75623599061,0,176.911629430639,118.530479831084,168.651209194826
1997,0.948,959.76569869573,"DE",2017,"Delaware",1681.31604049754,0,177.816919113826,121.775134954771,171.895864318513
1998,0.948,982.588696176811,"DE",2017,"Delaware",1945.4300869113,0,205.749767487819,124.670918375774,174.791647739516
1999,0.948,911.356795733363,"DE",2017,"Delaware",2129.00091640682,0,225.164320465261,115.633010164037,165.753739527779
2000,0.948,922.792349024822,"DE",2017,"Delaware",2039.89171833436,0,215.740082139872,117.083953917541,167.204683281283
2001,0.948,904.083237894453,"DE",2017,"Delaware",1294.48943515629,0,136.905922289763,114.710140667203,164.830870030944
2002,0.948,704.830731381242,"DE",2017,"Delaware",1994.3819918639,0,210.926948168763,89.4289695400242,139.549698903766
2003,0.948,704.291567872931,"DE",2017,"Delaware",1590.60320182756,0,168.223078867353,89.3605604386399,139.481289802382
2004,0.948,739.126749382036,"DE",2017,"Delaware",1594.94163765684,0,168.681914252464,93.780450558916,143.901179922658
2005,0.948,962.776522492798,"DE",2017,"Delaware",1733.06763148678,0,183.290196146395,122.157148476103,172.277877839845
2006,0.948,1177.00191856928,"DE",2017,"Delaware",1961.24666438653,0,207.422537514291,149.338080815531,199.458810179273
2007,0.948,1239.00050455852,"DE",2017,"Delaware",1921.88802782855,0,203.259946231816,157.204465482231,207.325194845973
2008,0.948,1164.48136562487,"DE",2017,"Delaware",1864.41750128006,0,197.181831395251,147.749472234723,197.870201598465
2009,0.948,941.013515843691,"DE",2017,"Delaware",1253.77541897589,0,132.599985304943,119.395856761555,169.516586125296
2010,0.948,844.174334273,"DE",2017,"Delaware",834.454004773468,0,88.2523194313323,107.108895036723,157.229624400465
2011,0.948,921.03117999535,"DE",2017,"Delaware",1925.34226098249,0,203.625267850441,116.860496675286,166.981226039028
2012,0.948,928.983733329654,"DE",2017,"Delaware",1434.76489764996,0,151.741533184494,117.86951716522,167.990246528962
2013,0.948,995.117938484473,"DE",2017,"Delaware",1653.35662663578,0,174.859915960715,126.260629463564,176.381358827306
2014,0.948,971.015496822335,"DE",2017,"Delaware",1451.03783257743,0,153.462567828811,123.202510080745,173.323239444487
2015,0.948,1031.61797080822,"DE",2017,"Delaware",2062.95415970414,0,218.179178759925,130.891755964665,181.012485328407
2016,0.948,941.888856960659,"DE",2017,"Delaware",1603.88387093055,0,169.627649814624,119.506920100029,169.627649463771
2017,0.948,939.776774551276,"DE",2017,"Delaware",1205.05461739773,1,127.447246245354,119.238938945058,169.3596683088
2018,0.948,1047.89979086008,"DE",2017,"Delaware",1206.16028131596,1,127.564181876003,132.957594363369,183.078323727111
2019,0.948,1220.51931890035,"DE",2017,"Delaware",1334.85828043327,1,141.175353807951,154.859571430792,204.980300794534
2020,0.948,1035.02458673018,"DE",2017,"Delaware",1096.62616242034,1,115.979792569812,131.323987616827,181.444716980569
2021,0.948,1461.14438828295,"DE",2017,"Delaware",1413.30806226286,1,149.472246345752,185.390096055069,235.510825418811
2022,0.948,1760.79759554323,"DE",2017,"Delaware",1922.00928285293,1,203.272770230602,223.410114694347,273.530844058089
