"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.922,797.701559079261,"GA",2006,"Georgia",757.50623295789,0,100,100,114.242129713406
1977,0.922,853.883575303941,"GA",2006,"Georgia",900.398525191801,0,118.863513726606,107.042986889674,121.285116603081
1978,0.922,872.460890175488,"GA",2006,"Georgia",983.845234887944,0,129.879490370165,109.371842168958,123.613971882365
1979,0.922,896.522942655064,"GA",2006,"Georgia",961.07140364013,0,126.873068738638,112.388265066182,126.630394779588
1980,0.922,854.894537988087,"GA",2006,"Georgia",883.778734662373,0,116.669500026609,107.16972133975,121.411851053157
1981,0.922,814.268242327853,"GA",2006,"Georgia",830.546744214731,0,109.642232377631,102.076802164924,116.318931878331
1982,0.922,736.338776044859,"GA",2006,"Georgia",818.294755643392,0,108.024821452378,92.3075513221724,106.549681035579
1983,0.922,641.809761335477,"GA",2006,"Georgia",697.691769419873,0,92.1037661558962,80.4573783303469,94.6995080437533
1984,0.922,676.23137519559,"GA",2006,"Georgia",868.616091479015,0,114.667847429752,84.7724775636797,99.0146072770862
1985,0.922,773.737471701205,"GA",2006,"Georgia",1086.50904857941,0,143.432357557883,96.9958580241818,111.237987737588
1986,0.922,770.8484312062,"GA",2006,"Georgia",1044.96406199947,0,137.947916008443,96.633687427657,110.875817141064
1987,0.922,770.920437923812,"GA",2006,"Georgia",1061.45743775048,0,140.125241426164,96.6427142017422,110.884843915149
1988,0.922,811.710578577122,"GA",2006,"Georgia",1068.36468884938,0,141.037082253127,101.756173012126,115.998302725533
1989,0.922,872.282749775236,"GA",2006,"Georgia",1100.69322370571,0,145.304840516989,109.349510458781,123.591640172188
1990,0.922,776.805901871646,"GA",2006,"Georgia",937.237328730378,0,123.726682098797,97.3805169402283,111.622646653635
1991,0.922,713.093279281999,"GA",2006,"Georgia",769.84843895067,0,101.629320717875,89.3934919852832,103.63562169869
1992,0.922,657.462948086897,"GA",2006,"Georgia",659.539089103713,0,87.0671501313412,82.4196644225902,96.6617941359966
1993,0.922,715.935550199371,"GA",2006,"Georgia",787.51213128551,0,103.961142103142,89.7497995397843,103.991929253191
1994,0.922,770.708168815638,"GA",2006,"Georgia",832.212557620615,0,109.862139928673,96.6161041110688,110.858233824475
1995,0.922,833.496166690623,"GA",2006,"Georgia",993.878300915754,0,131.203976637246,104.487217958139,118.729347671546
1996,0.922,837.375859824841,"GA",2006,"Georgia",1042.2225272831,0,137.586000211966,104.973576934132,119.215706647539
1997,0.922,859.11422966147,"GA",2006,"Georgia",1007.5046003032,0,133.002813240113,107.69870258911,121.940832302517
1998,0.922,865.882509425126,"GA",2006,"Georgia",990.47488255568,0,130.754684181027,108.547175264965,122.789304978372
1999,0.922,793.811669271606,"GA",2006,"Georgia",1018.83146405152,0,134.498096480766,99.5123627673305,113.754492480737
2000,0.922,788.756150064148,"GA",2006,"Georgia",838.098036328448,0,110.639094421159,98.8786020394095,113.120731752816
2001,0.922,746.291870343315,"GA",2006,"Georgia",776.810218389636,0,102.548359946342,93.5552728773295,107.797402590736
2002,0.922,541.599635272608,"GA",2006,"Georgia",618.566701164308,0,81.6582985395309,67.8950202752197,82.1371499886262
2003,0.922,518.053968738334,"GA",2006,"Georgia",508.572689728897,0,67.1377564436712,64.9433316059068,79.1854613193133
2004,0.922,580.477578345187,"GA",2006,"Georgia",497.73368052457,0,65.7068759132229,72.768765679134,87.0108953925405
2005,0.922,776.649884086634,"GA",2006,"Georgia",681.024067631327,0,89.9034275892467,97.3609585247738,111.60308823818
2006,0.922,996.630637719798,"GA",2006,"Georgia",804.282024993936,1,106.174971241279,124.937782354362,139.179912067768
2007,0.922,1083.41492547707,"GA",2006,"Georgia",874.482683197433,1,115.442308610818,135.817075088531,150.059204801938
2008,0.922,977.382975711648,"GA",2006,"Georgia",768.041621695808,1,101.390798950496,122.524892246642,136.767021960048
2009,0.922,780.671659870991,"GA",2006,"Georgia",560.972032241587,1,74.0551044776382,97.8651290053981,112.107258718805
2010,0.922,674.18480144643,"GA",2006,"Georgia",538.844744047763,1,71.1340343621592,84.5159187384065,98.7580484518129
2011,0.922,761.194821333131,"GA",2006,"Georgia",506.684432489179,1,66.8884836116386,95.4235092898316,109.665639003238
2012,0.922,789.837765537744,"GA",2006,"Georgia",432.957558916755,1,57.1556430930151,99.0141935349113,113.256323248318
2013,0.922,862.286720939412,"GA",2006,"Georgia",571.783420170297,1,75.4823386650711,108.096406622885,122.338536336292
2014,0.922,818.039298355975,"GA",2006,"Georgia",659.759701737241,1,87.0962736717068,102.549542375245,116.791672088651
2015,0.922,868.088445581256,"GA",2006,"Georgia",690.893606379148,1,91.2063262742229,108.823711788057,123.065841501464
2016,0.922,778.86941099774,"GA",2006,"Georgia",660.848186017083,1,87.2399667837215,97.6391987871682,111.881328500575
2017,0.922,762.633016698892,"GA",2006,"Georgia",634.37598438933,1,83.7453154559845,95.6038016998679,109.845931413274
2018,0.922,806.435758409562,"GA",2006,"Georgia",633.668345251043,1,83.651898516625,101.094920679406,115.337050392812
2019,0.922,958.024843262373,"GA",2006,"Georgia",813.691730568625,1,107.417166376486,120.098153546066,134.340283259472
2020,0.922,796.07678375202,"GA",2006,"Georgia",616.150029052875,1,81.3392685426427,99.7963178949886,114.038447608395
2021,0.922,1185.00938927388,"GA",2006,"Georgia",1041.34447581901,1,137.470086781042,148.552973952021,162.795103665428
2022,0.922,1507.48027270728,"GA",2006,"Georgia",1366.61112306453,1,180.409224849309,188.97797748412,203.220107197526
