"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.947,795.082250436547,"IN",2007,"Indiana",929.290035014382,0,100,100,130.828574490008
1977,0.947,886.078461179308,"IN",2007,"Indiana",873.881400936378,0,94.0375305889139,111.444880160864,142.273454650871
1978,0.947,925.563574958292,"IN",2007,"Indiana",1795.07189350599,0,193.165946676509,116.411047341342,147.239621831349
1979,0.947,944.624199118326,"IN",2007,"Indiana",1058.92748577251,0,113.950160431465,118.808362103376,149.636936593384
1980,0.947,884.421009632043,"IN",2007,"Indiana",1320.1958105031,0,142.064991634465,111.236417257013,142.06499174702
1981,0.947,829.161369960056,"IN",2007,"Indiana",1036.27624287593,0,111.512682136949,104.286238248282,135.114812738289
1982,0.947,782.310391171094,"IN",2007,"Indiana",794.996261376018,0,85.5487771763004,98.393643015117,129.222217505125
1983,0.947,703.851422002192,"IN",2007,"Indiana",859.449149905207,0,92.4844900431872,88.525611232767,119.354185722775
1984,0.947,746.320638203899,"IN",2007,"Indiana",763.736533499286,0,82.1849481564134,93.8670983780767,124.695672868084
1985,0.947,826.916636791006,"IN",2007,"Indiana",1012.04533421875,0,108.905217540946,104.003911084291,134.832485574299
1986,0.947,826.104806858798,"IN",2007,"Indiana",1023.60956712881,0,110.149633436343,103.901804675581,134.730379165589
1987,0.947,842.747585738336,"IN",2007,"Indiana",1115.04531315721,0,119.988945446935,105.99501941788,136.823593907888
1988,0.947,874.627982686457,"IN",2007,"Indiana",1182.1571650802,0,127.210786787561,110.004717399519,140.833291889526
1989,0.947,932.176874626075,"IN",2007,"Indiana",1211.02428677908,0,130.317149775564,117.242822879552,148.07139736956
1990,0.947,817.005703287694,"IN",2007,"Indiana",1381.27517882268,0,148.637683261212,102.7573817475,133.585956237508
1991,0.947,734.696816785254,"IN",2007,"Indiana",1196.49085071414,0,128.753220806422,92.4051337307383,123.233708220746
1992,0.947,693.027231381357,"IN",2007,"Indiana",2494.32315469759,0,268.411697179018,87.1642186705645,117.992793160572
1993,0.947,785.454885250123,"IN",2007,"Indiana",2342.52074515207,0,252.076387014719,98.7891359439684,129.617710433976
1994,0.947,851.484028544969,"IN",2007,"Indiana",2758.44819510443,0,296.83393678721,107.093829358844,137.922403848851
1995,0.947,940.843389457383,"IN",2007,"Indiana",2913.29253983273,0,313.496586648284,118.332837758711,149.161412248718
1996,0.947,939.341188883276,"IN",2007,"Indiana",2873.40851087147,0,309.204704947363,118.143901258961,148.972475748968
1997,0.947,976.9691606552,"IN",2007,"Indiana",2821.8138223563,0,303.652650521818,122.87648983722,153.705064327227
1998,0.947,1000.46997417657,"IN",2007,"Indiana",2835.11795875772,0,305.084295745606,125.832261206593,156.660835696601
1999,0.947,919.901450134588,"IN",2007,"Indiana",2939.80907305455,0,316.35000508846,115.698904060493,146.527478550501
2000,0.947,920.826053471684,"IN",2007,"Indiana",2592.40163306451,0,278.965827178421,115.815194335692,146.6437688257
2001,0.947,900.072370976767,"IN",2007,"Indiana",2235.95815654221,0,240.609290134872,113.204938291928,144.033512781936
2002,0.947,690.72913800482,"IN",2007,"Indiana",1884.04888444807,0,202.740674435287,86.8751802251364,117.703754715144
2003,0.947,681.017285075068,"IN",2007,"Indiana",1880.92878470692,0,202.404923526142,85.6536898793993,116.482264369407
2004,0.947,713.502426471493,"IN",2007,"Indiana",644.269800205751,0,69.3292487738535,89.7394484758953,120.568022965903
2005,0.947,911.526524095563,"IN",2007,"Indiana",791.342724615784,0,85.1556236265395,114.645563222557,145.474137712565
2006,0.947,1140.43062409058,"IN",2007,"Indiana",961.947615611153,0,103.514250596292,143.435553172571,174.264127662578
2007,0.947,1259.84558556584,"IN",2007,"Indiana",877.943163108125,1,94.4746128795557,158.454749162632,189.28332365264
2008,0.947,1154.67244528489,"IN",2007,"Indiana",773.518692070102,1,83.2375967593509,145.226791901204,176.055366391212
2009,0.947,936.925568963738,"IN",2007,"Indiana",712.262757209589,1,76.6459049782629,117.840081129884,148.668655619892
2010,0.947,823.146532038908,"IN",2007,"Indiana",496.544168266325,1,53.4326366965336,103.529733129743,134.35830761975
2011,0.947,913.694958357748,"IN",2007,"Indiana",546.942122565713,1,58.8559117129937,114.918294032608,145.746868522616
2012,0.947,935.200739533299,"IN",2007,"Indiana",622.59869724904,1,66.9972423883147,117.623143897354,148.451718387362
2013,0.947,1004.65790463804,"IN",2007,"Indiana",638.273901918163,1,68.6840359703507,126.358990417208,157.187564907216
2014,0.947,955.771449154657,"IN",2007,"Indiana",740.090586836861,1,79.6404307537213,120.21038686625,151.038961356257
2015,0.947,1036.76303216578,"IN",2007,"Indiana",823.737875438113,1,88.6416344091503,130.396953471988,161.225527961996
2016,0.947,925.374514866447,"IN",2007,"Indiana",998.86504834544,1,107.486899752453,116.387268657848,147.215843147856
2017,0.947,884.095993548129,"IN",2007,"Indiana",1004.77076711537,1,108.122408425462,111.195538959989,142.024113449997
2018,0.947,1003.92676279325,"IN",2007,"Indiana",692.340731511464,1,74.5021151013148,126.267032403507,157.095606893515
2019,0.947,1166.02674255719,"IN",2007,"Indiana",760.353082534977,1,81.8208582773848,146.654857647366,177.483432137373
2020,0.947,1023.86280276041,"IN",2007,"Indiana",783.179837433829,1,84.2772232483595,128.774450970104,159.603025460112
2021,0.947,1435.5073846163,"IN",2007,"Indiana",1428.99117078595,1,153.77235491004,180.548287152445,211.376861642453
2022,0.947,1761.56535696364,"IN",2007,"Indiana",1571.35575365033,1,169.092069692323,221.5576257672,252.386200257208
