"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.94,792.725253368357,"IA",1978,"Iowa",471.17370006151,0,100,100,101.479453224583
1977,0.94,833.734247255294,"IA",1978,"Iowa",520.461522763983,0,110.460648099849,105.173166076479,106.652619301062
1978,0.94,858.104942573713,"IA",1978,"Iowa",572.700981914784,1,121.547739578847,108.247458867691,109.726912092274
1979,0.94,1417.81288369799,"IA",1978,"Iowa",614.476430353329,1,130.413991755718,178.852998270659,180.332451495242
1980,0.94,1949.051875076,"IA",1978,"Iowa",577.073285665213,1,122.475699638982,245.867261928936,247.346715153519
1981,0.94,2373.24798997883,"IA",1978,"Iowa",513.99800815444,1,109.088857906827,299.378376038192,300.857829262774
1982,0.94,1824.17886562886,"IA",1978,"Iowa",527.842108678042,1,112.027073796592,230.114892628659,231.594345853242
1983,0.94,958.685521678048,"IA",1978,"Iowa",484.365350480749,1,102.799742519058,120.93540827727,122.414861501853
1984,0.94,1029.15860885031,"IA",1978,"Iowa",444.741987026824,1,94.3902401532099,129.825384580261,131.304837804843
1985,0.94,955.857657775361,"IA",1978,"Iowa",507.143469759091,1,107.634078407366,120.578681417533,122.058134642116
1986,0.94,911.230848146571,"IA",1978,"Iowa",452.902091030667,1,96.1221076158415,114.949138339503,116.428591564086
1987,0.94,918.974520563804,"IA",1978,"Iowa",475.935590456455,1,101.01064435352,115.925980238299,117.405433462882
1988,0.94,953.278414903162,"IA",1978,"Iowa",482.564442863027,1,102.417525171721,120.253317382359,121.732770606942
1989,0.94,1290.20012374145,"IA",1978,"Iowa",589.966495107509,1,125.212102252416,162.75501736059,164.234470585173
1990,0.94,889.277064358258,"IA",1978,"Iowa",549.268695281267,1,116.574565857467,112.179731953744,113.659185178327
1991,0.94,879.335419287258,"IA",1978,"Iowa",531.161305332324,1,112.731526666913,110.925622156086,112.405075380669
1992,0.94,757.47256530601,"IA",1978,"Iowa",489.62028646162,1,103.915028873153,95.5529752694827,97.0324284940656
1993,0.94,1361.87027110077,"IA",1978,"Iowa",409.862590000408,1,86.9875780305441,171.795999347072,173.275452571655
1994,0.94,830.921887297139,"IA",1978,"Iowa",415.636884759144,1,88.2130909906228,104.818394994543,106.297848219126
1995,0.94,1164.24889591454,"IA",1978,"Iowa",509.704345748837,1,108.17758836758,146.866633927398,148.346087151981
1996,0.94,1016.14570963902,"IA",1978,"Iowa",454.055629372235,1,96.3669299268953,128.183844947708,129.663298172291
1997,0.94,1032.94586958176,"IA",1978,"Iowa",482.484733096542,1,102.400607893343,130.303136577608,131.782589802191
1998,0.94,999.268074482673,"IA",1978,"Iowa",422.091207498192,1,89.5829303382361,126.054780043489,127.534233268072
1999,0.94,896.490550750509,"IA",1978,"Iowa",490.624082782262,1,104.128070543456,113.089692417549,114.569145642132
2000,0.94,1046.15209969129,"IA",1978,"Iowa",425.478268472758,1,90.3017864573539,131.969064344311,133.448517568894
2001,0.94,997.794438100345,"IA",1978,"Iowa",267.602083983918,1,56.7947837387748,125.868885072178,127.34833829676
2002,0.94,758.198852145017,"IA",1978,"Iowa",139.412825842241,1,29.5884141716826,95.6445942554959,97.1240474800788
2003,0.94,713.862560936087,"IA",1978,"Iowa",215.567160140169,1,45.7511020059115,90.0516992366301,91.5311524612131
2004,0.94,825.214430008187,"IA",1978,"Iowa",134.162774545969,1,28.4741645232861,104.098415750196,105.577868974779
2005,0.94,1142.59905254781,"IA",1978,"Iowa",268.39748176019,1,56.9635957450833,144.135568747533,145.615021972116
2006,0.94,1448.22965061833,"IA",1978,"Iowa",394.943610593886,1,83.8212341950172,182.689985523317,184.1694387479
2007,0.94,1494.88074287072,"IA",1978,"Iowa",435.622746377942,1,92.454809409157,188.57488600481,190.054339229392
2008,0.94,1607.78128260601,"IA",1978,"Iowa",445.524311509487,1,94.55627753657,202.816962847394,204.296416071977
2009,0.94,1105.65610939477,"IA",1978,"Iowa",338.584219208821,1,71.8597449655233,139.475323221601,140.954776446184
2010,0.94,999.723221963844,"IA",1978,"Iowa",240.684174868768,1,51.08183560274,126.112195583014,127.591648807597
2011,0.94,1121.22712456442,"IA",1978,"Iowa",302.332453605446,1,64.1658168879073,141.439561790196,142.919015014779
2012,0.94,1102.53004143871,"IA",1978,"Iowa",502.266161083765,1,106.598938144934,139.080978782241,140.560432006824
2013,0.94,1150.91637598304,"IA",1978,"Iowa",495.49280975976,1,105.161389461058,145.184775064588,146.664228289171
2014,0.94,1018.44121506965,"IA",1978,"Iowa",439.863272332594,1,93.3548014830139,128.473416324534,129.952869549117
2015,0.94,980.304804445749,"IA",1978,"Iowa",521.597241009249,1,110.701688345754,123.662618325877,125.14207155046
2016,0.94,837.464497887759,"IA",1978,"Iowa",417.629479858022,1,88.6359913135012,105.643726414581,107.123179639164
2017,0.94,831.847752273564,"IA",1978,"Iowa",467.194871200443,1,99.1555494586078,104.935190185877,106.41464341046
2018,0.94,957.264178679967,"IA",1978,"Iowa",466.928282702009,1,99.0989697941658,120.756109965271,122.235563189854
2019,0.94,1162.8452870814,"IA",1978,"Iowa",552.541895729659,1,117.269256679124,146.689572729059,148.169025953642
2020,0.94,944.863986809739,"IA",1978,"Iowa",626.115235426878,1,132.884164660536,119.191861593274,120.671314817856
2021,0.94,1294.44424401919,"IA",1978,"Iowa",934.557343041562,1,198.346669799176,163.290400869531,164.769854094114
2022,0.94,1715.10312871464,"IA",1978,"Iowa",937.326567900028,1,198.934398880426,216.355303609544,217.834756834127
