"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.918,785.262083769853,"ME",2007,"Maine",752.962127682431,0,100,100,72.2726329366479
1977,0.918,851.418729999388,"ME",2007,"Maine",751.915374754508,0,99.8609819950514,108.424785507525,80.6974184441734
1978,0.918,884.375726739743,"ME",2007,"Maine",675.027000253615,0,89.6495288987913,112.621727830544,84.894360767192
1979,0.918,908.011628624366,"ME",2007,"Maine",722.891756421925,0,96.0063899424715,115.63166583381,87.9042987704574
1980,0.918,846.385152465967,"ME",2007,"Maine",700.666409089971,0,93.0546681340504,107.783779448853,80.056412385501
1981,0.918,790.410272681982,"ME",2007,"Maine",549.121983599733,0,72.9282341583228,100.655601361448,72.9282342980958
1982,0.918,747.011569995432,"ME",2007,"Maine",474.773627762607,0,63.0541179041673,95.1289493578005,67.4015822944484
1983,0.918,656.226000674566,"ME",2007,"Maine",324.526132834417,0,43.0999277258854,83.5677685498559,55.8404014865038
1984,0.918,708.214965339885,"ME",2007,"Maine",485.008172462947,0,64.413355550268,90.188356216044,62.4609891526919
1985,0.918,766.829075419148,"ME",2007,"Maine",479.109173507975,0,63.6299165513998,97.6526297739714,69.9252627106193
1986,0.918,766.778668219779,"ME",2007,"Maine",452.920111496405,0,60.1517785350591,97.6462106178182,69.9188435544661
1987,0.918,839.237177303255,"ME",2007,"Maine",568.666398957486,0,75.5239045963447,106.873513270153,79.1461462068011
1988,0.918,850.312731685204,"ME",2007,"Maine",666.037905747569,0,88.4556980040405,108.283941025531,80.556573962179
1989,0.918,900.300873572762,"ME",2007,"Maine",713.10912535529,0,94.7071704057937,114.649731876858,86.9223648135056
1990,0.918,765.02029336906,"ME",2007,"Maine",401.208438398051,0,53.2840130529466,97.4222885812063,69.6949215178542
1991,0.918,710.468354846306,"ME",2007,"Maine",506.135123702066,0,67.2192006867487,90.4753163982552,62.7479493349031
1992,0.918,652.595644347532,"ME",2007,"Maine",451.615235549782,0,59.9784795205869,83.105457125165,55.3780900618129
1993,0.918,708.334816527398,"ME",2007,"Maine",468.968176620097,0,62.2831028784344,90.2036187876096,62.4762517242575
1994,0.918,791.267330003246,"ME",2007,"Maine",561.390238514026,0,74.5575664266076,100.764744199104,73.0373771357519
1995,0.918,860.300455364821,"ME",2007,"Maine",375.815961484756,0,49.9116685511784,109.555837871953,81.828470808601
1996,0.918,869.848549184739,"ME",2007,"Maine",408.543860704263,0,54.2582217198274,110.771749606043,83.0443825426912
1997,0.918,900.81839160173,"ME",2007,"Maine",544.319739310242,0,72.2904538353905,114.715635737449,86.9882686740973
1998,0.918,922.560265373935,"ME",2007,"Maine",589.91904694565,0,78.3464433677937,117.484376801303,89.7570097379506
1999,0.918,834.576153856265,"ME",2007,"Maine",791.167138179386,0,105.073961769438,106.279950491136,78.5525834277842
2000,0.918,842.717665274411,"ME",2007,"Maine",764.054667738241,0,101.473186983514,107.316739556395,79.5893724930426
2001,0.918,811.091197154741,"ME",2007,"Maine",473.524715651879,0,62.8882513798347,103.28923475598,75.5618676926276
2002,0.918,632.041089330092,"ME",2007,"Maine",371.600187113681,0,49.3517765969774,80.4879163776526,52.7605493143005
2003,0.918,627.107439025173,"ME",2007,"Maine",424.770818452579,0,56.4133045788101,79.8596356536893,52.1322685903372
2004,0.918,663.843174894763,"ME",2007,"Maine",503.675475307637,0,66.8925377240311,84.5377853605019,56.8104182971498
2005,0.918,859.469261541642,"ME",2007,"Maine",590.707983509269,0,78.4512210896224,109.449988647808,81.7226215844556
2006,0.918,1063.49666980543,"ME",2007,"Maine",789.023302578592,0,104.789241526284,135.432066794801,107.704699731449
2007,0.918,1149.71745863541,"ME",2007,"Maine",748.248065447147,1,99.373931030264,146.411940981015,118.684573917663
2008,0.918,1054.57020279167,"ME",2007,"Maine",721.294002026821,1,95.7941940913971,134.295316759589,106.567949696237
2009,0.918,838.56702132362,"ME",2007,"Maine",561.727571129151,1,74.6023671679361,106.788171574242,79.0608045108902
2010,0.918,767.374237426638,"ME",2007,"Maine",678.0452364044,1,90.0503772336306,97.7220539851689,69.9946869218168
2011,0.918,842.563761471422,"ME",2007,"Maine",783.197154633572,1,104.015477782953,107.297140519822,79.5697734564699
2012,0.918,866.229967990968,"ME",2007,"Maine",852.448227201902,1,113.212629940059,110.310937697693,82.5835706343408
2013,0.918,929.65882603524,"ME",2007,"Maine",622.289942388176,1,82.6455832916251,118.388350239983,90.6609831766306
2014,0.918,889.565760976284,"ME",2007,"Maine",650.003308087063,1,86.3261622583504,113.282658027457,85.5552909641047
2015,0.918,940.353116009413,"ME",2007,"Maine",600.636005609425,1,79.769749835645,119.75022549096,92.0228584276084
2016,0.918,869.738633145492,"ME",2007,"Maine",481.486802557375,1,63.9456866229594,110.757752236054,83.0303851727024
2017,0.918,849.290898108827,"ME",2007,"Maine",599.346056896347,1,79.5984332892141,108.153814587811,80.4264475244588
2018,0.918,930.680531261647,"ME",2007,"Maine",618.07828722093,1,82.08623840396,118.518460332845,90.7910932694931
2019,0.918,1098.1839945203,"ME",2007,"Maine",823.02336771156,1,109.304749529007,139.84935949641,112.121992433057
2020,0.918,921.065859118631,"ME",2007,"Maine",685.336594882646,1,91.0187338361981,117.294070114377,89.5667030510252
2021,0.918,1327.9406376889,"ME",2007,"Maine",852.183218735638,1,113.177434482476,169.107953272592,141.38058620924
2022,0.918,1678.60746515158,"ME",2007,"Maine",1145.21746769116,1,152.094962759424,213.763977638267,186.036610574915
