"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.94,797.072610874688,"MI",1991,"Michigan",2740.0737998894,0,100,100,199.999997792649
1977,0.94,855.899700139879,"MI",1991,"Michigan",6043.98224220641,0,220.577352422054,107.380392760032,207.380390552681
1978,0.94,880.497055988954,"MI",1991,"Michigan",6433.83720676827,0,234.805252582174,110.466354504732,210.466352297381
1979,0.94,919.976708681872,"MI",1991,"Michigan",6272.02049923764,0,228.899692391161,115.419435585964,215.419433378613
1980,0.94,877.088467390607,"MI",1991,"Michigan",5081.51428088123,0,185.451730573328,110.038716099919,210.038713892568
1981,0.94,802.742429429302,"MI",1991,"Michigan",4798.13401487062,0,175.109663654471,100.711330244856,200.711328037505
1982,0.94,751.271810062848,"MI",1991,"Michigan",4606.84267088757,0,168.12841577747,94.253873463099,194.253871255748
1983,0.94,673.721234030619,"MI",1991,"Michigan",4742.22408917359,0,173.069210375465,84.524449195575,184.524446988224
1984,0.94,736.88955250934,"MI",1991,"Michigan",5837.88320976278,0,213.055692514502,92.4494885981209,192.44948639077
1985,0.94,833.139163782212,"MI",1991,"Michigan",6064.67942400121,0,221.332703675573,104.524876707022,204.524874499672
1986,0.94,831.933519312849,"MI",1991,"Michigan",6166.01019629884,0,225.030807438388,104.373617655725,204.373615448374
1987,0.94,887.365280491526,"MI",1991,"Michigan",6215.09870753284,0,226.822310690453,111.328035662617,211.328033455266
1988,0.94,913.498607567395,"MI",1991,"Michigan",7242.91392709512,0,264.332804736408,114.606698951171,214.606696743821
1989,0.94,962.807467189078,"MI",1991,"Michigan",6905.94489500149,0,252.034996111427,120.79294333455,220.792941127199
1990,0.94,845.343217762557,"MI",1991,"Michigan",6349.00591260973,0,231.709303335771,106.055986145967,206.055983938616
1991,0.94,768.38116055078,"MI",1991,"Michigan",5297.88735334498,1,193.348345345984,96.4003969108381,196.400394703487
1992,0.94,689.996295305729,"MI",1991,"Michigan",5539.14259905584,1,202.153044172731,86.5663034825075,186.566301275157
1993,0.94,776.235891323416,"MI",1991,"Michigan",5696.79144509483,1,207.906496727379,97.3858442421693,197.385842034819
1994,0.94,841.261528805514,"MI",1991,"Michigan",6656.46312539199,1,242.930067272665,105.543901186409,205.543898979059
1995,0.94,916.697609731063,"MI",1991,"Michigan",6291.81586751722,1,229.622131629126,115.008042833777,215.008040626426
1996,0.94,926.039149408165,"MI",1991,"Michigan",6230.45262133877,1,227.38265741566,116.180023849013,216.180021641662
1997,0.94,950.402690351586,"MI",1991,"Michigan",6169.90199801069,1,225.172840171667,119.236651389719,219.236649182369
1998,0.94,973.346051166086,"MI",1991,"Michigan",6396.02633803956,1,233.425331036621,122.115104431698,222.115102224347
1999,0.94,900.189813341648,"MI",1991,"Michigan",6676.16653037717,1,243.649150276414,112.936989812484,212.936987605133
2000,0.94,912.422287467261,"MI",1991,"Michigan",6619.87416111286,1,241.594739578914,114.471664816834,214.471662609483
2001,0.94,886.24014574506,"MI",1991,"Michigan",5940.03759923792,1,216.783854488798,111.186877287443,211.186875080093
2002,0.94,681.32351143772,"MI",1991,"Michigan",6032.59587341938,1,220.161802709944,85.4782239587999,185.478221751449
2003,0.94,676.490154642603,"MI",1991,"Michigan",5250.33888550988,1,191.613046543557,84.8718354404674,184.871833233117
2004,0.94,718.804240852449,"MI",1991,"Michigan",5101.23003983532,1,186.17126443971,90.180521955666,190.180519748315
2005,0.94,933.641160774106,"MI",1991,"Michigan",5113.55491319747,1,186.621065221085,117.133765234958,217.133763027607
2006,0.94,1149.31619846491,"MI",1991,"Michigan",4906.50319502837,1,179.064636697976,144.192158002228,244.192155794877
2007,0.94,1210.823981923,"MI",1991,"Michigan",4533.53112425879,1,165.452883949395,151.908868201389,251.908865994038
2008,0.94,1137.46760942089,"MI",1991,"Michigan",1677.51583510808,1,61.2215567031731,142.705644868748,242.705642661398
2009,0.94,920.044021251503,"MI",1991,"Michigan",668.801680048207,1,24.4081630237551,115.427880559322,215.427878351971
2010,0.94,829.93571000974,"MI",1991,"Michigan",592.68014109939,1,21.6300794936002,104.122974329652,204.122972122301
2011,0.94,901.001226676834,"MI",1991,"Michigan",662.32676852747,1,24.1718587489944,113.038788986627,213.038786779276
2012,0.94,911.580757879051,"MI",1991,"Michigan",589.663328959979,1,21.5199798262288,114.36608728516,214.366085077809
2013,0.94,975.343350874951,"MI",1991,"Michigan",649.909955626803,1,23.7187026003838,122.365683824543,222.365681617192
2014,0.94,951.837628828538,"MI",1991,"Michigan",624.493067094455,1,22.7911039155099,119.416677457279,219.416675249928
2015,0.94,1011.38125103982,"MI",1991,"Michigan",839.170967848419,1,30.6258527738301,126.886965784704,226.886963577354
2016,0.94,928.466656143483,"MI",1991,"Michigan",734.12484909267,1,26.7921560770481,116.484576621521,216.48457441417
2017,0.94,926.804372393237,"MI",1991,"Michigan",814.692490356587,1,29.7325017446417,116.27602802412,216.276025816769
2018,0.94,1028.31097255657,"MI",1991,"Michigan",645.321278522289,1,23.551237143625,129.010953146179,229.010950938829
2019,0.94,1198.47825823412,"MI",1991,"Michigan",746.058897300319,1,27.2276935508245,150.359985010517,250.359982803167
2020,0.94,1014.55602428892,"MI",1991,"Michigan",519.775307345998,1,18.9693908013346,127.285269929871,227.28526772252
2021,0.94,1435.1714059738,"MI",1991,"Michigan",916.962184446009,1,33.4648718031982,180.055290621375,280.055288414024
2022,0.94,1724.20080816983,"MI",1991,"Michigan",1018.4626921597,1,37.1691701223817,216.316654799835,316.316652592485
