"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.95,841.847702388416,"MO",2020,"Missouri",607.828662990193,0,100,100,89.5543301216312
1977,0.95,902.603654370069,"MO",2020,"Missouri",717.808122908285,0,118.093825878012,107.216976634762,96.7713067563933
1978,0.95,920.674813133813,"MO",2020,"Missouri",702.358394037356,0,115.552035763191,109.363583284929,98.9179134065599
1979,0.95,945.006354322892,"MO",2020,"Missouri",728.757957220893,0,119.895293130106,112.25383779534,101.808167916972
1980,0.95,899.735531570367,"MO",2020,"Missouri",666.237643479499,0,109.609448195807,106.87628284994,96.4306129715715
1981,0.95,857.648048793617,"MO",2020,"Missouri",572.272835191283,0,94.1503535512797,101.87686518124,91.4311953028717
1982,0.95,768.587223527204,"MO",2020,"Missouri",517.444037055391,0,85.1299171233292,91.2976564937621,80.8519866153933
1983,0.95,670.947787780391,"MO",2020,"Missouri",481.827823721427,0,79.2703360435638,79.6994261404809,69.2537562621121
1984,0.95,701.292685392663,"MO",2020,"Missouri",640.905176443725,0,105.441749536919,83.3039851986312,72.8583153202624
1985,0.95,802.697095098618,"MO",2020,"Missouri",596.860201601744,0,98.1954682205196,95.3494429956009,84.9037731172321
1986,0.95,798.148899441774,"MO",2020,"Missouri",632.843088847919,0,104.115374509433,94.8091795199222,84.3635096415534
1987,0.95,799.170328555088,"MO",2020,"Missouri",819.4127404061,0,134.80982229022,94.9305113368787,84.48484145851
1988,0.95,845.278722462004,"MO",2020,"Missouri",745.972804461357,0,122.727480601452,100.407558286832,89.9618884084631
1989,0.95,904.334423778761,"MO",2020,"Missouri",769.845147895436,0,126.654959657251,107.422568382982,96.9768985046136
1990,0.95,809.184614820784,"MO",2020,"Missouri",508.531633745212,0,83.6636481148334,96.1200716620164,85.6744017836476
1991,0.95,746.267915539304,"MO",2020,"Missouri",492.226119240642,0,80.9810641076306,88.646427782847,78.2007579044783
1992,0.95,684.430066303053,"MO",2020,"Missouri",485.032673751232,0,79.7975981200244,81.3009365424706,70.8552666641018
1993,0.95,741.113358176682,"MO",2020,"Missouri",391.738025769099,0,64.448758280328,88.0341368247559,77.5884669463872
1994,0.95,805.181561236576,"MO",2020,"Missouri",515.957887656302,0,84.8854157548386,95.6445636131317,85.1988937347629
1995,0.95,864.949037954595,"MO",2020,"Missouri",728.403994208224,0,119.837059118743,102.74412289784,92.2984530194712
1996,0.95,868.45076482795,"MO",2020,"Missouri",808.418090928834,0,133.000982045145,103.160080186007,92.7144103076385
1997,0.95,894.679215682513,"MO",2020,"Missouri",757.824898390894,0,124.677387647828,106.275661636209,95.8299917578403
1998,0.95,900.046111679407,"MO",2020,"Missouri",646.092513181369,0,106.295170419068,106.913175521638,96.4675056432696
1999,0.95,818.445895379146,"MO",2020,"Missouri",485.64720637775,0,79.8987010564169,97.2201852018036,86.7745153234349
2000,0.95,817.644438399948,"MO",2020,"Missouri",439.89066624842,0,72.3708329390708,97.1249830676261,86.6793131892573
2001,0.95,768.622125376109,"MO",2020,"Missouri",378.378479155576,0,62.2508450480363,91.3018023563457,80.8561324779769
2002,0.95,551.194533414433,"MO",2020,"Missouri",470.892272374486,0,77.4712186256481,65.4743764045008,55.0287065261321
2003,0.95,517.58001611166,"MO",2020,"Missouri",313.333605297604,0,51.5496593655471,61.4814312188805,51.0357613405118
2004,0.95,585.439955693656,"MO",2020,"Missouri",330.634280798709,0,54.39596730634,69.5422644776125,59.0965945992437
2005,0.95,785.837671070444,"MO",2020,"Missouri",308.765761734102,0,50.7981575293174,93.3467738690662,82.9011039906974
2006,0.95,1014.48193124598,"MO",2020,"Missouri",466.854127162779,0,76.8068627869745,120.506586686379,110.06091680801
2007,0.95,1105.74168171449,"MO",2020,"Missouri",512.02259708979,0,84.2379815671923,131.346997631208,120.901327752839
2008,0.95,996.323032768968,"MO",2020,"Missouri",481.729834286768,0,79.254214817201,118.349557757572,107.903887879203
2009,0.95,792.8204294467,"MO",2020,"Missouri",348.632955414888,0,57.3571100941176,94.176230118272,83.7305602399032
2010,0.95,686.092332021073,"MO",2020,"Missouri",253.232779059042,0,41.6618686281216,81.4983909886019,71.0527211102332
2011,0.95,767.411073786991,"MO",2020,"Missouri",382.908020802225,0,62.996045451118,91.1579459811745,80.7122761028057
2012,0.95,801.448452346466,"MO",2020,"Missouri",348.880209128017,0,57.3977882865399,95.201121304087,84.7554514257183
2013,0.95,877.664794838156,"MO",2020,"Missouri",428.77639852124,0,70.5423130939381,104.254581006532,93.8089111281629
2014,0.95,827.658944370544,"MO",2020,"Missouri",399.01891666137,0,65.6466107896935,98.3145694907028,87.8688996123341
2015,0.95,880.04095102983,"MO",2020,"Missouri",473.092431497397,0,77.8331889072217,104.53683588291,94.0911660045415
2016,0.95,789.64425853932,"MO",2020,"Missouri",359.772001618803,0,59.189706495399,93.7989444289045,83.3532745505358
2017,0.95,775.077715653077,"MO",2020,"Missouri",328.372223172235,0,54.0238134800716,92.0686382411089,81.6229683627401
2018,0.95,820.481546346834,"MO",2020,"Missouri",347.114378303296,0,57.1072737168528,97.4619927118689,87.0163228335002
2019,0.95,974.957601653178,"MO",2020,"Missouri",376.095781546609,0,61.875295530885,115.811636580716,105.365966702347
2020,0.95,806.516393792298,"MO",2020,"Missouri",572.031038805343,1,94.1105731985812,95.8031234751987,85.35745359683
2021,0.95,1206.46127349131,"MO",2020,"Missouri",1027.00439070881,1,168.962810285467,143.311108418833,132.865438540464
2022,0.95,1548.35446588017,"MO",2020,"Missouri",1039.90719824037,1,171.08558078268,183.923346406638,173.47767652827
