"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.934,814.323097842827,"NC",2016,"North Carolina",818.261580850133,0,100,100,121.279530936678
1977,0.934,871.526278127633,"NC",2016,"North Carolina",988.20835777704,0,120.769247989175,107.02462946665,128.304160403328
1978,0.934,888.938749502509,"NC",2016,"North Carolina",1021.20032322721,0,124.801206255613,109.162904976826,130.442435913504
1979,0.934,913.973233635512,"NC",2016,"North Carolina",1004.36285925836,0,122.743494594342,112.237174170383,133.516705107061
1980,0.934,871.635886187728,"NC",2016,"North Carolina",1000.36492513691,0,122.254905833118,107.038089487665,128.317620424343
1981,0.934,828.857030824092,"NC",2016,"North Carolina",861.673762512872,0,105.305416101491,101.784787023697,123.064317960375
1982,0.934,747.703474009827,"NC",2016,"North Carolina",796.141361924801,0,97.2966812272489,91.8190182730321,113.09854920971
1983,0.934,653.324148038391,"NC",2016,"North Carolina",844.062926305555,0,103.153190380589,80.2291068212447,101.508637757923
1984,0.934,688.330136356483,"NC",2016,"North Carolina",957.796909460429,0,117.052655516996,84.5278904871906,105.807421423868
1985,0.934,787.84852747451,"NC",2016,"North Carolina",1214.33956690784,0,148.404812755134,96.7488862297473,118.028417166425
1986,0.934,785.019615335478,"NC",2016,"North Carolina",1231.86532303498,0,150.546640813214,96.4014919158041,117.681022852482
1987,0.934,786.396150491981,"NC",2016,"North Carolina",1112.44162823498,0,135.951834262976,96.5705323323352,117.850063269013
1988,0.934,829.060141296001,"NC",2016,"North Carolina",1179.61348346731,0,144.160927394605,101.809729269895,123.089260206572
1989,0.934,889.15275350492,"NC",2016,"North Carolina",1384.95551698586,0,169.255840601359,109.1891849636,130.468715900278
1990,0.934,792.029691818566,"NC",2016,"North Carolina",1005.48439661979,0,122.880558020962,97.2623389802749,118.541869916953
1991,0.934,727.898811195295,"NC",2016,"North Carolina",701.8930622033,0,85.7785674691054,89.3869783533743,110.666509290052
1992,0.934,669.416977914311,"NC",2016,"North Carolina",866.756529248815,0,105.926582590899,82.2053285345365,103.484859471214
1993,0.934,728.411150978953,"NC",2016,"North Carolina",913.41480231619,0,111.62870452346,89.4498943857226,110.7294253224
1994,0.934,785.801856266447,"NC",2016,"North Carolina",909.090409200255,0,111.100219107899,96.4975521814457,117.777083118123
1995,0.934,848.143170117345,"NC",2016,"North Carolina",1067.56358807097,0,130.467275142238,104.153151539494,125.432682476172
1996,0.934,852.022395153856,"NC",2016,"North Carolina",1057.03967908694,0,129.181144981624,104.629525726446,125.909056663124
1997,0.934,874.47067375837,"NC",2016,"North Carolina",1097.4603397749,0,134.120966382742,107.386205312716,128.665736249394
1998,0.934,881.646116886732,"NC",2016,"North Carolina",1121.14764701236,0,137.015799501126,108.267359629396,129.546890566074
1999,0.934,806.564578885889,"NC",2016,"North Carolina",1031.77188341776,0,126.093159884862,99.0472431670562,120.326774103734
2000,0.934,802.990542076125,"NC",2016,"North Carolina",1246.73049305222,0,152.363317822759,98.6083465154406,119.887877452118
2001,0.934,757.821937420619,"NC",2016,"North Carolina",721.277361929099,0,88.1475287132176,93.0615795411083,114.341110477786
2002,0.934,548.063186952169,"NC",2016,"North Carolina",646.442539391084,0,79.0019419852833,67.3029155631234,88.5824464998012
2003,0.934,523.51812741173,"NC",2016,"North Carolina",840.130540211255,0,102.672612263966,64.2887483848302,85.568279321508
2004,0.934,587.360741326386,"NC",2016,"North Carolina",750.865795238734,0,91.7635402677249,72.1287094621689,93.4082403988467
2005,0.934,785.48775275233,"NC",2016,"North Carolina",1084.28032070183,0,132.510232189481,96.4589798365191,117.738510773197
2006,0.934,1008.17053676599,"NC",2016,"North Carolina",1054.49254446698,0,128.869858874642,123.80473296615,145.084263902828
2007,0.934,1094.35864931929,"NC",2016,"North Carolina",1200.12795979045,0,146.668007869021,134.388752108135,155.668283044813
2008,0.934,988.760178828709,"NC",2016,"North Carolina",872.313310444191,0,106.605678533495,121.421114229471,142.700645166149
2009,0.934,789.196198559444,"NC",2016,"North Carolina",644.430486146713,0,78.7560483381343,96.9143820984638,118.193913035142
2010,0.934,684.440346934913,"NC",2016,"North Carolina",898.467790365894,0,109.802025586052,84.050218979177,105.329749915855
2011,0.934,768.879569262806,"NC",2016,"North Carolina",728.469801907088,0,89.026519019779,94.4194719884033,115.699002925081
2012,0.934,798.625153646015,"NC",2016,"North Carolina",789.751763169476,0,96.5158063939606,98.0722707929572,119.351801729635
2013,0.934,871.337699970278,"NC",2016,"North Carolina",812.443650021848,0,99.2889888802746,107.001471808731,128.281002745409
2014,0.934,827.627059174755,"NC",2016,"North Carolina",963.952570386969,0,117.804940736124,101.633744808071,122.913275744749
2015,0.934,878.426070796399,"NC",2016,"North Carolina",1118.30841981099,0,136.668816669741,107.871933526555,129.151464463233
2016,0.934,789.994139071907,"NC",2016,"North Carolina",1093.22791036514,1,133.603719880057,97.0123702943747,118.291901231053
2017,0.934,775.434559547469,"NC",2016,"North Carolina",1001.85652316526,1,122.437194487902,95.2244338397897,116.503964776468
2018,0.934,819.412513817265,"NC",2016,"North Carolina",948.530052571576,1,115.920150080381,100.624987303924,121.904518240602
2019,0.934,972.568781780826,"NC",2016,"North Carolina",1246.17081564737,1,152.294919474609,119.432788331462,140.71231926814
2020,0.934,807.215656396759,"NC",2016,"North Carolina",979.231839027674,1,119.672224866075,99.1271963837332,120.406727320411
2021,0.934,1202.15755590703,"NC",2016,"North Carolina",2117.29750877031,1,258.755581139535,147.626606575645,168.906137512323
2022,0.934,1527.75016871037,"NC",2016,"North Carolina",2084.34553536072,1,254.728510312703,187.60982867334,208.889359610018
