"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.923,798.281510326786,"PA",2007,"Pennsylvania",959.197252637086,0,100,100,85.5056324330467
1977,0.923,854.387638853569,"PA",2007,"Pennsylvania",972.658609369829,0,101.403398174435,107.028363779065,92.5339962121119
1978,0.923,873.649540014207,"PA",2007,"Pennsylvania",967.676587267227,0,100.884003223198,109.441284648641,94.9469170816874
1979,0.923,897.336841122397,"PA",2007,"Pennsylvania",942.061182843073,0,98.2134988661715,112.40857135161,97.9142037846569
1980,0.923,855.007381488882,"PA",2007,"Pennsylvania",839.154275288977,0,87.4850582590725,107.105998376296,92.611630809343
1981,0.923,815.123897485501,"PA",2007,"Pennsylvania",726.21689158201,0,75.7109019636418,102.109830547349,87.6154629803958
1982,0.923,736.720516581439,"PA",2007,"Pennsylvania",724.635206681835,0,75.5460052340248,92.2883102077429,77.7939426407895
1983,0.923,640.753096596742,"PA",2007,"Pennsylvania",670.529344093071,0,69.9052611180452,80.2665586397512,65.7721910727979
1984,0.923,674.393994736957,"PA",2007,"Pennsylvania",671.307202690116,0,69.9863558662742,84.4807234055673,69.986355838614
1985,0.923,771.448663013376,"PA",2007,"Pennsylvania",783.707841109546,0,81.7045544026452,96.6386735798971,82.1443060129438
1986,0.923,767.315175194544,"PA",2007,"Pennsylvania",785.141986160949,0,81.8540695359986,96.1208753138269,81.6265077468735
1987,0.923,767.811241438869,"PA",2007,"Pennsylvania",890.707675247059,0,92.8596983361106,96.1830170818508,81.6886495148974
1988,0.923,808.392569729929,"PA",2007,"Pennsylvania",878.515181226489,0,91.5885839759465,101.266603231109,86.7722356641554
1989,0.923,868.830892524505,"PA",2007,"Pennsylvania",934.884030870901,0,97.4652531896498,108.83765705269,94.3432894857371
1990,0.923,774.221284270961,"PA",2007,"Pennsylvania",828.409460543527,0,86.3648700270993,96.9859973274371,82.4916297604838
1991,0.923,711.610591899679,"PA",2007,"Pennsylvania",507.847682058097,0,52.9450726283765,89.1428127413815,74.6484451744281
1992,0.923,656.127891220978,"PA",2007,"Pennsylvania",788.579197494563,0,82.2124120275106,82.192545202805,67.6981776358516
1993,0.923,714.089627510405,"PA",2007,"Pennsylvania",690.749890185105,0,72.0133307602843,89.4533592815,74.9589917145467
1994,0.923,768.56779046803,"PA",2007,"Pennsylvania",679.835149915706,0,70.8754271393772,96.277789291826,81.7834217248727
1995,0.923,831.333060477067,"PA",2007,"Pennsylvania",925.89692148049,0,96.5283124961999,104.140337678215,89.6459701112613
1996,0.923,835.113291938809,"PA",2007,"Pennsylvania",838.203649426809,0,87.3859518594707,104.613883841171,90.1195162742176
1997,0.923,857.200088695767,"PA",2007,"Pennsylvania",860.044555094424,0,89.6629502148734,107.380676817237,92.8863092502839
1998,0.923,863.689447232808,"PA",2007,"Pennsylvania",840.895885564939,0,87.6666278237448,108.193592869168,93.6992253022147
1999,0.923,791.300538343247,"PA",2007,"Pennsylvania",770.322740346245,0,80.3091062060931,99.1254999779863,84.631132411033
2000,0.923,786.83015798367,"PA",2007,"Pennsylvania",802.966845572057,0,83.712379634584,98.565499489218,84.0711319222647
2001,0.923,744.346964838566,"PA",2007,"Pennsylvania",638.546651820086,0,66.5709425318466,93.2436684564896,78.7493008895362
2002,0.923,540.400143722158,"PA",2007,"Pennsylvania",540.778640964241,0,56.3782516554857,67.6954353484823,53.201067781529
2003,0.923,516.577216480582,"PA",2007,"Pennsylvania",522.853494347471,0,54.5094862302836,64.7111588829252,50.2167913159719
2004,0.923,579.033583272613,"PA",2007,"Pennsylvania",716.468242743505,0,74.6945678559592,72.5350112437877,58.0406436768344
2005,0.923,774.127979364563,"PA",2007,"Pennsylvania",701.218131914863,0,73.1046851924387,96.9743091065287,82.4799415395753
2006,0.923,993.870462929557,"PA",2007,"Pennsylvania",840.175496568841,0,87.5915245022833,124.50125050782,110.006882940866
2007,0.923,1081.40483253056,"PA",2007,"Pennsylvania",878.613379480279,1,91.5988215213023,135.466601511023,120.97223394407
2008,0.923,974.341120253474,"PA",2007,"Pennsylvania",807.82311425894,1,84.2186643089335,122.054827482427,107.560459915474
2009,0.923,778.531941231813,"PA",2007,"Pennsylvania",641.128995719935,1,66.8401618079391,97.5259894110678,83.0316218441144
2010,0.923,672.15672782636,"PA",2007,"Pennsylvania",595.500249341848,1,62.0831896364028,84.2004630110003,69.706095444047
2011,0.923,759.400346225908,"PA",2007,"Pennsylvania",690.557226789082,1,71.9932448607998,95.1293918751843,80.6350243082309
2012,0.923,788.828776509791,"PA",2007,"Pennsylvania",627.350825102037,1,65.4037345683888,98.8158646173421,84.3214970503888
2013,0.923,861.765025964774,"PA",2007,"Pennsylvania",742.462839202566,1,77.404604439946,107.952522364197,93.4581547972438
2014,0.923,816.531159524254,"PA",2007,"Pennsylvania",760.757461515091,1,79.3118891264094,102.286116985222,87.7917494182687
2015,0.923,866.810191695877,"PA",2007,"Pennsylvania",828.871531717425,1,86.4130427228225,108.584525694581,94.0901581276275
2016,0.923,777.436500219529,"PA",2007,"Pennsylvania",801.053072449923,1,83.5128614315374,97.3887645100632,82.8943969431098
2017,0.923,760.805203129492,"PA",2007,"Pennsylvania",748.251692743078,1,78.0081146694214,95.3053770239583,80.811009457005
2018,0.923,804.902407527929,"PA",2007,"Pennsylvania",773.791879638999,1,80.6707773100518,100.829393780952,86.335026213999
2019,0.923,955.674893117057,"PA",2007,"Pennsylvania",906.238974474746,1,94.4788959709024,119.716526157024,105.222158590071
2020,0.923,794.663975042903,"PA",2007,"Pennsylvania",747.038469536393,1,77.8816314874326,99.5468346395243,85.052467072571
2021,0.923,1182.15555475154,"PA",2007,"Pennsylvania",1148.33211220073,1,119.71803599767,148.08755300716,133.593185440207
2022,0.923,1507.81832251601,"PA",2007,"Pennsylvania",1320.25306278555,1,137.641455827342,188.883032239938,174.388664672985
