"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.917,796.505560414745,"SC",2007,"South Carolina",793.381258898875,0,100,100,101.401046031994
1977,0.917,853.419341069883,"SC",2007,"South Carolina",979.99107594299,0,123.520824944001,107.14543419201,108.546480224004
1978,0.917,872.436363010809,"SC",2007,"South Carolina",1032.14630013192,0,130.094615741797,109.532990900469,110.934036932463
1979,0.917,895.890431675043,"SC",2007,"South Carolina",1041.40023338532,0,131.261007454432,112.477611732999,113.878657764993
1980,0.917,853.174735715458,"SC",2007,"South Carolina",990.354384636779,0,124.827045449912,107.114724380732,108.515770412726
1981,0.917,813.623299644123,"SC",2007,"South Carolina",880.490323569422,0,110.979470928195,102.149104799779,103.550150831773
1982,0.917,735.062097755434,"SC",2007,"South Carolina",708.299577430429,0,89.2760661391813,92.2858714724707,93.6869175044647
1983,0.917,640.121544526619,"SC",2007,"South Carolina",663.224864698008,0,83.5947228723918,80.3662367646629,81.7672827966569
1984,0.917,672.460433482003,"SC",2007,"South Carolina",781.170594566013,0,98.4609336058922,84.4263325835226,85.8273786155167
1985,0.917,769.011047935491,"SC",2007,"South Carolina",936.769772813574,0,118.073090624009,96.5481079046156,97.9491539366096
1986,0.917,765.528366906314,"SC",2007,"South Carolina",856.842873408629,0,107.998879958147,96.110862868013,97.5119089000071
1987,0.917,765.809190137655,"SC",2007,"South Carolina",826.655213982204,0,104.193942661251,96.1461197758487,97.5471658078428
1988,0.917,806.362593835627,"SC",2007,"South Carolina",842.142601027193,0,106.146016380068,101.237534790812,102.638580822806
1989,0.917,865.749216788823,"SC",2007,"South Carolina",1028.27057011232,0,129.606107855313,108.693430380828,110.094476412822
1990,0.917,771.000217976122,"SC",2007,"South Carolina",660.034420030126,0,83.192590274464,96.7978450237884,98.1988910557824
1991,0.917,708.939559349759,"SC",2007,"South Carolina",624.723837043386,0,78.7419453177446,89.0062285291028,90.4072745610969
1992,0.917,653.466160364069,"SC",2007,"South Carolina",561.781501670749,0,70.8085167590723,82.0416319534299,83.442677985424
1993,0.917,711.024337282339,"SC",2007,"South Carolina",671.529371299062,0,84.6414461857935,89.2679690662931,90.6690150982871
1994,0.917,766.267109453479,"SC",2007,"South Carolina",806.273780847363,0,101.625009641188,96.2036108140262,97.6046568460202
1995,0.917,828.077115417085,"SC",2007,"South Carolina",887.486183966416,0,111.861248802139,103.963758267538,105.364804299532
1996,0.917,831.484660337397,"SC",2007,"South Carolina",855.259965365161,0,107.799365786906,104.391570085768,105.792616117762
1997,0.917,853.758100625514,"SC",2007,"South Carolina",786.93999448399,0,99.1881249597672,107.187964912757,108.589010944751
1998,0.917,860.562980924203,"SC",2007,"South Carolina",682.660655508451,0,86.0444644805334,108.042306757545,109.443352789539
1999,0.917,787.470509515173,"SC",2007,"South Carolina",795.497284677804,0,100.266709826479,98.8656638009071,100.266709832901
2000,0.917,783.417832499418,"SC",2007,"South Carolina",655.61454733852,0,82.6354971188052,98.3568566792538,99.7579027112478
2001,0.917,740.331187171127,"SC",2007,"South Carolina",533.594021622805,0,67.2556876832929,92.94739722666,94.3484432586541
2002,0.917,536.466334381809,"SC",2007,"South Carolina",432.580949939655,0,54.5237166983285,67.3524908102924,68.7535368422864
2003,0.917,511.844808057231,"SC",2007,"South Carolina",455.404810159684,0,57.4005000813525,64.2612975345346,65.6623435665286
2004,0.917,574.564478794273,"SC",2007,"South Carolina",494.089471418401,0,62.2764233307127,72.1356519463712,73.5366979783652
2005,0.917,767.049137672678,"SC",2007,"South Carolina",592.19845712199,0,74.6423551703119,96.3017932069767,97.7028392389707
2006,0.917,985.95889191365,"SC",2007,"South Carolina",675.557947445877,0,85.1492192270178,123.78556295329,125.186608985284
2007,0.917,1074.20504381634,"SC",2007,"South Carolina",676.980363729051,1,85.3285045664709,134.864726274729,136.265772306723
