"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_ci_cap","Post","real_ci_cap_76","syn_state_76","syn_state_76_shift"
1976,0.922,776.811127433301,"UT",2011,"Utah",562.904388251805,0,100,100,130.310969227612
1977,0.922,831.801078608867,"UT",2011,"Utah",518.285084439424,0,92.0733778695608,107.078934535511,137.389903763122
1978,0.922,858.168358713912,"UT",2011,"Utah",550.460864049491,0,97.7894071423107,110.473231961729,140.78420118934
1979,0.922,894.894007651392,"UT",2011,"Utah",531.377977206839,0,94.3993310937091,115.200976923213,145.511946150825
1980,0.922,854.109070168562,"UT",2011,"Utah",831.885440196269,0,147.784500806581,109.950673980516,140.261643208128
1981,0.922,783.01850721776,"UT",2011,"Utah",738.024248193825,0,131.11005414008,100.799084818078,131.110054045689
1982,0.922,730.397672025971,"UT",2011,"Utah",679.856596176041,0,120.776567098269,94.0251299488091,124.336099176421
1983,0.922,649.91541326034,"UT",2011,"Utah",427.680710145687,0,75.9775050739828,83.6645344419508,113.975503669562
1984,0.922,708.966744268266,"UT",2011,"Utah",667.931947747794,0,118.658152554499,91.2662961730218,121.577265400633
1985,0.922,803.331606587793,"UT",2011,"Utah",590.472355030387,0,104.897451033238,103.414018957494,133.724988185105
1986,0.922,798.362337473119,"UT",2011,"Utah",729.231685710006,0,129.548054861459,102.774317884841,133.085287112453
1987,0.922,851.567679930309,"UT",2011,"Utah",638.825165490245,0,113.487330854575,109.623517204757,139.934486432368
1988,0.922,875.635434702531,"UT",2011,"Utah",717.158159732633,0,127.403192211716,112.721793468093,143.032762695705
1989,0.922,926.673441159097,"UT",2011,"Utah",871.82194912335,0,154.879224130929,119.291988545654,149.602957773265
1990,0.922,818.026734088224,"UT",2011,"Utah",833.061058242752,0,147.993349426528,105.305743597045,135.616712824656
1991,0.922,743.324499934307,"UT",2011,"Utah",683.380781777919,0,121.402638892241,95.6892188697606,126.000188097372
1992,0.922,670.010443745474,"UT",2011,"Utah",597.715955590622,0,106.184277128649,86.251396264017,116.562365491628
1993,0.922,752.572014205983,"UT",2011,"Utah",619.268805713389,0,110.013142309413,96.8796645193012,127.190633746913
1994,0.922,815.7588158897,"UT",2011,"Utah",875.184248266806,0,155.476536785375,105.013791265463,135.324760493075
1995,0.922,890.790194178249,"UT",2011,"Utah",978.382958674414,0,173.809794184222,114.672687184792,144.983656412404
1996,0.922,900.934694196421,"UT",2011,"Utah",1114.3128788245,0,197.957753053798,115.978603083769,146.289572311381
1997,0.922,925.0197459435,"UT",2011,"Utah",1181.31060973174,0,209.859904166052,119.079106011252,149.390075238863
1998,0.922,944.743673663685,"UT",2011,"Utah",1078.20400246611,0,191.543008896174,121.618195247184,151.929164474796
1999,0.922,873.790431790636,"UT",2011,"Utah",1015.36316543111,0,180.379330241943,112.484283622168,142.79525284978
2000,0.922,884.797190142595,"UT",2011,"Utah",899.340445484757,0,159.767886741443,113.901199261408,144.21216848902
2001,0.922,863.614720829132,"UT",2011,"Utah",804.824523309916,0,142.977127218609,111.174349894117,141.485319121728
2002,0.922,662.719391947686,"UT",2011,"Utah",530.750450778814,0,94.2878509842763,85.3128088081603,115.623778035772
2003,0.922,656.91611924826,"UT",2011,"Utah",682.615126745314,0,121.266620227512,84.5657452692276,114.876714496839
2004,0.922,697.696644204318,"UT",2011,"Utah",639.269459940108,0,113.566259791555,89.8154801810849,120.126449408696
2005,0.922,909.993704262522,"UT",2011,"Utah",786.866427520982,0,139.78687037149,117.14478231913,147.455751546742
2006,0.922,1121.64473941998,"UT",2011,"Utah",1367.51183595441,0,242.938563723308,144.390920753937,174.701889981549
2007,0.922,1182.06294488225,"UT",2011,"Utah",1481.16530794902,0,263.129110176069,152.168642175346,182.479611402957
2008,0.922,1107.68200398407,"UT",2011,"Utah",1376.5846420691,0,244.550348300591,142.593477985313,172.904447212925
2009,0.922,891.559101652209,"UT",2011,"Utah",841.659083491402,0,149.520789153077,114.771669736253,145.082638963864
2010,0.922,798.695958449099,"UT",2011,"Utah",812.8944032968,0,144.410741906167,102.817265387033,133.128234614644
2011,0.922,871.834159402469,"UT",2011,"Utah",782.304409659902,1,138.976427611354,112.232449898489,142.543419126101
2012,0.922,883.77761552267,"UT",2011,"Utah",789.195950563633,1,140.200710286629,113.769947972141,144.080917199753
2013,0.922,947.137206073929,"UT",2011,"Utah",979.384452817173,1,173.987709681713,121.926318074692,152.237287302304
2014,0.922,921.651028584522,"UT",2011,"Utah",885.297745527055,1,157.273200210163,118.645446239911,148.956415467522
2015,0.922,981.948310631674,"UT",2011,"Utah",1042.6939954848,1,185.234653921079,126.407601018304,156.718570245915
2016,0.922,893.758518339991,"UT",2011,"Utah",912.510642614231,1,162.107573090376,115.05480377104,145.365772998652
2017,0.922,893.184305207099,"UT",2011,"Utah",858.616920750028,1,152.533350009334,114.980884498696,145.291853726307
2018,0.922,991.243286046541,"UT",2011,"Utah",1162.86266478324,1,206.582625584907,127.604156408232,157.915125635844
2019,0.922,1156.42815994249,"UT",2011,"Utah",1288.59502406971,1,228.918987125267,148.868639892363,179.179609119975
2020,0.922,977.928377455904,"UT",2011,"Utah",856.167282702582,1,152.098171656035,125.890109309727,156.201078537338
2021,0.922,1384.49243924603,"UT",2011,"Utah",1664.82523893393,1,295.756308474398,178.227678563334,208.538647790945
2022,0.922,1676.79694100609,"UT",2011,"Utah",1949.22422402938,1,346.279806075598,215.856452333076,246.167421560687
