"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.931,719.3743590813,"AZ",2007,"Arizona",727.51511295629,0
1977,0.931,758.923819358085,"AZ",2007,"Arizona",754.101577928906,0
1978,0.931,722.51562600615,"AZ",2007,"Arizona",758.235726241844,0
1979,0.931,711.937153145069,"AZ",2007,"Arizona",745.508362470855,0
1980,0.931,714.403518751326,"AZ",2007,"Arizona",694.453255806054,0
1981,0.931,771.736670602598,"AZ",2007,"Arizona",649.574566877254,0
1982,0.931,798.378292819657,"AZ",2007,"Arizona",625.064755386975,0
1983,0.931,772.14437725422,"AZ",2007,"Arizona",642.494529935635,0
1984,0.931,787.185269870597,"AZ",2007,"Arizona",730.664976662384,0
1985,0.931,800.340451329771,"AZ",2007,"Arizona",800.797401855359,0
1986,0.931,816.355333091212,"AZ",2007,"Arizona",834.258091730852,0
1987,0.931,766.776792066563,"AZ",2007,"Arizona",837.620169012872,0
1988,0.931,816.649784536022,"AZ",2007,"Arizona",854.584930017082,0
1989,0.931,808.819465082418,"AZ",2007,"Arizona",859.522858841173,0
1990,0.931,843.137426272473,"AZ",2007,"Arizona",872.809844933876,0
1991,0.931,852.122269501281,"AZ",2007,"Arizona",881.749488964776,0
1992,0.931,868.551386007918,"AZ",2007,"Arizona",850.72670966293,0
1993,0.931,885.497518419607,"AZ",2007,"Arizona",872.888815549703,0
1994,0.931,880.497970854507,"AZ",2007,"Arizona",870.976575156758,0
1995,0.931,893.038862974721,"AZ",2007,"Arizona",884.559534457915,0
1996,0.931,883.774078448244,"AZ",2007,"Arizona",857.219633745647,0
1997,0.931,907.55416344763,"AZ",2007,"Arizona",821.048735398687,0
1998,0.931,915.029228501012,"AZ",2007,"Arizona",844.045044795901,0
1999,0.931,908.232416883145,"AZ",2007,"Arizona",878.986272886463,0
2000,0.931,934.401356233083,"AZ",2007,"Arizona",852.701310213637,0
2001,0.931,941.26382375126,"AZ",2007,"Arizona",837.23392037152,0
2002,0.931,886.41286712405,"AZ",2007,"Arizona",837.572719514176,0
2003,0.931,897.689632808205,"AZ",2007,"Arizona",818.847803252515,0
2004,0.931,931.64619469387,"AZ",2007,"Arizona",853.365664596806,0
2005,0.931,976.780032129224,"AZ",2007,"Arizona",903.790286593038,0
2006,0.931,1028.99790765128,"AZ",2007,"Arizona",1025.57270109207,0
2007,0.931,1091.18094015185,"AZ",2007,"Arizona",1049.31211580281,1
2008,0.931,1229.39059833159,"AZ",2007,"Arizona",914.726801757398,1
2009,0.931,1044.1953857904,"AZ",2007,"Arizona",774.683759569773,1
2010,0.931,987.060180329448,"AZ",2007,"Arizona",737.69429904117,1
2011,0.931,1028.18837510711,"AZ",2007,"Arizona",803.845361913722,1
2012,0.931,1102.85116455458,"AZ",2007,"Arizona",820.343759112313,1
2013,0.931,1062.23930205735,"AZ",2007,"Arizona",828.783960869339,1
2014,0.931,1004.28253756565,"AZ",2007,"Arizona",806.134813747971,1
2015,0.931,996.147821420823,"AZ",2007,"Arizona",804.59187028852,1
2016,0.931,978.770820905079,"AZ",2007,"Arizona",866.884109672612,1
2017,0.931,983.605811787293,"AZ",2007,"Arizona",864.241595156998,1
2018,0.931,1051.25539170949,"AZ",2007,"Arizona",885.890610069277,1
2019,0.931,1093.93344515784,"AZ",2007,"Arizona",946.762023445362,1
2020,0.931,1048.22320553745,"AZ",2007,"Arizona",920.29252546272,1
2021,0.931,1102.56178244218,"AZ",2007,"Arizona",1005.82566086168,1
2022,0.931,1203.90714454104,"AZ",2007,"Arizona",1075.95311101401,1
