"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.934,611.078105725677,"CA",2011,"California",759.29067298764,0
1977,0.934,620.899687765889,"CA",2011,"California",808.201025650104,0
1978,0.934,639.501026884474,"CA",2011,"California",869.189886508431,0
1979,0.934,632.44593953118,"CA",2011,"California",827.815525388107,0
1980,0.934,592.178948512447,"CA",2011,"California",859.659088313259,0
1981,0.934,596.307564995265,"CA",2011,"California",805.116233331039,0
1982,0.934,604.375912747049,"CA",2011,"California",800.572037719533,0
1983,0.934,608.654027200937,"CA",2011,"California",780.170041234204,0
1984,0.934,656.029214838709,"CA",2011,"California",834.14983847331,0
1985,0.934,684.129841056779,"CA",2011,"California",889.062846071163,0
1986,0.934,711.431341970672,"CA",2011,"California",910.487438744077,0
1987,0.934,734.132387414434,"CA",2011,"California",985.292420464204,0
1988,0.934,770.059622242821,"CA",2011,"California",929.275622674619,0
1989,0.934,776.47584073623,"CA",2011,"California",997.803416770737,0
1990,0.934,781.026076630885,"CA",2011,"California",983.292591627737,0
1991,0.934,786.923218798489,"CA",2011,"California",976.098935113219,0
1992,0.934,809.795039673138,"CA",2011,"California",1003.13062406158,0
1993,0.934,835.339684283538,"CA",2011,"California",992.9448416555,0
1994,0.934,851.90457739393,"CA",2011,"California",970.910312987556,0
1995,0.934,843.11190358894,"CA",2011,"California",990.103658790455,0
1996,0.934,852.98986648367,"CA",2011,"California",1041.14123081205,0
1997,0.934,879.05631194579,"CA",2011,"California",1080.32990028428,0
1998,0.934,916.53085102263,"CA",2011,"California",1166.17827769492,0
1999,0.934,963.472321823914,"CA",2011,"California",1212.03867885916,0
2000,0.934,982.881630003948,"CA",2011,"California",1318.516346296,0
2001,0.934,995.110147259355,"CA",2011,"California",1368.32909681879,0
2002,0.934,941.451025882248,"CA",2011,"California",1154.42703537083,0
2003,0.934,942.9848137743,"CA",2011,"California",1116.06859056974,0
2004,0.934,985.683008373634,"CA",2011,"California",1172.54655346051,0
2005,0.934,1045.59930565869,"CA",2011,"California",1282.86536113252,0
2006,0.934,1085.80483388914,"CA",2011,"California",1391.24398885879,0
2007,0.934,1106.35275566803,"CA",2011,"California",1378.07559485129,0
2008,0.934,1072.79050121222,"CA",2011,"California",1338.82202070235,0
2009,0.934,1009.54387100933,"CA",2011,"California",1153.55557779625,0
2010,0.934,969.735391985641,"CA",2011,"California",1205.257649449,0
2011,0.934,993.982320260068,"CA",2011,"California",1294.02457359022,1
2012,0.934,1020.84525838588,"CA",2011,"California",1230.84850857273,1
2013,0.934,1043.54249719912,"CA",2011,"California",1410.78926536566,1
2014,0.934,1045.09986818068,"CA",2011,"California",1414.67766994208,1
2015,0.934,1098.8479458166,"CA",2011,"California",1542.43214198555,1
2016,0.934,1088.55494633164,"CA",2011,"California",1546.27833462841,1
2017,0.934,1081.09304272273,"CA",2011,"California",1544.61755759071,1
2018,0.934,1141.30652165406,"CA",2011,"California",1675.73814217163,1
2019,0.934,1194.35020542232,"CA",2011,"California",1724.23238013491,1
2020,0.934,1150.16777712922,"CA",2011,"California",1595.86843900595,1
2021,0.934,1232.3780915837,"CA",2011,"California",2134.2900535675,1
2022,0.934,1288.556548605,"CA",2011,"California",2055.2651906753,1
