"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.911,547.264175593528,"CO",2009,"Colorado",597.448047773923,0
1977,0.911,557.37356102377,"CO",2009,"Colorado",610.033593803497,0
1978,0.911,581.271018595953,"CO",2009,"Colorado",624.138093561788,0
1979,0.911,574.93686635736,"CO",2009,"Colorado",642.264353333874,0
1980,0.911,538.549646933725,"CO",2009,"Colorado",575.876206430344,0
1981,0.911,542.543162934276,"CO",2009,"Colorado",495.883629690106,0
1982,0.911,558.125788613251,"CO",2009,"Colorado",541.101066004647,0
1983,0.911,552.579447652253,"CO",2009,"Colorado",543.362742622664,0
1984,0.911,598.713443565604,"CO",2009,"Colorado",620.928629250634,0
1985,0.911,623.346914218228,"CO",2009,"Colorado",633.172941361922,0
1986,0.911,637.145780920734,"CO",2009,"Colorado",627.757630729692,0
1987,0.911,646.273287580687,"CO",2009,"Colorado",653.848793887084,0
1988,0.911,677.335953438605,"CO",2009,"Colorado",668.257305466763,0
1989,0.911,681.588385178631,"CO",2009,"Colorado",672.731503319762,0
1990,0.911,693.279615569186,"CO",2009,"Colorado",682.253422000532,0
1991,0.911,689.348575074619,"CO",2009,"Colorado",675.729572972527,0
1992,0.911,720.36133529574,"CO",2009,"Colorado",702.096853812316,0
1993,0.911,752.936690778552,"CO",2009,"Colorado",709.53299963783,0
1994,0.911,763.099740138786,"CO",2009,"Colorado",741.085296123598,0
1995,0.911,769.304975378551,"CO",2009,"Colorado",762.065759216678,0
1996,0.911,771.171879217467,"CO",2009,"Colorado",771.471614194538,0
1997,0.911,801.076128560919,"CO",2009,"Colorado",811.117685871694,0
1998,0.911,833.897716045987,"CO",2009,"Colorado",869.816660010502,0
1999,0.911,843.383219686836,"CO",2009,"Colorado",927.432585658899,0
2000,0.911,862.58516819793,"CO",2009,"Colorado",904.590662620088,0
2001,0.911,871.88868266859,"CO",2009,"Colorado",922.043873253187,0
2002,0.911,826.83049868438,"CO",2009,"Colorado",831.61105294535,0
2003,0.911,828.319634428537,"CO",2009,"Colorado",772.403674832256,0
2004,0.911,860.940279489247,"CO",2009,"Colorado",788.209755522543,0
2005,0.911,886.095772029976,"CO",2009,"Colorado",810.58582477303,0
2006,0.911,921.485841308946,"CO",2009,"Colorado",848.628799741444,0
2007,0.911,936.42649185593,"CO",2009,"Colorado",877.224451824744,0
2008,0.911,914.171273998838,"CO",2009,"Colorado",865.964964855972,0
2009,0.911,859.859536923143,"CO",2009,"Colorado",783.080712485377,1
2010,0.911,811.069895934833,"CO",2009,"Colorado",746.403273579811,1
2011,0.911,836.156347919572,"CO",2009,"Colorado",788.477755656836,1
2012,0.911,857.191617871519,"CO",2009,"Colorado",819.396274165737,1
2013,0.911,869.558097592252,"CO",2009,"Colorado",863.538274734448,1
2014,0.911,868.935663782133,"CO",2009,"Colorado",871.071663112089,1
2015,0.911,915.524027318864,"CO",2009,"Colorado",934.327791688355,1
2016,0.911,888.824138777502,"CO",2009,"Colorado",921.547123263787,1
2017,0.911,883.631936948356,"CO",2009,"Colorado",930.852120688968,1
2018,0.911,934.051565972681,"CO",2009,"Colorado",988.550781420533,1
2019,0.911,981.886063531018,"CO",2009,"Colorado",1023.99151647023,1
2020,0.911,955.490366572697,"CO",2009,"Colorado",960.267163406734,1
2021,0.911,1027.58586488389,"CO",2009,"Colorado",1113.80216815911,1
2022,0.911,1072.03881017331,"CO",2009,"Colorado",1181.84763425297,1
