"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.919,671.579717143416,"CT",2016,"Connecticut",638.47227160906,0
1977,0.919,683.893933315441,"CT",2016,"Connecticut",671.354130806703,0
1978,0.919,682.729961803882,"CT",2016,"Connecticut",670.153125500753,0
1979,0.919,680.252316047945,"CT",2016,"Connecticut",661.572056456468,0
1980,0.919,632.302089250012,"CT",2016,"Connecticut",621.200920153534,0
1981,0.919,628.083544542046,"CT",2016,"Connecticut",641.031382982943,0
1982,0.919,633.772132707269,"CT",2016,"Connecticut",658.036285914888,0
1983,0.919,655.925774740161,"CT",2016,"Connecticut",692.243015765951,0
1984,0.919,706.719027271772,"CT",2016,"Connecticut",812.401311980713,0
1985,0.919,736.271607958778,"CT",2016,"Connecticut",882.49681697363,0
1986,0.919,782.808005031163,"CT",2016,"Connecticut",911.344573757307,0
1987,0.919,830.290916765113,"CT",2016,"Connecticut",989.468042443404,0
1988,0.919,872.838608141497,"CT",2016,"Connecticut",974.562513214481,0
1989,0.919,874.566653276416,"CT",2016,"Connecticut",984.54673693038,0
1990,0.919,879.304535252421,"CT",2016,"Connecticut",1067.34252918032,0
1991,0.919,885.291802775237,"CT",2016,"Connecticut",997.392644096272,0
1992,0.919,913.705774037631,"CT",2016,"Connecticut",1189.51733889288,0
1993,0.919,925.341545469246,"CT",2016,"Connecticut",1260.74968071996,0
1994,0.919,957.316983186859,"CT",2016,"Connecticut",1266.96476360641,0
1995,0.919,925.003182667531,"CT",2016,"Connecticut",1361.49189291943,0
1996,0.919,947.320351063777,"CT",2016,"Connecticut",1402.42371723407,0
1997,0.919,970.858633013397,"CT",2016,"Connecticut",1564.11700171913,0
1998,0.919,1014.53505222967,"CT",2016,"Connecticut",1660.70563154353,0
1999,0.919,1129.52531202537,"CT",2016,"Connecticut",1673.24563894218,0
2000,0.919,1139.58264153701,"CT",2016,"Connecticut",1658.63699046682,0
2001,0.919,1162.26978540718,"CT",2016,"Connecticut",1563.90847551741,0
2002,0.919,1086.55177916444,"CT",2016,"Connecticut",1427.6630924928,0
2003,0.919,1091.50834284401,"CT",2016,"Connecticut",1429.3723644782,0
2004,0.919,1151.93918832778,"CT",2016,"Connecticut",1500.8002049852,0
2005,0.919,1284.86964729381,"CT",2016,"Connecticut",1607.47660318007,0
2006,0.919,1330.86432363873,"CT",2016,"Connecticut",1621.29188820324,0
2007,0.919,1376.45609533584,"CT",2016,"Connecticut",1692.41148759446,0
2008,0.919,1343.79516498232,"CT",2016,"Connecticut",1747.76578391223,0
2009,0.919,1268.2413056506,"CT",2016,"Connecticut",1533.22485118327,0
2010,0.919,1236.50195491244,"CT",2016,"Connecticut",1516.58659767106,0
2011,0.919,1266.37772874775,"CT",2016,"Connecticut",1592.96183650433,0
2012,0.919,1297.34265067914,"CT",2016,"Connecticut",1799.71472896598,0
2013,0.919,1343.45552440186,"CT",2016,"Connecticut",1841.42748347084,0
2014,0.919,1348.12044481545,"CT",2016,"Connecticut",1798.61698517871,0
2015,0.919,1414.31441246204,"CT",2016,"Connecticut",1826.40370163137,0
2016,0.919,1425.58894566277,"CT",2016,"Connecticut",1733.49637720652,1
2017,0.919,1418.72759091089,"CT",2016,"Connecticut",1801.64271252169,1
2018,0.919,1491.50694223249,"CT",2016,"Connecticut",2012.09576062531,1
2019,0.919,1537.25670019157,"CT",2016,"Connecticut",1871.94403000329,1
2020,0.919,1471.77740302543,"CT",2016,"Connecticut",1764.54720957161,1
2021,0.919,1605.93812895136,"CT",2016,"Connecticut",1992.80495952983,1
2022,0.919,1679.6175751073,"CT",2016,"Connecticut",1798.11454697875,1
