"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.961,615.724743735761,"DE",2017,"Delaware",999.748502442436,0
1977,0.961,626.501297134226,"DE",2017,"Delaware",1008.91576884718,0
1978,0.961,651.03213077152,"DE",2017,"Delaware",1051.78019898567,0
1979,0.961,645.241030382597,"DE",2017,"Delaware",1022.81843891702,0
1980,0.961,608.311281614652,"DE",2017,"Delaware",969.296513678936,0
1981,0.961,610.650735686701,"DE",2017,"Delaware",956.229521186105,0
1982,0.961,619.010735884361,"DE",2017,"Delaware",966.273663005613,0
1983,0.961,618.502642041813,"DE",2017,"Delaware",1010.68730590634,0
1984,0.961,665.04366871855,"DE",2017,"Delaware",1050.86897909336,0
1985,0.961,692.605694079544,"DE",2017,"Delaware",1106.46774491075,0
1986,0.961,712.668273896672,"DE",2017,"Delaware",1118.32478065313,0
1987,0.961,728.412025196811,"DE",2017,"Delaware",1170.46022158918,0
1988,0.961,772.715858896733,"DE",2017,"Delaware",1144.74591252712,0
1989,0.961,779.0293473002,"DE",2017,"Delaware",1194.22459443364,0
1990,0.961,787.954928190627,"DE",2017,"Delaware",1156.99153821581,0
1991,0.961,790.279322562847,"DE",2017,"Delaware",1125.37389238953,0
1992,0.961,818.882882325816,"DE",2017,"Delaware",1251.96573775352,0
1993,0.961,849.052043029259,"DE",2017,"Delaware",1212.75237199031,0
1994,0.961,865.513749104077,"DE",2017,"Delaware",1227.78050217206,0
1995,0.961,864.348821823347,"DE",2017,"Delaware",1280.03206472699,0
1996,0.961,870.684876360622,"DE",2017,"Delaware",1330.49999876841,0
1997,0.961,897.871717013067,"DE",2017,"Delaware",1331.40120323449,0
1998,0.961,932.73132979771,"DE",2017,"Delaware",1464.51072624849,0
1999,0.961,939.822639769101,"DE",2017,"Delaware",1432.42723703667,0
2000,0.961,956.089356859916,"DE",2017,"Delaware",1397.06378578374,0
2001,0.961,967.545660144789,"DE",2017,"Delaware",1381.80640705164,0
2002,0.961,915.266631772573,"DE",2017,"Delaware",1325.21520330189,0
2003,0.961,918.743492412423,"DE",2017,"Delaware",1267.78462968324,0
2004,0.961,954.508326673758,"DE",2017,"Delaware",1374.8770589145,0
2005,0.961,988.729946974208,"DE",2017,"Delaware",1418.50192534076,0
2006,0.961,1030.54259166201,"DE",2017,"Delaware",1480.8031324706,0
2007,0.961,1047.15098078352,"DE",2017,"Delaware",1440.48707631669,0
2008,0.961,1020.23259515818,"DE",2017,"Delaware",1377.96585705726,0
2009,0.961,953.818443983527,"DE",2017,"Delaware",1354.05283084583,0
2010,0.961,905.014349377438,"DE",2017,"Delaware",1335.86645772338,0
2011,0.961,926.930951044699,"DE",2017,"Delaware",1430.12239178814,0
2012,0.961,957.310658192097,"DE",2017,"Delaware",1435.70112196512,0
2013,0.961,977.848757784045,"DE",2017,"Delaware",1410.65563792091,0
2014,0.961,974.255640393904,"DE",2017,"Delaware",1311.55375100956,0
2015,0.961,1029.06012995697,"DE",2017,"Delaware",1394.25583566362,0
2016,0.961,1009.69453596704,"DE",2017,"Delaware",1405.34940639076,0
2017,0.961,1003.56571318575,"DE",2017,"Delaware",1423.63801447983,1
2018,0.961,1064.67518106691,"DE",2017,"Delaware",1633.02398924336,1
2019,0.961,1117.37552109431,"DE",2017,"Delaware",1724.61104578092,1
2020,0.961,1081.00232404805,"DE",2017,"Delaware",1679.18989664029,1
2021,0.961,1151.40831113628,"DE",2017,"Delaware",1858.62741589772,1
2022,0.961,1220.23711879016,"DE",2017,"Delaware",1948.05108413308,1
