"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.943,618.446288551688,"GA",2006,"Georgia",528.412599322888,0
1977,0.943,628.879330932755,"GA",2006,"Georgia",548.702550378999,0
1978,0.943,653.203427949612,"GA",2006,"Georgia",573.411433388606,0
1979,0.943,648.028875468404,"GA",2006,"Georgia",566.639539245281,0
1980,0.943,612.390645462156,"GA",2006,"Georgia",550.644591082046,0
1981,0.943,615.009300917095,"GA",2006,"Georgia",546.783230523033,0
1982,0.943,621.709232873183,"GA",2006,"Georgia",552.70630275741,0
1983,0.943,621.842200632075,"GA",2006,"Georgia",572.338846942784,0
1984,0.943,666.820752402344,"GA",2006,"Georgia",600.188812066194,0
1985,0.943,694.613788811373,"GA",2006,"Georgia",640.102890764867,0
1986,0.943,715.875781263477,"GA",2006,"Georgia",674.627382878546,0
1987,0.943,732.396462365388,"GA",2006,"Georgia",691.143971974647,0
1988,0.943,779.04570294695,"GA",2006,"Georgia",709.753860941113,0
1989,0.943,785.712639799255,"GA",2006,"Georgia",732.372546926168,0
1990,0.943,794.208308267868,"GA",2006,"Georgia",776.099605740887,0
1991,0.943,798.460125513381,"GA",2006,"Georgia",747.153583892442,0
1992,0.943,823.574279160123,"GA",2006,"Georgia",726.700528559117,0
1993,0.943,852.205442092572,"GA",2006,"Georgia",770.907003595016,0
1994,0.943,870.914692450815,"GA",2006,"Georgia",791.289711482941,0
1995,0.943,867.814998187495,"GA",2006,"Georgia",806.305374492975,0
1996,0.943,875.956259157942,"GA",2006,"Georgia",832.12393905153,0
1997,0.943,901.934317900538,"GA",2006,"Georgia",846.53049421802,0
1998,0.943,936.455503729528,"GA",2006,"Georgia",871.639293128051,0
1999,0.943,942.485810708607,"GA",2006,"Georgia",899.30097027255,0
2000,0.943,956.417066876808,"GA",2006,"Georgia",903.400747983667,0
2001,0.943,969.138627646122,"GA",2006,"Georgia",921.897880163828,0
2002,0.943,914.90262294347,"GA",2006,"Georgia",862.652742516108,0
2003,0.943,918.381353692761,"GA",2006,"Georgia",814.795323631621,0
2004,0.943,953.985616681964,"GA",2006,"Georgia",849.729704668404,0
2005,0.943,990.34782986202,"GA",2006,"Georgia",857.788759027421,0
2006,0.943,1032.85887101,"GA",2006,"Georgia",874.007367327513,1
2007,0.943,1049.95069040466,"GA",2006,"Georgia",889.075984312938,1
2008,0.943,1023.64389065863,"GA",2006,"Georgia",836.9239869084,1
2009,0.943,956.044768184874,"GA",2006,"Georgia",745.301671602545,1
2010,0.943,908.05249081082,"GA",2006,"Georgia",665.692782526278,1
2011,0.943,929.334332539341,"GA",2006,"Georgia",695.297922213039,1
2012,0.943,962.310247636264,"GA",2006,"Georgia",709.144249340305,1
2013,0.943,984.4370818758,"GA",2006,"Georgia",738.468189752714,1
2014,0.943,980.626414304655,"GA",2006,"Georgia",741.303762820224,1
2015,0.943,1036.58401388116,"GA",2006,"Georgia",776.08370978867,1
2016,0.943,1018.28048749644,"GA",2006,"Georgia",833.659661289479,1
2017,0.943,1011.60428664979,"GA",2006,"Georgia",846.740475788931,1
2018,0.943,1073.74533017944,"GA",2006,"Georgia",855.509317175117,1
2019,0.943,1128.04560432975,"GA",2006,"Georgia",863.109081001671,1
2020,0.943,1089.492786045,"GA",2006,"Georgia",820.003030464642,1
2021,0.943,1157.2674246716,"GA",2006,"Georgia",892.661282297203,1
2022,0.943,1232.33074445622,"GA",2006,"Georgia",983.914206376428,1
