"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.916,591.875761587379,"IL",1999,"Illinois",692.70719832756,0
1977,0.916,601.875021694008,"IL",1999,"Illinois",715.22610377605,0
1978,0.916,618.379171911977,"IL",1999,"Illinois",725.47741166281,0
1979,0.916,612.776337493234,"IL",1999,"Illinois",705.04168648401,0
1980,0.916,570.368926254913,"IL",1999,"Illinois",665.996656578446,0
1981,0.916,566.406426233911,"IL",1999,"Illinois",623.677231342156,0
1982,0.916,571.917516543581,"IL",1999,"Illinois",607.005561157994,0
1983,0.916,576.765733226422,"IL",1999,"Illinois",599.874362946177,0
1984,0.916,627.133886940415,"IL",1999,"Illinois",686.27521396748,0
1985,0.916,650.254640860208,"IL",1999,"Illinois",694.736273236534,0
1986,0.916,673.598767733811,"IL",1999,"Illinois",716.405393833337,0
1987,0.916,699.094897812498,"IL",1999,"Illinois",739.320663292935,0
1988,0.916,732.189148486378,"IL",1999,"Illinois",749.929432584015,0
1989,0.916,737.002184927033,"IL",1999,"Illinois",755.404865641576,0
1990,0.916,746.392082731478,"IL",1999,"Illinois",798.8237413728,0
1991,0.916,744.586899986742,"IL",1999,"Illinois",786.071903812835,0
1992,0.916,782.725531742061,"IL",1999,"Illinois",765.300488935249,0
1993,0.916,808.240646284886,"IL",1999,"Illinois",790.98618499573,0
1994,0.916,823.079483322269,"IL",1999,"Illinois",819.411306489438,0
1995,0.916,816.623498029272,"IL",1999,"Illinois",834.131756382071,0
1996,0.916,821.690951449933,"IL",1999,"Illinois",847.114871713142,0
1997,0.916,846.154047160511,"IL",1999,"Illinois",867.042058503771,0
1998,0.916,879.8688397706,"IL",1999,"Illinois",905.25368262597,0
1999,0.916,916.094655653198,"IL",1999,"Illinois",945.633188604756,1
2000,0.916,933.048824589003,"IL",1999,"Illinois",958.708447770431,1
2001,0.916,940.694632960632,"IL",1999,"Illinois",946.48247215785,1
2002,0.916,895.947879574907,"IL",1999,"Illinois",935.983055060089,1
2003,0.916,901.683515674176,"IL",1999,"Illinois",905.443396362769,1
2004,0.916,939.463600971355,"IL",1999,"Illinois",943.192473955121,1
2005,0.916,993.388656207398,"IL",1999,"Illinois",983.817952472182,1
2006,0.916,1031.4811772293,"IL",1999,"Illinois",1006.46148850113,1
2007,0.916,1054.16421803015,"IL",1999,"Illinois",1030.59180691432,1
2008,0.916,1023.39489829151,"IL",1999,"Illinois",1022.30348821983,1
2009,0.916,963.200894088773,"IL",1999,"Illinois",936.318829675781,1
2010,0.916,926.328132414138,"IL",1999,"Illinois",896.766096900601,1
2011,0.916,947.240655884759,"IL",1999,"Illinois",969.953582796019,1
2012,0.916,970.359967221017,"IL",1999,"Illinois",1107.66414791049,1
2013,0.916,995.555499104032,"IL",1999,"Illinois",1140.17472383988,1
2014,0.916,993.138379793807,"IL",1999,"Illinois",1220.07383691494,1
2015,0.916,1044.1705091818,"IL",1999,"Illinois",1206.29391944806,1
2016,0.916,1034.05295435968,"IL",1999,"Illinois",1117.08016714145,1
2017,0.916,1030.13929997158,"IL",1999,"Illinois",1120.51782524526,1
2018,0.916,1085.90843099233,"IL",1999,"Illinois",1228.56991310505,1
2019,0.916,1131.29384004129,"IL",1999,"Illinois",1285.55179482962,1
2020,0.916,1092.52371815995,"IL",1999,"Illinois",1262.51775663444,1
2021,0.916,1175.88215403139,"IL",1999,"Illinois",1448.29256311614,1
2022,0.916,1232.78223709294,"IL",1999,"Illinois",1437.71483766987,1
