"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.926,599.014657281847,"IN",2007,"Indiana",596.813634343898,0
1977,0.926,609.978387866631,"IN",2007,"Indiana",631.612538488379,0
1978,0.926,631.980748249049,"IN",2007,"Indiana",634.394097267975,0
1979,0.926,627.158895284219,"IN",2007,"Indiana",636.398342704471,0
1980,0.926,591.625389717482,"IN",2007,"Indiana",556.227019846898,0
1981,0.926,591.318026398784,"IN",2007,"Indiana",532.735770495634,0
1982,0.926,598.211271998117,"IN",2007,"Indiana",556.768140957274,0
1983,0.926,599.442374353909,"IN",2007,"Indiana",562.904009119917,0
1984,0.926,643.569577473849,"IN",2007,"Indiana",690.067247709738,0
1985,0.926,670.854455843631,"IN",2007,"Indiana",707.804461733706,0
1986,0.926,691.782589060433,"IN",2007,"Indiana",715.091307135484,0
1987,0.926,708.187246687358,"IN",2007,"Indiana",732.077834773227,0
1988,0.926,751.402695542238,"IN",2007,"Indiana",777.422615189873,0
1989,0.926,758.001423723888,"IN",2007,"Indiana",820.592602250564,0
1990,0.926,766.229281345205,"IN",2007,"Indiana",793.420791170925,0
1991,0.926,769.756758649371,"IN",2007,"Indiana",769.594823268848,0
1992,0.926,798.71492149826,"IN",2007,"Indiana",793.816492074676,0
1993,0.926,826.24253203206,"IN",2007,"Indiana",759.655559401839,0
1994,0.926,841.541471898784,"IN",2007,"Indiana",784.135536783166,0
1995,0.926,838.901499599245,"IN",2007,"Indiana",812.46919848193,0
1996,0.926,844.456297547154,"IN",2007,"Indiana",823.883362023911,0
1997,0.926,869.065088044841,"IN",2007,"Indiana",869.649146363802,0
1998,0.926,901.918668197226,"IN",2007,"Indiana",850.267580773081,0
1999,0.926,909.295033799439,"IN",2007,"Indiana",883.401892105421,0
2000,0.926,925.218214514136,"IN",2007,"Indiana",875.077301197463,0
2001,0.926,935.716488208267,"IN",2007,"Indiana",856.121256390934,0
2002,0.926,887.520962403181,"IN",2007,"Indiana",857.0233841293,0
2003,0.926,892.215073789492,"IN",2007,"Indiana",919.791541379584,0
2004,0.926,925.960362344874,"IN",2007,"Indiana",960.806749170012,0
2005,0.926,960.235561964889,"IN",2007,"Indiana",981.001431717158,0
2006,0.926,1000.54546533205,"IN",2007,"Indiana",985.519572558071,0
2007,0.926,1016.06366633051,"IN",2007,"Indiana",998.791150859227,1
2008,0.926,990.30739778355,"IN",2007,"Indiana",1027.12133018142,1
2009,0.926,925.621947595037,"IN",2007,"Indiana",1014.78028683652,1
2010,0.926,881.808821438228,"IN",2007,"Indiana",932.51129795273,1
2011,0.926,900.657506433435,"IN",2007,"Indiana",980.867387684428,1
2012,0.926,930.613433717269,"IN",2007,"Indiana",1032.09568629159,1
2013,0.926,952.684228680438,"IN",2007,"Indiana",1051.80365666672,1
2014,0.926,947.329671483488,"IN",2007,"Indiana",1037.19102300598,1
2015,0.926,1001.32798442952,"IN",2007,"Indiana",1055.01131017524,1
2016,0.926,985.877474357357,"IN",2007,"Indiana",1043.46054234555,1
2017,0.926,979.366286643588,"IN",2007,"Indiana",1049.90519718988,1
2018,0.926,1040.23247164553,"IN",2007,"Indiana",1269.77114337937,1
2019,0.926,1088.93782047079,"IN",2007,"Indiana",1291.02394064222,1
2020,0.926,1051.61100404719,"IN",2007,"Indiana",1230.28360006175,1
2021,0.926,1118.00089961933,"IN",2007,"Indiana",1368.15345717318,1
2022,0.926,1189.66666911032,"IN",2007,"Indiana",1386.31837053163,1
