"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.961,624.557620955413,"IA",1978,"Iowa",679.040782195005,0
1977,0.961,635.403260387502,"IA",1978,"Iowa",679.993111879159,0
1978,0.961,654.19089040406,"IA",1978,"Iowa",679.724021293542,1
1979,0.961,649.66021811515,"IA",1978,"Iowa",679.920621969307,1
1980,0.961,609.850081173817,"IA",1978,"Iowa",669.788827326779,1
1981,0.961,611.736522995039,"IA",1978,"Iowa",643.098639844593,1
1982,0.961,621.802519164694,"IA",1978,"Iowa",663.720145322182,1
1983,0.961,622.550568263398,"IA",1978,"Iowa",656.091672352485,1
1984,0.961,670.639853590208,"IA",1978,"Iowa",710.214163395677,1
1985,0.961,697.972116691506,"IA",1978,"Iowa",707.119166600073,1
1986,0.961,720.771283607788,"IA",1978,"Iowa",758.361002404471,1
1987,0.961,739.874048331111,"IA",1978,"Iowa",799.315502805155,1
1988,0.961,782.485194163351,"IA",1978,"Iowa",821.735429467716,1
1989,0.961,787.216173644897,"IA",1978,"Iowa",862.958693164819,1
1990,0.961,796.177639288992,"IA",1978,"Iowa",856.977849262498,1
1991,0.961,798.316890090344,"IA",1978,"Iowa",853.716148971431,1
1992,0.961,831.264567193877,"IA",1978,"Iowa",869.356980602148,1
1993,0.961,857.575953348465,"IA",1978,"Iowa",916.336068259397,1
1994,0.961,873.161275153639,"IA",1978,"Iowa",943.470807122334,1
1995,0.961,865.730764583743,"IA",1978,"Iowa",966.111875515571,1
1996,0.961,872.316741227023,"IA",1978,"Iowa",948.169620724345,1
1997,0.961,899.443382492676,"IA",1978,"Iowa",974.657315917355,1
1998,0.961,934.493950495527,"IA",1978,"Iowa",987.609925504518,1
1999,0.961,968.32021803889,"IA",1978,"Iowa",969.356796668029,1
2000,0.961,986.180753667003,"IA",1978,"Iowa",985.514175654544,1
2001,0.961,998.71483716121,"IA",1978,"Iowa",961.381008836719,1
2002,0.961,947.197774658852,"IA",1978,"Iowa",931.659905517496,1
2003,0.961,950.041225497884,"IA",1978,"Iowa",883.461713705841,1
2004,0.961,990.78494721944,"IA",1978,"Iowa",918.5146845055,1
2005,0.961,1046.2666046231,"IA",1978,"Iowa",965.85284119247,1
2006,0.961,1088.9880873672,"IA",1978,"Iowa",970.21636502421,1
2007,0.961,1109.41670183675,"IA",1978,"Iowa",988.10812174342,1
2008,0.961,1079.37140731812,"IA",1978,"Iowa",1007.64792723256,1
2009,0.961,1016.80203819617,"IA",1978,"Iowa",1032.90439807487,1
2010,0.961,970.588664573235,"IA",1978,"Iowa",994.695541358812,1
2011,0.961,993.5412219323,"IA",1978,"Iowa",1025.63704564553,1
2012,0.961,1023.3284447094,"IA",1978,"Iowa",1062.63493448153,1
2013,0.961,1046.86277431093,"IA",1978,"Iowa",1102.43217945862,1
2014,0.961,1046.06886050599,"IA",1978,"Iowa",1111.32806524436,1
2015,0.961,1101.40284031745,"IA",1978,"Iowa",1179.03964498589,1
2016,0.961,1084.49684082372,"IA",1978,"Iowa",1221.85208588766,1
2017,0.961,1077.46010199884,"IA",1978,"Iowa",1209.90213437311,1
2018,0.961,1138.89716787261,"IA",1978,"Iowa",1219.43832196731,1
2019,0.961,1191.93253590619,"IA",1978,"Iowa",1243.94812129627,1
2020,0.961,1148.12418699312,"IA",1978,"Iowa",1215.84546293223,1
2021,0.961,1230.10293305989,"IA",1978,"Iowa",1272.04438469017,1
2022,0.961,1294.45293675254,"IA",1978,"Iowa",1286.70566044001,1
