"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.932,600.373491749681,"KY",2018,"Kentucky",631.900878156378,0
1977,0.932,609.917099929969,"KY",2018,"Kentucky",659.906147561646,0
1978,0.932,636.071924793341,"KY",2018,"Kentucky",723.7731444701,0
1979,0.932,627.672184478942,"KY",2018,"Kentucky",723.29817662825,0
1980,0.932,591.989130550081,"KY",2018,"Kentucky",657.795876946128,0
1981,0.932,596.551312587243,"KY",2018,"Kentucky",635.832495251888,0
1982,0.932,600.7167444657,"KY",2018,"Kentucky",653.881285398679,0
1983,0.932,602.690617509685,"KY",2018,"Kentucky",660.332362894951,0
1984,0.932,646.953255151317,"KY",2018,"Kentucky",677.262600226808,0
1985,0.932,674.466050064722,"KY",2018,"Kentucky",704.649840123966,0
1986,0.932,696.909935100332,"KY",2018,"Kentucky",737.985666416496,0
1987,0.932,714.170077839931,"KY",2018,"Kentucky",777.791447838259,0
1988,0.932,755.863073964484,"KY",2018,"Kentucky",782.790603761918,0
1989,0.932,764.606628913385,"KY",2018,"Kentucky",825.054379307797,0
1990,0.932,768.757353009653,"KY",2018,"Kentucky",824.914422946352,0
1991,0.932,776.1451861816,"KY",2018,"Kentucky",933.673918384082,0
1992,0.932,796.180833536146,"KY",2018,"Kentucky",912.673357771666,0
1993,0.932,825.983648829329,"KY",2018,"Kentucky",926.437638465313,0
1994,0.932,842.521090355391,"KY",2018,"Kentucky",957.228833044565,0
1995,0.932,840.448402768419,"KY",2018,"Kentucky",1011.62696528101,0
1996,0.932,849.276329071357,"KY",2018,"Kentucky",1018.91065899286,0
1997,0.932,873.87948272269,"KY",2018,"Kentucky",1040.52814241113,0
1998,0.932,909.401282573185,"KY",2018,"Kentucky",1057.47076143238,0
1999,0.932,917.39008985878,"KY",2018,"Kentucky",1067.59365047642,0
2000,0.932,935.995129992229,"KY",2018,"Kentucky",1059.62724364049,0
2001,0.932,946.034606579134,"KY",2018,"Kentucky",1039.53776554884,0
2002,0.932,893.998755890336,"KY",2018,"Kentucky",1042.79550832233,0
2003,0.932,896.723979733407,"KY",2018,"Kentucky",1049.30864288271,0
2004,0.932,931.624492242341,"KY",2018,"Kentucky",1031.90471096815,0
2005,0.932,961.409750851208,"KY",2018,"Kentucky",1054.28908893548,0
2006,0.932,1001.04975836374,"KY",2018,"Kentucky",1024.24212551803,0
2007,0.932,1015.17663668148,"KY",2018,"Kentucky",1009.20851454575,0
2008,0.932,984.826248458712,"KY",2018,"Kentucky",1029.66673531944,0
2009,0.932,917.449697717488,"KY",2018,"Kentucky",1009.66677274796,0
2010,0.932,874.082590595826,"KY",2018,"Kentucky",964.723201565251,0
2011,0.932,894.19820679151,"KY",2018,"Kentucky",984.804715734469,0
2012,0.932,923.706585494368,"KY",2018,"Kentucky",996.98908667887,0
2013,0.932,942.81364492284,"KY",2018,"Kentucky",996.295413570772,0
2014,0.932,939.721741986217,"KY",2018,"Kentucky",997.367293927653,0
2015,0.932,992.676490431802,"KY",2018,"Kentucky",1033.1776219776,0
2016,0.932,979.810904302572,"KY",2018,"Kentucky",1048.32303587724,0
2017,0.932,973.17425285027,"KY",2018,"Kentucky",1048.3051552567,0
2018,0.932,1033.23198870411,"KY",2018,"Kentucky",1030.16805715295,1
2019,0.932,1085.31468637054,"KY",2018,"Kentucky",1074.59184521665,1
2020,0.932,1049.31102226713,"KY",2018,"Kentucky",1089.72186824231,1
2021,0.932,1111.38476288959,"KY",2018,"Kentucky",1121.67599681726,1
2022,0.932,1174.87737272629,"KY",2018,"Kentucky",1164.72070477401,1
