"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.918,629.778709716386,"LA",2016,"Louisiana",697.468309947117,0
1977,0.918,663.73426346724,"LA",2016,"Louisiana",667.314310743754,0
1978,0.918,641.231205521912,"LA",2016,"Louisiana",676.008168462947,0
1979,0.918,630.376415510887,"LA",2016,"Louisiana",660.311736288602,0
1980,0.918,627.450812014876,"LA",2016,"Louisiana",617.235260217597,0
1981,0.918,682.311855768762,"LA",2016,"Louisiana",651.841371812907,0
1982,0.918,718.375897238084,"LA",2016,"Louisiana",677.653394353966,0
1983,0.918,687.746076613447,"LA",2016,"Louisiana",618.500471884233,0
1984,0.918,707.243479690898,"LA",2016,"Louisiana",627.626202329873,0
1985,0.918,722.021588094916,"LA",2016,"Louisiana",751.018477026817,0
1986,0.918,729.202949508485,"LA",2016,"Louisiana",696.834304366934,0
1987,0.918,678.485090336757,"LA",2016,"Louisiana",664.245551927672,0
1988,0.918,718.393054741663,"LA",2016,"Louisiana",700.936698336332,0
1989,0.918,710.244918741392,"LA",2016,"Louisiana",687.313573814336,0
1990,0.918,740.669322872046,"LA",2016,"Louisiana",669.641332783956,0
1991,0.918,742.05882199292,"LA",2016,"Louisiana",689.523561608836,0
1992,0.918,759.201753031865,"LA",2016,"Louisiana",670.591326907835,0
1993,0.918,784.724040677361,"LA",2016,"Louisiana",665.548588848269,0
1994,0.918,776.323912180144,"LA",2016,"Louisiana",652.358351692895,0
1995,0.918,796.826955627437,"LA",2016,"Louisiana",666.161401412803,0
1996,0.918,785.561558457761,"LA",2016,"Louisiana",672.600385122354,0
1997,0.918,816.416310677518,"LA",2016,"Louisiana",786.010305483436,0
1998,0.918,828.82829616176,"LA",2016,"Louisiana",804.707942148049,0
1999,0.918,827.643045424131,"LA",2016,"Louisiana",851.877209306402,0
2000,0.918,857.092933379691,"LA",2016,"Louisiana",816.869524540871,0
2001,0.918,864.705185920093,"LA",2016,"Louisiana",870.624002355013,0
2002,0.918,814.892961011128,"LA",2016,"Louisiana",876.638520126346,0
2003,0.918,818.715739653657,"LA",2016,"Louisiana",871.623683789864,0
2004,0.918,852.206625237452,"LA",2016,"Louisiana",872.704852113845,0
2005,0.918,883.213783760769,"LA",2016,"Louisiana",927.097200527643,0
2006,0.918,929.324660697928,"LA",2016,"Louisiana",1066.01279266215,0
2007,0.918,978.29558745975,"LA",2016,"Louisiana",1126.52910719518,0
2008,0.918,1087.8139645085,"LA",2016,"Louisiana",1078.61028549806,0
2009,0.918,939.435661287468,"LA",2016,"Louisiana",995.137020627081,0
2010,0.918,873.807293618586,"LA",2016,"Louisiana",844.169951576796,0
2011,0.918,917.254361348558,"LA",2016,"Louisiana",842.130680409407,0
2012,0.918,974.708685469742,"LA",2016,"Louisiana",823.737135997369,0
2013,0.918,932.632159512014,"LA",2016,"Louisiana",832.48232922753,0
2014,0.918,890.923293573625,"LA",2016,"Louisiana",837.748666124094,0
2015,0.918,886.383407781337,"LA",2016,"Louisiana",853.682851162501,0
2016,0.918,853.793664124825,"LA",2016,"Louisiana",813.158182565052,1
2017,0.918,856.698839396967,"LA",2016,"Louisiana",922.640541182777,1
2018,0.918,912.342110481096,"LA",2016,"Louisiana",939.102104593997,1
2019,0.918,956.258645720849,"LA",2016,"Louisiana",955.150701851144,1
2020,0.918,924.337702149848,"LA",2016,"Louisiana",917.405961021212,1
2021,0.918,985.458240069954,"LA",2016,"Louisiana",930.736278419678,1
2022,0.918,1046.97608247498,"LA",2016,"Louisiana",1001.2676092631,1
