"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.949,628.748744594048,"ME",2007,"Maine",804.001020315584,0
1977,0.949,640.323893974343,"ME",2007,"Maine",647.850714113128,0
1978,0.949,655.769296971763,"ME",2007,"Maine",679.14382478689,0
1979,0.949,648.626347444652,"ME",2007,"Maine",629.628377793636,0
1980,0.949,608.032558049584,"ME",2007,"Maine",618.25936458195,0
1981,0.949,610.677538602793,"ME",2007,"Maine",616.667979235425,0
1982,0.949,615.217654267605,"ME",2007,"Maine",633.502563579037,0
1983,0.949,624.533269137905,"ME",2007,"Maine",655.160185735307,0
1984,0.949,671.924570548254,"ME",2007,"Maine",723.132801092865,0
1985,0.949,700.478977579172,"ME",2007,"Maine",760.540594817532,0
1986,0.949,732.674429618882,"ME",2007,"Maine",818.358902543043,0
1987,0.949,762.284033854734,"ME",2007,"Maine",906.714500347983,0
1988,0.949,812.538891494168,"ME",2007,"Maine",997.666160874663,0
1989,0.949,815.464142035822,"ME",2007,"Maine",987.663778040921,0
1990,0.949,816.164300520134,"ME",2007,"Maine",934.075301845791,0
1991,0.949,819.633843054025,"ME",2007,"Maine",880.849978860773,0
1992,0.949,851.643128082267,"ME",2007,"Maine",923.179753360736,0
1993,0.949,874.283276043539,"ME",2007,"Maine",943.959623712761,0
1994,0.949,893.828473381204,"ME",2007,"Maine",911.888267155752,0
1995,0.949,878.396018778391,"ME",2007,"Maine",927.581136979491,0
1996,0.949,890.462943443967,"ME",2007,"Maine",937.20594393543,0
1997,0.949,916.35824302046,"ME",2007,"Maine",961.860193968931,0
1998,0.949,954.848448420938,"ME",2007,"Maine",1112.70248960589,0
1999,0.949,1007.60580748371,"ME",2007,"Maine",1146.35588002679,0
2000,0.949,1025.14874206386,"ME",2007,"Maine",1141.83687199568,0
2001,0.949,1040.00143213967,"ME",2007,"Maine",1129.8636774087,0
2002,0.949,978.180955665904,"ME",2007,"Maine",1093.51847116247,0
2003,0.949,982.172441497808,"ME",2007,"Maine",1084.07006316415,0
2004,0.949,1030.10585599199,"ME",2007,"Maine",1154.07763138246,0
2005,0.949,1105.18152871401,"ME",2007,"Maine",1195.72827628571,0
2006,0.949,1150.47567587527,"ME",2007,"Maine",1278.12272250645,0
2007,0.949,1176.71332937054,"ME",2007,"Maine",1276.46687462778,1
2008,0.949,1140.46617913981,"ME",2007,"Maine",1257.12894498039,1
2009,0.949,1068.3187500452,"ME",2007,"Maine",1172.97738427554,1
2010,0.949,1023.67466534308,"ME",2007,"Maine",1144.95165809135,1
2011,0.949,1046.83481649366,"ME",2007,"Maine",1160.14674037488,1
2012,0.949,1076.0222036768,"ME",2007,"Maine",1162.59475825436,1
2013,0.949,1106.42305359874,"ME",2007,"Maine",1199.52900454377,1
2014,0.949,1107.71732354954,"ME",2007,"Maine",1162.71236688723,1
2015,0.949,1165.79536334337,"ME",2007,"Maine",1236.4686629723,1
2016,0.949,1161.68975016937,"ME",2007,"Maine",1248.62071451683,1
2017,0.949,1157.13922123431,"ME",2007,"Maine",1239.18824711221,1
2018,0.949,1222.33854981338,"ME",2007,"Maine",1255.48763450601,1
2019,0.949,1274.07209485133,"ME",2007,"Maine",1285.13386111704,1
2020,0.949,1227.54758017057,"ME",2007,"Maine",1312.49090423075,1
2021,0.949,1322.2080104085,"ME",2007,"Maine",1383.243006886,1
2022,0.949,1388.24361217324,"ME",2007,"Maine",1481.43106337329,1
